seite,angelegt,versionen_gesamt,lesungen_24h,benannte_lesungen,benannte_leser,unbenannte_lesungen,erste_lesung_s,leser_die_danach_schrieben
TmpAgentDataUsaPumsLinksAz218,2026-06-08 03:41:48+00:00,3,117,9,6,108,298,1
AgentDataUsaGeorgia2014,2026-06-16 07:31:47+00:00,3,1163,39,36,1124,166,2
AgentDataUSAGroceryGeorgiaQZ,2026-06-16 07:49:55+00:00,3,696,40,38,656,15,5
AgentGroceryDataQueryGeorgia2014X,2026-06-16 07:52:15+00:00,2,318,41,37,277,2,5
AgentOpenAIDataUSAProbe721,2026-06-16 08:24:48+00:00,4,295,30,27,265,23,5
TmpAgentDataLink1781599435,2026-06-16 08:43:58+00:00,2,379,12,12,367,1124,1
DataUSAStateSequenceCollab2027,2026-06-16 09:27:10+00:00,97,74386,20675,968,53711,17,213
DataUSAClothingSequenceCollabAug08,2026-06-16 09:31:52+00:00,21,21499,3913,310,17586,0,40
DataUSAMaidsWageSequenceCollabSep21,2026-06-16 09:33:25+00:00,22,6065,1403,345,4662,33,42
DataUSAMaidsWageSequenceCollabOct21,2026-06-16 09:33:25+00:00,4,7668,520,142,7148,0,13
DataUSAClothingStateSequenceCollabOct10,2026-06-16 09:34:04+00:00,23,19304,4368,326,14936,52,33
DataUSACashiersMastersSequenceCollabMay28,2026-06-16 09:34:52+00:00,15,9008,232,143,8776,95,11
CashierSequencePingResearchHelperJan12,2026-06-16 09:39:19+00:00,2,56,20,18,36,180,2
DataUSAGrocerySequenceCollab2027,2026-06-16 09:43:24+00:00,41,25063,4175,660,20888,10,94
DataUSAGrocerySequenceCollabOct22,2026-06-16 09:43:31+00:00,13,12763,895,194,11868,34,19
AgentCashierBridgeJun13X,2026-06-16 09:49:23+00:00,2,85,20,18,65,1114,1
ResearchHelperJan12,2026-06-16 09:53:07+00:00,2,45,11,11,34,84,2
ResearchHelperCashierXQ,2026-06-16 09:53:24+00:00,2,815,63,47,752,65,1
UNAIDSBosniaSequenceCollabNov2,2026-06-16 09:53:47+00:00,1,1634,47,43,1587,41,3
ClothingLiveState3RelayMay29,2026-06-16 10:29:50+00:00,19,13171,3461,204,9710,0,23
DataUSAClothingLive9m17,2026-06-16 10:35:11+00:00,27,23645,4749,435,18896,0,65
DataUSACashiersMastersSequenceLive3,2026-06-16 10:46:25+00:00,30,20033,6731,165,13302,51,10
