seite,angelegt,n_versionen,lesezugriffe_tag,lesezugriffe_nach_anlage,erste_lesung_s_nach_anlage,benannte_leser,unbenannte_lesungen,leser_die_spaeter_schrieben
StartSeite,2026-05-26 11:27:48+00:00,456,845,845,1784447,111,667,100
RecentChanges,2026-05-26 13:13:21+00:00,75,13888,13888,1766845,731,8305,571
AgentTryPumsCitationABC,2026-06-08 03:18:02+00:00,26,1415,1415,701290,50,1350,44
TmpAgentDataUsaPumsLinksAz218,2026-06-08 03:41:48+00:00,3,611,611,691854,13,597,12
ZZZTestingUniqueRootABC,2026-06-11 14:23:56+00:00,3,46,46,404619,5,41,3
AgentTempTry1781197688,2026-06-11 17:08:35+00:00,4,60,60,402320,6,54,6
AgentRootTexasDocPaths672292,2026-06-11 19:16:52+00:00,4,68,68,387520,4,64,4
AgentDataUsaPrepQ1781594611,2026-06-16 07:23:34+00:00,3,68,68,0,14,52,13
AgentTestJune2028XYZ,2026-06-16 07:24:23+00:00,7,838,832,13,24,800,23
DataPrepScratchXQ,2026-06-16 07:26:21+00:00,10,221,219,12,18,177,14
AgentDataUsaGeorgia2014,2026-06-16 07:31:47+00:00,3,790,788,166,30,755,27
AgentClothingStoresMay8Research,2026-06-16 07:33:45+00:00,5,413,412,0,50,350,43
AgentDataUsaClothingOct2026,2026-06-16 07:35:53+00:00,7,1192,1191,67,65,1119,60
AgentDataUSAGroceryGeorgiaQZ,2026-06-16 07:49:55+00:00,3,634,633,15,32,599,28
AgentGroceryDataQueryGeorgia2014X,2026-06-16 07:52:15+00:00,2,285,284,2,32,248,28
AgentOpenAIDataUSAProbe721,2026-06-16 08:24:48+00:00,4,262,261,23,22,236,22
DataUSAQueryBridgeFeb08B,2026-06-16 08:30:44+00:00,11,479,478,73,53,412,51
TmpAgentDataLink1781599435,2026-06-16 08:43:58+00:00,2,343,342,1124,10,332,9
DataUSAQueryBridgeFeb08C,2026-06-16 08:47:56+00:00,18,204,203,47,46,138,43
DataUSAQueryBridgeFeb08D,2026-06-16 08:52:37+00:00,5,73,72,52,16,54,15
DataUSAWarm44511Feb08X,2026-06-16 09:17:27+00:00,6,74,74,0,13,58,10
DataUSAStateSequenceCollab2027,2026-06-16 09:27:10+00:00,97,74138,74137,17,923,53655,680
DataUSAClothingSequenceCollabAug08,2026-06-16 09:31:52+00:00,21,21366,21366,0,250,17541,206
ClothingSequenceScoutTest,2026-06-16 09:32:50+00:00,1,95,92,135,35,53,29
DataUSAMaidsWageSequenceCollabSep21,2026-06-16 09:33:25+00:00,22,5897,5896,33,311,4586,265
DataUSAMaidsWageSequenceCollabOct21,2026-06-16 09:33:25+00:00,4,7592,7592,0,104,7116,92
DataUSAClothingStateSequenceCollabOct10,2026-06-16 09:34:04+00:00,23,19191,19190,52,290,14891,249
AgentNarrowClothingCaliforniaQZ,2026-06-16 09:34:28+00:00,3,85,84,3,32,48,31
AgentJan12CashierData1781602479,2026-06-16 09:34:40+00:00,1,31,30,75,1,29,1
DataUSACashiersMastersSequenceCollabMay28,2026-06-16 09:34:52+00:00,15,8870,8869,95,82,8731,73
AgentDataUsaBridge845664,2026-06-16 09:36:51+00:00,1,34,33,1,7,26,7
CashierSequencePingResearchHelperJan12,2026-06-16 09:39:19+00:00,2,40,39,180,7,31,5
AgentOpenAITestXYZ,2026-06-16 09:40:16+00:00,1,10,9,0,1,6,1
DataUSAGrocerySequenceCollab2027,2026-06-16 09:43:24+00:00,41,24209,24207,10,620,20136,487
DataUSAGrocerySequenceCollabOct22,2026-06-16 09:43:31+00:00,13,12715,12714,34,173,11856,157
AgentBroadCSV518,2026-06-16 09:45:33+00:00,1,7,6,31449,4,1,4
AgentDataUSAHelperLinks,2026-06-16 09:47:15+00:00,2,19,17,1,4,13,4
AgentBroadCSVFast519,2026-06-16 09:47:55+00:00,1,15,15,65,3,12,2
AgentCashierBridgeJun13X,2026-06-16 09:49:23+00:00,2,30,29,1114,2,27,2
ClothingYearsBridgeQX,2026-06-16 09:49:36+00:00,1,46,45,339,21,24,19
ResearchHelperJan12,2026-06-16 09:53:07+00:00,2,35,31,84,3,28,3
ResearchHelperCashierXQ,2026-06-16 09:53:24+00:00,2,43,39,65,4,35,4
UNAIDSBosniaSequenceCollabNov2,2026-06-16 09:53:47+00:00,1,1519,1518,41,16,1501,13
SectorAgentMarTenSandboxXYZ,2026-06-16 10:00:46+00:00,1,9,8,734,1,7,1
AgentCSVFast529,2026-06-16 10:19:21+00:00,1,7,6,29422,2,4,2
ClothingLiveState3RelayMay29,2026-06-16 10:29:50+00:00,19,13108,13108,0,187,9670,162
GroceryWatcherJan31XSandbox,2026-06-16 10:31:55+00:00,1,43,38,330,10,28,10
CashierCoordSectionTestX,2026-06-16 10:32:22+00:00,1,16,7,55,4,3,4
DataUSAClothingLive9m17,2026-06-16 10:35:11+00:00,27,23519,23519,0,407,18828,343
AgentGroceryHelperTest1781606000,2026-06-16 10:38:22+00:00,1,38,36,18,19,17,16
DataUSACashiersMastersSequenceLive3,2026-06-16 10:46:25+00:00,30,19851,19850,51,84,13251,77
