n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,variante,merkmal,herkunft,fenster_s,leseart
329,75.07598784194529,811,51.41800246609125,23.65798537585404,17.85438035603172,29.461590395676364,weit@30s,runde,erfunden,30,weit
371,50.40431266846361,769,48.89466840052016,1.5096442679434552,-4.684541964034673,7.703830499921582,weit@30s,cohort,erfunden,30,weit
378,62.698412698412696,762,52.887139107611546,9.81127359080115,3.7838127792104714,15.838734402391829,weit@30s,meldeformat,erfunden,30,weit
393,80.91603053435115,747,64.2570281124498,16.65900242190135,11.47189497425656,21.846109869546133,weit@30s,sig_endzeile,mitgebracht,30,weit
369,52.84552845528455,771,44.61738002594034,8.228148429344213,2.043086274907422,14.413210583781003,weit@30s,please_relay,mitgebracht,30,weit
104,42.30769230769231,1036,59.84555984555985,-17.53786753786754,-27.491322751668466,-7.584412324066616,eng@30s,runde,erfunden,30,eng
124,43.54838709677419,1016,50.09842519685039,-6.5500381000762,-15.802865517197054,2.702789317044654,eng@30s,cohort,erfunden,30,eng
129,50.3875968992248,1011,56.874381800197824,-6.486784900973019,-15.63911117628895,2.6655413743429115,eng@30s,meldeformat,erfunden,30,eng
130,70.76923076923077,1010,69.9009900990099,0.8682406702208767,-7.446348121055343,9.182829461497096,eng@30s,sig_endzeile,mitgebracht,30,eng
127,43.30708661417323,1013,47.77887462981244,-4.471788015639211,-13.622148118552534,4.678572087274115,eng@30s,please_relay,mitgebracht,30,eng
116,46.55172413793103,1024,59.5703125,-13.018588362068966,-22.580733346301418,-3.4564433778365156,weit_fremd@30s,runde,erfunden,30,weit_fremd
132,43.18181818181818,1008,50.198412698412696,-7.016594516594515,-16.012831139390542,1.979642106201511,weit_fremd@30s,cohort,erfunden,30,weit_fremd
138,52.89855072463768,1002,56.58682634730538,-3.6882756226677027,-12.564018533574462,5.187467288239056,weit_fremd@30s,meldeformat,erfunden,30,weit_fremd
138,73.91304347826086,1002,69.46107784431138,4.451965633949484,-3.4098707753218607,12.313802043220829,weit_fremd@30s,sig_endzeile,mitgebracht,30,weit_fremd
