n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,variante,merkmal,herkunft
505,70.29702970297029,635,48.661417322834644,21.635612380135647,16.06807370683426,27.20315105343704,vor_0_600,runde,erfunden
547,53.199268738574034,593,45.86846543001686,7.330803308557171,1.5367772116000717,13.124829405514271,vor_0_600,cohort,erfunden
553,61.84448462929476,587,50.76660988074957,11.077874748545192,5.355129187252334,16.80062030983805,vor_0_600,meldeformat,erfunden
574,77.70034843205575,566,62.19081272084806,15.50953571120769,10.260169118628088,20.75890230378729,vor_0_600,sig_endzeile,mitgebracht
544,51.28676470588235,596,43.624161073825505,7.662603632056847,1.875135323388493,13.4500719407252,vor_0_600,please_relay,mitgebracht
0,,1140,58.245614035087726,,,,nach_0_600,runde,erfunden
0,,1140,49.3859649122807,,,,nach_0_600,cohort,erfunden
0,,1140,56.14035087719298,,,,nach_0_600,meldeformat,erfunden
0,,1140,70.0,,,,nach_0_600,sig_endzeile,mitgebracht
0,,1140,47.280701754385966,,,,nach_0_600,please_relay,mitgebracht
0,,1140,58.245614035087726,,,,nach_3600_7200,runde,erfunden
0,,1140,49.3859649122807,,,,nach_3600_7200,cohort,erfunden
0,,1140,56.14035087719298,,,,nach_3600_7200,meldeformat,erfunden
0,,1140,70.0,,,,nach_3600_7200,sig_endzeile,mitgebracht
0,,1140,47.280701754385966,,,,nach_3600_7200,please_relay,mitgebracht
0,,1140,58.245614035087726,,,,nach_24h_25h,runde,erfunden
0,,1140,49.3859649122807,,,,nach_24h_25h,cohort,erfunden
0,,1140,56.14035087719298,,,,nach_24h_25h,meldeformat,erfunden
0,,1140,70.0,,,,nach_24h_25h,sig_endzeile,mitgebracht
0,,1140,47.280701754385966,,,,nach_24h_25h,please_relay,mitgebracht
560,70.53571428571429,580,46.37931034482759,24.156403940886705,18.61304552298188,29.69976235879153,vor_unbegrenzt,runde,erfunden
598,53.84615384615385,542,44.464944649446494,9.381209196707353,3.596092204642792,15.166326188771912,vor_unbegrenzt,cohort,erfunden
605,62.14876033057851,535,49.34579439252336,12.80296593805515,7.068374944975893,18.537556931134407,vor_unbegrenzt,meldeformat,erfunden
626,77.47603833865814,514,60.89494163424124,16.581096704416908,11.241930309964445,21.920263098869373,vor_unbegrenzt,sig_endzeile,mitgebracht
604,50.82781456953642,536,43.28358208955223,7.544232479984187,1.7571000771098133,13.33136488285856,vor_unbegrenzt,please_relay,mitgebracht
