merkmal,scope,schicht,n,n_gelesen,rd,rd_lo,rd_hi
runde,weit_alle,eigene Seite trug es NICHT,691,240,8.628972653362899,1.0296827632827688,16.22826254344303
runde,weit_alle,eigene Seite trug es,449,320,-0.8357558139534871,-6.124733264571359,4.453221636664384
runde,weit_fremd,eigene Seite trug es NICHT,691,214,8.045808107525614,0.19969843504772378,15.891917780003507
runde,weit_fremd,eigene Seite trug es,449,146,0.05651250056513124,-5.16116786506443,5.274192866194692
cohort,weit_alle,eigene Seite trug es NICHT,620,233,11.634561000765215,3.625372928557455,19.643749072972973
cohort,weit_alle,eigene Seite trug es,520,365,-6.9818824569156,-16.062280520015843,2.0985156061846437
cohort,weit_fremd,eigene Seite trug es NICHT,620,207,9.812728825256462,1.5620927430195066,18.06336490749342
cohort,weit_fremd,eigene Seite trug es,520,172,-12.630312750601448,-21.647215216356976,-3.6134102848459193
meldeformat,weit_alle,eigene Seite trug es NICHT,614,226,7.7661709698020225,-0.37597465397258417,15.908316593576627
meldeformat,weit_alle,eigene Seite trug es,526,379,-2.3405668335935936,-10.876558724394586,6.195425057207399
meldeformat,weit_fremd,eigene Seite trug es NICHT,614,201,10.297182369026542,1.9249097424292456,18.669454995623838
meldeformat,weit_fremd,eigene Seite trug es,526,184,-4.03635901347571,-12.249443144227872,4.176725117276452
sig_endzeile,weit_alle,eigene Seite trug es NICHT,591,230,9.90003613151873,1.7528264038390806,18.04724585919838
sig_endzeile,weit_alle,eigene Seite trug es,549,396,2.807486631016043,-3.8327230930256446,9.44769635505773
sig_endzeile,weit_fremd,eigene Seite trug es NICHT,591,203,13.289066070793766,5.007195065585384,21.570937076002146
sig_endzeile,weit_fremd,eigene Seite trug es,549,192,3.387605042016806,-2.435018939446819,9.21022902348043
please_relay,weit_alle,eigene Seite trug es NICHT,622,238,4.759716386554624,-3.08360631329567,12.603039086404918
please_relay,weit_alle,eigene Seite trug es,518,366,-5.8922922059246545,-15.054253683265213,3.2696692714159052
please_relay,weit_fremd,eigene Seite trug es NICHT,622,212,7.5908881730326785,-0.4885917031050249,15.67036804917038
please_relay,weit_fremd,eigene Seite trug es,518,174,-1.5537289494787498,-10.515715326657759,7.40825742770026
