merkmal,epoche,scope,n,n_gelesen,rd,rd_lo,rd_hi
runde,vor_16-06,weit,24,0,,,
runde,vor_16-06,weit_fremd,24,0,,,
runde,ab_16-06,weit,1116,560,22.154419321685516,16.540836809769853,27.768001833601176
runde,ab_16-06,weit_fremd,1116,360,4.021164021164026,-2.098119835087213,10.140447877415264
cohort,vor_16-06,weit,24,0,,,
cohort,vor_16-06,weit_fremd,24,0,,,
cohort,ab_16-06,weit,1116,598,7.321057321057317,1.4545285377479371,13.187586104366696
cohort,ab_16-06,weit_fremd,1116,379,-2.0768071372568695,-8.270029178797285,4.1164149042835465
meldeformat,vor_16-06,weit,24,0,,,
meldeformat,vor_16-06,weit_fremd,24,0,,,
meldeformat,ab_16-06,weit,1116,605,10.485355242515892,4.679244275499351,16.291466209532434
meldeformat,ab_16-06,weit_fremd,1116,385,2.463090944623092,-3.6246406853042124,8.550822574550395
sig_endzeile,vor_16-06,weit,24,0,,,
sig_endzeile,vor_16-06,weit_fremd,24,0,,,
sig_endzeile,ab_16-06,weit,1116,626,13.598487318249985,8.232003462332516,18.964971174167456
sig_endzeile,ab_16-06,weit_fremd,1116,395,6.486771186291895,1.0787708357496408,11.894771536834151
please_relay,vor_16-06,weit,24,0,,,
please_relay,vor_16-06,weit_fremd,24,0,,,
please_relay,ab_16-06,weit,1116,604,5.5153145695364225,-0.35744054388556906,11.388069682958415
please_relay,ab_16-06,weit_fremd,1116,386,1.8106324082617642,-4.354250590313615,7.975515406837144
