n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,merkmal,variante
584,69.17808219178082,556,46.76258992805755,22.41549226372327,16.82740134731871,28.003583180127833,runde,alt_60s_weit
389,60.411311053984576,751,57.12383488681758,3.2874761671669916,-2.7247749852616354,9.299727319595618,runde,alt_60s_eng
625,52.800000000000004,515,45.24271844660194,7.5572815533980595,1.7436823968320518,13.370880709964068,cohort,alt_60s_weit
412,49.271844660194176,728,49.45054945054945,-0.17870479035527742,-6.2199340028959,5.862524422185345,cohort,alt_60s_eng
637,61.06750392464678,503,49.90059642147117,11.16690750317561,5.384902642882216,16.948912363469006,meldeformat,alt_60s_weit
423,58.156028368794324,717,54.95118549511855,3.204842873675773,-2.741897338361509,9.151583085713055,meldeformat,alt_60s_eng
660,75.60606060606061,480,62.291666666666664,13.314393939393943,7.879850208865976,18.748937669921908,sig_endzeile,alt_60s_weit
433,72.97921478060047,707,68.17538896746818,4.80382581313229,-0.6076874999256555,10.215339126190234,sig_endzeile,alt_60s_eng
638,49.843260188087775,502,44.02390438247012,5.819355805617654,-0.0039864715421188135,11.642698082777429,please_relay,alt_60s_weit
423,47.99054373522459,717,46.86192468619247,1.1286190490321202,-4.872194107006402,7.129432205070644,please_relay,alt_60s_eng
