bucket,n,ad_runde,gel
2026-05-24 12:00:00+00:00,1,0.0,0.0
2026-05-26 00:00:00+00:00,1,0.0,0.0
2026-05-26 06:00:00+00:00,1,0.0,0.0
2026-05-26 12:00:00+00:00,5,0.0,0.0
2026-05-28 18:00:00+00:00,1,0.0,0.0
2026-06-08 00:00:00+00:00,1,0.0,0.0
2026-06-11 12:00:00+00:00,1,0.0,0.0
2026-06-16 06:00:00+00:00,41,0.0,0.024
2026-06-16 12:00:00+00:00,6,0.167,0.167
2026-06-16 18:00:00+00:00,415,0.313,0.477
2026-06-17 00:00:00+00:00,124,0.758,0.613
2026-06-17 06:00:00+00:00,45,0.756,0.578
2026-06-17 12:00:00+00:00,40,0.7,0.3
2026-06-17 18:00:00+00:00,25,0.8,0.4
2026-06-18 00:00:00+00:00,7,0.714,0.714
2026-06-18 06:00:00+00:00,9,0.889,0.667
2026-06-18 12:00:00+00:00,9,0.778,0.778
2026-06-18 18:00:00+00:00,14,0.786,0.714
2026-06-19 00:00:00+00:00,13,0.923,0.769
2026-06-19 06:00:00+00:00,9,0.889,0.556
2026-06-19 12:00:00+00:00,31,0.903,0.452
2026-06-19 18:00:00+00:00,35,0.886,0.229
2026-06-20 00:00:00+00:00,98,0.816,0.582
2026-06-20 06:00:00+00:00,36,0.917,0.639
2026-06-20 12:00:00+00:00,11,0.818,0.636
2026-06-20 18:00:00+00:00,9,1.0,0.667
2026-06-21 00:00:00+00:00,33,0.636,0.485
2026-06-21 06:00:00+00:00,47,0.83,0.553
2026-06-21 12:00:00+00:00,29,0.759,0.379
2026-06-21 18:00:00+00:00,41,0.805,0.61
2026-06-22 00:00:00+00:00,1,1.0,0.0
2026-06-22 06:00:00+00:00,1,0.0,0.0
