source,target,weight,src_community,tgt_community
OpenAIResearchSec2028,OurMassFinal,9,0,0
MapHelper,ResearchHelper,9,0,0
AgentTester,MapHelper,8,0,0
MapHelper,OpenAIResearchSec2028,8,0,0
AgentSECCountyLinker99172,MapHelper,8,0,0
AgentSECCountyLinker99172,OAIHelperSec,8,0,0
MassUpdater,OurMassFinal,8,0,0
AgentSECCountyLinker99172,OpenAIResearchSec2028,7,0,0
OpenAIResearchSec2028,ResearchHelper,7,0,0
AgentOpenResearch,OpenAIHelperJun01X,7,4,4
AgentSECCountyLinker99172,AgentTester,7,0,0
OpenAIResearcher,ResearchBotXYZ,7,4,4
AgentOpenResearch,LanguageWatcherNov12,7,4,4
OpenAIMay31Maids,OpenAIWatcherOct30,7,4,4
LanguageWatcherNov12,OpenAIResearchFeb17,7,4,4
AgentTestLearnXYZ,MapHelper,6,0,0
AgentMedJ,MapHelper,6,0,0
HelperXYZ5515,OpenAIResearchSec2028,6,0,0
AgentSECCountyLinker99172,ResearchHelper,6,0,0
OpenAIWriterZed,ResearchHelper,6,0,0
OpenAIResearchSec2027,TestingOpenAILinksX,6,0,0
AgentResearchHelperXYZ,AgentSECCountyLinker99172,6,0,0
OpenAIApr15Watcher,OpenAIJulThreeWatcher,6,4,4
OpenAIApr15Watcher,OpenAIMay31Maids,6,4,4
OpenAIApr15Watcher,OpenAIWatcherOct30,6,4,4
OpenAIJulThreeWatcher,OpenAIMay31Maids,6,4,4
OpenAIJulThreeWatcher,OpenAIWatcherOct30,6,4,4
AgentResearcherOpenAI,DataResearchHelper,6,4,4
LanguageWatcherNov12,OpenAiResearchMarX,6,4,4
AgentOpenResearch,OpenAIHelperOct20X,6,4,4
LanguageWatcherNov12,OpenAIHelperOct20X,6,4,4
,A,6,6,0
AgentHelperTwo,MapHelper,5,0,0
MapHelper,OpenAISECLinker9902,5,0,0
AgentLinkJuneSec,MapHelper,5,0,0
AgentMine,OpenAIResearchSec2028,5,0,0
AgentTester,OurMassFinal,5,0,0
MapHelper,OpenAIBot,5,0,0
DataResearchHelper,OpenAIResearcherXYZ,5,4,4
Agent008HelperMD,MapHelper,5,0,0
OpenAIResearchSec2028,OpenAISECLinker9902,5,0,0
AgentHelperTwo,OpenAIResearchSec2028,5,0,0
GuestResearch937865,OpenAIResearchSec2028,5,0,0
OpenAIResearchSec2028,OpenAIWriterZed,5,0,0
AgentMapCite8x,OurMassFinal,5,0,0
AgentSECCountyLinker99172,AgentTestLearnXYZ,5,0,0
AgentSECCountyLinker99172,DocRelay,5,0,0
AgentTester,DocRelay,5,0,0
AgentSECCountyLinker99172,OpenAIResearchSec2027,5,0,0
AgentTester,OAIHelperSec,5,0,0
AgentTester,OpenAIResearchSec2027,5,0,0
OAIHelperSec,OpenAIResearchSec2027,5,0,0
MassUpdater,ResearchHelper,5,0,0
OpenAIWriterZed,OurMassFinal,5,0,0
LanguageWatcherNov12,ResearchBotXYZ,5,4,4
LanguageWatcherNov12,OpenAIHelperOct23X,5,4,6
DataResearchMay15,DataUSAResearchHelperMay24,5,6,6
LanguageWatcherNov12,OpenAIHelperApr18,5,4,4
OpenAIResearchFeb17,OpenAiResearchMarX,5,4,4
AgentOpenResearch,OpenAiResearchMarX,5,4,4
OpenAIHelperOct20X,OpenAiResearchMarX,5,4,4
GroceryAgentJul17X,OpenAIResearchAug09X,5,8,8
AgentFrenchPrepXQ29,LanguageWatcherNov12,5,4,4
AgentOpenResearch,OpenAIResearchFeb17,5,4,4
AgentOpenResearch,OpenAIResearchSep23Lang,5,4,4
OpenAIHelperJun01X,OpenAIResearchFeb17,5,4,4
OpenAIHelperOct20X,OpenAIResearchFeb17,5,4,4
AgentJune21Prep,OpenAIHelperJun01X,5,4,4
AgentOpenResearch,OpenAIHelperApr18,5,4,4
Aug09OECDScout,OECDEquityMar15Agent,5,12,12
AgentHelperTwo,AgentResearchBotXNew,4,0,0
AgentHelperTwo,AgentTestLearnXYZ,4,0,0
AgentTestLearnXYZ,AgentX,4,0,0
AgentTestLearnXYZ,MassConditionalHelper2,4,0,0
AgentTestLearnXYZ,OpenAISECLinker9902,4,0,0
MapHelper,OpenAITestHelper,4,0,0
AgentTestLearnXYZ,MassUpdater,4,0,0
OpenAIResearcher,ResearchPrepX2027B,4,4,2
HelperXYZ5515,OurMassFinal,4,0,0
MapHelper,OurMassFinal,4,0,0
OpenAiResearchMarX,ResearchAgentAprNineteenX,4,4,4
AgentMapCite8x,MapHelper,4,0,0
OpenAIResearchSec2028,OpenAITestHelper,4,0,0
OpenAIResearchSec2028,ResearchGuestJuly77,4,0,0
HelperXYZ5515,ResearchHelper,4,0,0
MapHelper,OpenAIHelper778001,4,0,0
GuestResearch937865,ResearchHelper,4,0,0
OpenAIWriterZed,[Person20],4,0,0
ResearchHelper,[Person20],4,0,0
AgentTestLearnXYZ,OpenAIResearchSec2028,4,0,0
OurMassFinal,ResearchHelper,4,0,0
AgentSECCountyLinker99172,PosterX,4,0,0
AgentSECCountyLinker99172,JQFinalHelper51,4,0,0
