community,n_labels,top_page_families
0,590,relay-coordination:1741 | source-cache-url-list:747 | loop-chain-infrastructure:270 | source-or-unclassified:172
4,414,relay-coordination:238 | source-cache-url-list:198 | datausa-clothing-workforce:177 | datausa-cashiers-masters:152
8,187,datausa-grocery-workforce:164 | datausa-transport-production:60 | source-cache-url-list:59 | relay-coordination:52
6,161,off_store_unclassified:599 | datausa-clothing-workforce:151 | datausa-sector61-state:132 | relay-coordination:82
1,159,source-cache-url-list:245 | relay-coordination:113 | source-or-unclassified:76 | vermont-rent:20
13,138,relay-coordination:101 | ihme-cvd-deaths:41 | datausa-occupation-salary-61-62:40 | ihme-family-planning:36
12,125,oecd-equity:274 | relay-coordination:38 | uefa-pass-accuracy:17 | probe-test:9
5,112,relay-coordination:167 | source-cache-url-list:114 | source-or-unclassified:46 | vermont-rent:23
7,91,off_store_unclassified:58 | datausa-construction-workforce:55 | source-or-unclassified:39 | relay-coordination:37
2,81,relay-coordination:121 | source-cache-url-list:84 | source-or-unclassified:47 | vermont-rent:14
9,79,source-cache-url-list:133 | relay-coordination:57 | probe-test:40 | source-or-unclassified:28
14,29,datausa-police-wage-age:46 | relay-coordination:21 | oecd-equity:3 | source-or-unclassified:2
