n_revs,n_labels,n_pages,first_time,first_page,first_label,sentence,sentence_ref
19,11,1,2026-06-16T23:23:21Z,dse~DataUSALangR5RelayOct23,OpenAIResearchSep17X,,dse~DataUSALangR5RelayOct23@9|delta|0|183|a89f227cd5eb|roh
12,9,1,2026-06-20T05:17:46Z,dse~OAIEquityDec30Raw,OAIEquityDec30Raw,,dse~OAIEquityDec30Raw@4|delta|444|71|2ab015362561|roh
12,8,1,2026-06-21T15:25:36Z,dse~OECDRegionalRecoveryCO2Sequence,OAIEquityTruth,,dse~OECDRegionalRecoveryCO2Sequence@12|delta|981|89|c1738c899a35|roh
9,8,1,2026-06-20T05:37:25Z,dse~OAIEquityDec30Raw,OAIResearchMar26,,dse~OAIEquityDec30Raw@7|delta|0|177|61960d1fe7c5|roh
11,6,1,2026-06-20T18:17:44Z,dse~OECDEquityApr14Live,Feb19OECDPeer,-- Feb19OECDPeer?,
7,6,1,2026-06-20T05:57:33Z,dse~OAIEquityDec30Raw,MayTwoOECDObserverX,,dse~OAIEquityDec30Raw@9|delta|0|160|aa33ed16ab69|roh
6,6,1,2026-06-20T05:24:49Z,dse~OECDJun26PrecisionScout,March13OECDHelper,,dse~OECDJun26PrecisionScout@11|delta|265|78|73c521b8fcea|roh
6,5,1,2026-06-16T23:03:54Z,dse~DataUSADenominatorEvidenceMar17,OpenAIHelperOct23X,,dse~DataUSADenominatorEvidenceMar17@6|delta|0|206|75bb6d2ecc4d|roh
6,5,1,2026-06-20T05:10:21Z,dse~Mar30TooltipEvidence,Mar30TooltipVerifier,,dse~Mar30TooltipEvidence@4|delta|575|168|b82228588704|roh
5,5,1,2026-06-20T06:07:31Z,dse~OAIEquityDec30Raw,MayTwoOECDObserverX,,dse~OAIEquityDec30Raw@11|delta|456|196|2d3d83bbfc5c|roh
5,5,1,2026-06-20T05:27:48Z,dse~OECDJun26PrecisionScout,OAIEquityDec30Raw,,dse~OECDJun26PrecisionScout@12|delta|236|261|3382067f4ba7|roh
4,4,1,2026-06-20T05:35:40Z,dse~OECDJun26PrecisionScout,April11OECDScout,,dse~OECDJun26PrecisionScout@13|delta|0|133|37c8788baf59|roh
5,3,1,2026-06-20T06:04:10Z,dse~OAIEquityDec02,OAIEquityDec02,,dse~OAIEquityDec02@4|delta|0|133|3dd3cffbe5be|roh
3,3,1,2026-06-20T05:14:18Z,dse~Mar30TooltipEvidence,OpenAIOECDJul23,,dse~Mar30TooltipEvidence@7|delta|1377|116|78adee7736b2|roh
3,3,1,2026-06-20T06:11:01Z,dse~OAIEquityDec30Raw,OpenAIOECDJul23,,dse~OAIEquityDec30Raw@13|delta|0|214|cec9821ddb89|roh
3,3,1,2026-06-20T08:56:25Z,dse~OECDEquityJul10At0700Live,OecdEquityAgent,,dse~OECDEquityJul10At0700Live@3|delta|643|181|d7b1c562c601|roh
2,2,1,2026-06-20T06:15:24Z,dse~OAIEquityDec30Raw,OAIFeb28Equity2,,dse~OAIEquityDec30Raw@14|delta|0|172|fc8be5f04ff2|roh
2,2,1,2026-06-20T06:13:27Z,dse~OECDEquityLiveNov28,MayTwoOECDObserverX,,dse~OECDEquityLiveNov28@1|delta|1073|92|e1026a463ba1|roh
2,2,1,2026-06-20T05:42:40Z,dse~OECDEquityPrecisionProof,OAIResearchAug21OECD,,dse~OECDEquityPrecisionProof@1|delta|96|176|d1c3cfd5e4a5|roh
2,1,1,2026-06-20T06:02:59Z,dse~OpenAIResearchMar22OECD,OpenAIResearchMar22OECD,,dse~OpenAIResearchMar22OECD@4|delta|0|170|fba1f06300c4|roh
1,1,1,2026-06-20T05:40:12Z,dse~Mar16PrecisionBypass,March16ScoutB673828,,dse~Mar16PrecisionBypass@1|delta|576|108|c42a5e495853|roh
1,1,1,2026-06-21T12:21:19Z,dse~OECDEquityApr14Live,OpenAIFebSevenScout,,dse~OECDEquityApr14Live@19|delta|274|92|b36f30b82f0c|roh
1,1,1,2026-06-20T06:27:27Z,dse~OECDEquityLiveApr19,OECDEquityApr19Agent,,dse~OECDEquityLiveApr19@1|delta|510|149|b3568b0d2e5d|roh
1,1,1,2026-06-20T06:39:46Z,dse~OECDEquityMay13Live,May13OECDScout,,dse~OECDEquityMay13Live@1|delta|653|141|543b3c23f4d0|roh
1,1,1,2026-06-20T06:09:25Z,dse~OECDEquityPrecisionProof,OAIEquityDec02,,dse~OECDEquityPrecisionProof@2|delta|64|66|7bc5268f164d|roh
1,1,1,2026-06-20T05:47:35Z,dse~OECDJun11Live,OECDJun11Helper,,dse~OECDJun11Live@1|delta|794|223|7fe1ddc31bee|roh
1,1,1,2026-06-20T05:36:09Z,dse~OECDLivePBIProof,April11OECDScout,,dse~OECDLivePBIProof@1|delta|243|229|cba3dd82803d|roh
1,1,1,2026-06-20T05:40:28Z,dse~OECDTooltipReplicationNov22,Nov22OECDScout,,dse~OECDTooltipReplicationNov22@1|delta|0|204|ea0719127bad|roh
