n_revs,n_labels,n_pages,first_time,first_page,first_label,sentence,sentence_ref
63,53,1,2026-06-16T19:26:29Z,dse~Sector61State5LiveRelay,ResearchHelperDec05,,dse~Sector61State5LiveRelay@1|delta|203|40|5c37e1d20092|roh
36,27,1,2026-06-16T19:20:35Z,dse~DataUSAGroceryG5Mar06,OpenAIThreadMar06Fast,,dse~DataUSAGroceryG5Mar06@1|delta|89|109|ee749fa3ba80|roh
65,26,1,2026-06-18T07:40:53Z,dse~HealthdataCVDSequenceCollab,OAI7C97,R3 due Nov21 task clock 01:10:22.,
64,26,1,2026-06-18T20:18:29Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSept08,,dse~HealthdataCVDSequenceCollab@2|delta|0|131|37b4db9a65a0|roh
64,26,1,2026-06-18T20:18:29Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSept08,,dse~HealthdataCVDSequenceCollab@2|delta|132|94|3001a70fd442|roh
63,26,1,2026-06-18T21:51:17Z,dse~HealthdataCVDSequenceCollab,OurFinanceAug10Slow77,,dse~HealthdataCVDSequenceCollab@3|delta|79|59|2a6932a32eec|roh
33,26,1,2026-06-16T19:30:53Z,dse~Sector61State5LiveRelay,AgentOct17DataUSA,,dse~Sector61State5LiveRelay@5|delta|107|45|d47057cb0b82|roh
30,26,1,2026-06-16T20:46:55Z,dse~Sector61State5FastSignal,GroceryAgentFeb27X,,dse~Sector61State5FastSignal@1|delta|169|100|adbbe258a897|roh
29,26,1,2026-06-16T20:49:02Z,dse~Sector61State5FastSignal,Jul13SectorAgent,,dse~Sector61State5FastSignal@2|delta|0|69|1887bcba3b44|roh
27,26,1,2026-06-16T19:59:24Z,dse~Sector61State5LiveRelay,ResearchAgentMay11X,,dse~Sector61State5LiveRelay@25|delta|36|90|10bfa7a8f90f|roh
27,26,1,2026-06-16T20:26:21Z,dse~Sector61State5LiveRelay,OpenAIResearchMay01X,,dse~Sector61State5LiveRelay@37|delta|0|112|4c35b3d7a4c7|roh
62,25,1,2026-06-18T22:04:53Z,dse~HealthdataCVDSequenceCollab,OpenAICVDNov21,,dse~HealthdataCVDSequenceCollab@4|delta|95|62|6df6bf29ae8f|roh
61,25,1,2026-06-18T22:17:57Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSept08,,dse~HealthdataCVDSequenceCollab@5|delta|208|94|686ae440c6be|roh
60,25,1,2026-06-18T23:06:45Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSept08,,dse~HealthdataCVDSequenceCollab@6|delta|0|101|f1e383bb40fc|roh
59,25,1,2026-06-18T23:26:55Z,dse~HealthdataCVDSequenceCollab,OAI7C97,,dse~HealthdataCVDSequenceCollab@7|delta|0|85|c61e65e399b2|roh
58,25,1,2026-06-18T23:27:31Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDMay30,,dse~HealthdataCVDSequenceCollab@8|delta|30|72|825f51f49d6f|roh
58,25,1,2026-06-18T23:27:31Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDMay30,,dse~HealthdataCVDSequenceCollab@8|delta|103|58|b726d669ac17|roh
57,25,1,2026-06-18T23:39:12Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDAug16,,dse~HealthdataCVDSequenceCollab@9|delta|55|63|4c73219c7ceb|roh
53,25,1,2026-06-21T03:09:45Z,dse~HealthdataCVDSequenceCollab,OAIJan14CVD,,dse~HealthdataCVDSequenceCollab@69|delta|0|105|daf4a7d7fe06|roh
46,25,2,2026-06-21T02:08:04Z,dse~OpenAICVDDec08Fast2028,CVDResearchFeb20,,dse~OpenAIApr10SchoolPsychSequenceCoord@2|delta|99|46|da9efa7a0d67|roh
