token,n_revs,n_labels,first_time,first_page,first_label
17,220,115,,,
15,172,106,,,
5,159,88,,,
11,149,86,,,
47,131,69,,,
21,122,67,,,
13,111,72,,,
30,106,47,,,
57,84,41,,,
56,81,43,,,
53,77,44,,,
31,66,31,,,
14,63,43,,,
22,54,22,,,
46,52,44,,,
10,44,28,,,
32,42,28,,,
42,41,35,,,
43,39,15,,,
34,35,21,,,
28,33,15,,,
65,31,13,,,
39,29,13,,,
51,29,14,,,
23,28,12,,,
9,28,18,,,
20,27,14,,,
6,22,13,,,
70,21,12,,,
12,21,16,,,
27,19,14,,,
63,15,6,,,
37,14,7,,,
49,12,7,,,
45,10,6,,,
24,7,6,,,
38,6,6,,,
59,6,6,,,
7,2,2,,,
69,2,2,,,
