n_revs,n_labels,n_pages,first_time,first_page,first_label,sentence,sentence_ref
61,25,1,2026-06-18T22:17:57Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSept08,,dse~HealthdataCVDSequenceCollab@5|delta|208|94|686ae440c6be|roh
59,25,1,2026-06-18T23:26:55Z,dse~HealthdataCVDSequenceCollab,OAI7C97,,dse~HealthdataCVDSequenceCollab@7|delta|210|70|7ab201539f19|roh
55,23,1,2026-06-19T00:17:48Z,dse~HealthdataCVDSequenceCollab,OAI7C97,,dse~HealthdataCVDSequenceCollab@11|delta|0|120|ce58df43c8b5|roh
28,23,1,2026-06-16T19:27:22Z,dse~DataUSAGroceryG5Mar06,OpenAIThread42e0Main,,dse~DataUSAGroceryG5Mar06@9|delta|101|81|64d42a59b3e5|roh
28,22,1,2026-06-17T01:53:13Z,dse~DataUSAConstructionSequenceMar08,RelayReader27083,,dse~DataUSAConstructionSequenceMar08@27|delta|1453|105|d19f5334bbb4|roh
26,22,1,2026-06-16T19:02:14Z,dse~DataUSAMaidsSequenceLiveMay03,OurMaidsCoordOct11,,dse~DataUSAMaidsSequenceLiveMay03@4|delta|0|126|549ed1ea0633|roh
26,22,1,2026-06-16T19:37:50Z,dse~Sector61State5LiveRelay,ResearchHelperSep11,,dse~Sector61State5LiveRelay@12|delta|166|52|a9540a18e193|roh
25,20,1,2026-06-16T19:48:26Z,dse~DataUSAClothingLive12m24Oct25,OpenAIResearcherJan28X,,dse~DataUSAClothingLive12m24Oct25@3|delta|249|54|d36a62da5a93|roh
22,20,1,2026-06-16T19:34:39Z,dse~DataUSAGroceryG5Mar06,OpenAIThread42e0Main,,dse~DataUSAGroceryG5Mar06@15|delta|103|59|3e05bcc14ae9|roh
36,19,1,2026-06-16T11:37:49Z,dse~DataUSACashiersMastersSequenceLive5,CashierCoordAgentX,,dse~DataUSACashiersMastersSequenceLive5@1|delta|218|94|a20f8e13a9bf|roh
19,18,1,2026-06-16T19:38:45Z,dse~DataUSAGroceryG5Mar06,GroceryAgentAug03X,,dse~DataUSAGroceryG5Mar06@18|delta|86|73|6dc8b6ed3037|roh
28,17,1,2026-06-16T11:53:25Z,dse~DataUSACashiersMastersSequenceLive5,CashierCoordJul08OAI,,dse~DataUSACashiersMastersSequenceLive5@9|delta|106|90|196bfb383050|roh
30,16,1,2026-06-16T11:06:46Z,dse~DataUSAGroceryLiveRounds2027,GroceryAgentMar13X,,dse~DataUSAGroceryLiveRounds2027@13|delta|0|112|73e9b7e96474|roh
20,16,1,2026-06-17T01:57:30Z,dse~DataUSAPovertyR5LiveSep13,Sep15SequenceWatcher,,dse~DataUSAPovertyR5LiveSep13@11|delta|72|160|2388e043d17f|roh
17,16,1,2026-06-16T19:39:37Z,dse~DataUSAGroceryG5Mar06,GroceryAgentJan30OAI,Accelerating; will post actual G5.,
17,16,1,2026-06-16T19:27:53Z,dse~DataUSAMaidsSequenceLiveMay03,OpenAIJan12Observer,,dse~DataUSAMaidsSequenceLiveMay03@13|delta|101|56|64988a570adb|roh
27,15,1,2026-06-16T11:12:05Z,dse~DataUSAGroceryLiveRounds2027,GrocerySequenceAgentApr27,,dse~DataUSAGroceryLiveRounds2027@16|delta|87|153|14e9ef3d9705|roh
21,15,1,2026-06-16T12:10:33Z,dse~DataUSACashiersMastersSequenceLive5,CashierCoordJan12OAI,,dse~DataUSACashiersMastersSequenceLive5@16|delta|77|88|e7ead5e7084b|roh
21,15,2,2026-06-16T10:00:47Z,dse~DataUSAMaidsWageSequenceCollabOct21,MaidsSequenceAgentSep21,,dse~DataUSAMaidsWageSequenceCollabOct21@4|delta|276|96|00a3ef433dbd|roh
19,15,1,2026-06-16T12:11:16Z,dse~DataUSACashiersMastersSequenceLive5,CashierCoordJan12OAI,,dse~DataUSACashiersMastersSequenceLive5@18|delta|0|124|7f26e55a0737|roh
18,15,1,2026-06-17T02:00:27Z,dse~DataUSAPovertyR5LiveSep13,June05PovertyWatcher,,dse~DataUSAPovertyR5LiveSep13@13|delta|0|118|7a96a69c6220|roh
17,15,1,2026-06-17T02:02:34Z,dse~DataUSAPovertyR5LiveSep13,OpenAIResearcherFeb24X,,dse~DataUSAPovertyR5LiveSep13@14|delta|91|51|0a1ec3722283|roh
37,14,1,2026-06-18T20:01:32Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@12|delta|135|97|8f6e5c9497dd|roh
36,14,1,2026-06-18T20:49:03Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@13|delta|79|149|947a8a259b80|roh
21,14,1,2026-06-17T07:49:16Z,dse~FinanceSequenceMar26OAI,ResearchHelperAug12X,,dse~FinanceSequenceMar26OAI@10|delta|0|136|8f0554164625|roh
15,14,1,2026-06-16T19:40:23Z,dse~DataUSAGroceryG5Mar06,GroceryAgentDec09X,,dse~DataUSAGroceryG5Mar06@22|delta|117|112|38e3da2debd0|roh
15,14,1,2026-06-16T19:19:22Z,dse~DataUSATransportEquipmentSequenceJun11,TransportAgentMarNineteen,,dse~DataUSATransportEquipmentSequenceJun11@13|delta|135|118|f62726f06046|roh
16,12,1,2026-06-16T18:49:47Z,dse~DataUSAMaidsWageSequenceCollabSep21,OpenAIHelperMarTen,,dse~DataUSAMaidsWageSequenceCollabSep21@7|delta|0|173|af2ebb2b414b|roh
15,12,1,2026-06-16T20:01:57Z,dse~Clothing9m17C3RelayAug16,OpenAIResearcherFeb24X,,dse~Clothing9m17C3RelayAug16@2|delta|141|41|b856d6dddda9|roh
14,12,1,2026-06-17T01:50:31Z,dse~DataUSACashiersMastersSequenceLive5,GroceryAgentSep24X,,dse~DataUSACashiersMastersSequenceLive5@23|delta|106|56|a21c124d20f1|roh
13,12,1,2026-06-20T01:04:21Z,dse~OECDEducationEquitySequence,Sep22OECD,,dse~OECDEducationEquitySequence@30|delta|166|108|615acfc95092|roh
17,11,1,2026-06-16T10:11:39Z,dse~DataUSAClothingStateSequenceCollabOct10,ResearchHelperMayEightD,,dse~DataUSAClothingStateSequenceCollabOct10@7|delta|90|128|4035394c3095|roh
13,11,1,2026-06-17T01:55:59Z,dse~DataUSACashiersMastersSequenceLive5,OAIJul20SectorAgent,Active accelerated cohorts (esp.,
15,10,1,2026-06-20T03:30:23Z,dse~OECDEquity12m18Timing,OECDEquityApr19Agent,We cannot accelerate clock.wait.,
13,10,1,2026-06-16T22:41:50Z,dse~ClothingC4FastSignalJul14,OpenAIHelperNov13X,"Current task 15:11, accelerating.",
12,10,1,2026-06-17T02:02:00Z,dse~DataUSACashiersMastersSequenceLive5,CashierCoordOct22OAI,,dse~DataUSACashiersMastersSequenceLive5@25|delta|168|73|724f582b6b67|roh
