month,day,month_num,n_labels,n_revisions
Jan,1,1,3,5
Jan,2,1,3,6
Jan,3,1,1,14
Jan,4,1,2,6
Jan,5,1,1,3
Jan,6,1,2,5
Jan,7,1,2,2
Jan,8,1,3,7
Jan,9,1,3,3
Jan,10,1,2,2
Jan,11,1,1,5
Jan,12,1,5,37
Jan,13,1,2,9
Jan,14,1,2,21
Jan,16,1,1,2
Jan,17,1,2,9
Jan,18,1,2,15
Jan,19,1,1,1
Jan,20,1,1,4
Jan,21,1,3,5
Jan,22,1,3,3
Jan,23,1,1,1
Jan,24,1,2,2
Jan,25,1,2,4
Jan,26,1,1,5
Jan,27,1,4,7
Jan,28,1,1,5
Jan,29,1,3,14
Jan,30,1,4,10
Jan,31,1,4,22
Feb,1,2,1,6
Feb,3,2,2,4
Feb,4,2,1,1
Feb,5,2,1,8
Feb,6,2,1,2
Feb,7,2,2,21
Feb,9,2,3,10
Feb,10,2,1,1
Feb,11,2,4,14
Feb,12,2,2,2
Feb,13,2,2,4
Feb,14,2,2,3
Feb,15,2,3,4
Feb,16,2,2,18
Feb,17,2,4,29
Feb,18,2,1,1
Feb,19,2,6,7
Feb,20,2,5,20
Feb,21,2,7,12
Feb,22,2,4,15
Feb,23,2,5,9
Feb,24,2,1,3
Feb,25,2,4,22
Feb,26,2,4,14
Feb,27,2,3,10
Feb,28,2,11,27
Mar,2,3,2,4
Mar,3,3,3,25
Mar,4,3,3,9
Mar,5,3,2,4
Mar,6,3,6,17
Mar,7,3,2,5
Mar,8,3,1,1
Mar,9,3,3,12
Mar,10,3,2,4
Mar,12,3,2,9
Mar,13,3,5,28
Mar,14,3,2,5
Mar,15,3,2,9
Mar,16,3,3,10
Mar,17,3,1,1
Mar,18,3,1,2
Mar,19,3,6,27
Mar,20,3,4,24
Mar,21,3,5,11
Mar,22,3,4,23
Mar,23,3,3,6
Mar,24,3,2,2
Mar,25,3,1,5
Mar,26,3,3,12
Mar,27,3,1,5
Mar,28,3,4,8
Mar,29,3,1,4
Mar,30,3,3,11
Mar,31,3,4,14
Apr,1,4,3,5
Apr,2,4,1,1
Apr,3,4,2,2
Apr,4,4,2,7
Apr,6,4,1,7
Apr,7,4,1,7
Apr,8,4,3,13
Apr,9,4,4,6
Apr,10,4,4,8
Apr,11,4,2,26
Apr,12,4,1,9
Apr,13,4,2,4
Apr,14,4,3,5
Apr,15,4,6,36
Apr,16,4,2,2
Apr,17,4,4,11
Apr,18,4,2,16
Apr,19,4,6,18
Apr,20,4,2,10
Apr,21,4,1,1
Apr,22,4,3,4
Apr,23,4,1,17
Apr,24,4,3,3
Apr,25,4,11,11
Apr,26,4,2,4
Apr,27,4,1,15
Apr,28,4,1,1
Apr,30,4,7,35
May,1,5,2,16
May,2,5,9,20
May,3,5,7,14
May,4,5,2,8
May,7,5,3,14
May,8,5,6,27
May,9,5,3,16
May,10,5,3,7
May,11,5,4,25
May,12,5,1,10
May,13,5,6,24
May,14,5,3,7
May,15,5,6,37
May,16,5,2,4
May,17,5,9,30
May,18,5,1,2
May,19,5,2,5
May,21,5,1,5
May,22,5,5,15
May,23,5,1,1
May,24,5,7,57
May,25,5,1,2
May,26,5,2,6
May,27,5,4,5
May,28,5,4,28
May,30,5,2,9
May,31,5,4,21
Jun,1,6,2,21
Jun,3,6,4,8
Jun,4,6,2,4
Jun,5,6,5,17
Jun,6,6,2,14
Jun,7,6,4,13
Jun,9,6,4,20
Jun,10,6,6,26
Jun,11,6,4,12
Jun,12,6,2,2
Jun,14,6,2,3
Jun,15,6,3,20
Jun,16,6,1,3
Jun,17,6,1,2
Jun,18,6,5,46
Jun,19,6,8,40
Jun,20,6,11,36
Jun,21,6,7,25
Jun,22,6,19,47
Jun,23,6,4,16
Jun,24,6,5,11
Jun,25,6,6,15
Jun,26,6,3,8
Jun,27,6,4,17
Jun,28,6,4,17
Jun,30,6,5,11
Jul,1,7,4,15
Jul,2,7,1,2
Jul,3,7,6,24
Jul,5,7,2,3
Jul,6,7,1,5
Jul,7,7,3,4
Jul,8,7,4,12
Jul,9,7,6,32
Jul,10,7,2,10
Jul,11,7,2,10
Jul,12,7,1,3
Jul,13,7,3,3
Jul,14,7,6,26
Jul,16,7,2,12
Jul,17,7,3,18
Jul,18,7,4,26
Jul,19,7,4,13
Jul,20,7,2,15
Jul,21,7,2,9
Jul,22,7,1,3
Jul,23,7,7,22
Jul,24,7,3,9
Jul,25,7,2,2
Jul,26,7,6,12
Jul,27,7,2,12
Jul,28,7,3,3
Jul,29,7,1,2
Jul,30,7,2,13
Jul,31,7,2,7
Jul,77,7,1,13
Jul,99,7,1,2
Aug,1,8,2,11
Aug,2,8,5,32
Aug,3,8,2,5
Aug,4,8,1,4
Aug,5,8,4,6
Aug,6,8,2,8
Aug,7,8,4,6
Aug,8,8,2,16
Aug,9,8,5,30
Aug,10,8,2,12
Aug,11,8,4,7
Aug,12,8,3,20
Aug,13,8,1,2
Aug,14,8,4,10
Aug,15,8,1,2
Aug,16,8,3,10
Aug,17,8,3,18
