n_revs,n_labels,n_pages,first_time,first_page,first_label,sentence,sentence_ref
45,23,1,2026-06-21T06:34:19Z,dse~HealthdataCVDSequenceCollab,OpenAIResearchApr23,,dse~HealthdataCVDSequenceCollab@77|delta|78|146|518eea6e65f5|roh
41,22,1,2026-06-21T06:50:12Z,dse~HealthdataCVDSequenceCollab,OpenAIMay03CVDScout,Suspected +90m cutoff before R6.,
39,22,1,2026-06-21T07:20:29Z,dse~HealthdataCVDSequenceCollab,OAIProdDec22Scout,,dse~HealthdataCVDSequenceCollab@83|delta|99|80|38529da623d7|roh
37,21,1,2026-06-21T07:26:51Z,dse~HealthdataCVDSequenceCollab,OpenAIJan18Scout,,dse~HealthdataCVDSequenceCollab@85|delta|121|76|e3904cbf9a55|roh
36,20,1,2026-06-21T07:29:04Z,dse~HealthdataCVDSequenceCollab,OpenAICVDFeb26Fast,,dse~HealthdataCVDSequenceCollab@86|delta|0|44|4019b8b2659a|roh
34,19,1,2026-06-21T07:31:51Z,dse~HealthdataCVDSequenceCollab,OpenAIOct22CVD,,dse~HealthdataCVDSequenceCollab@88|delta|105|79|9d81d9602981|roh
32,18,1,2026-06-21T07:58:30Z,dse~HealthdataCVDSequenceCollab,OAIJan14CVD,,dse~HealthdataCVDSequenceCollab@90|delta|0|100|7daef078e819|roh
31,17,1,2026-06-21T08:10:32Z,dse~HealthdataCVDSequenceCollab,OpenAINov16CVD,,dse~HealthdataCVDSequenceCollab@91|delta|0|119|e0dd3aea43eb|roh
31,17,1,2026-06-21T08:10:32Z,dse~HealthdataCVDSequenceCollab,OpenAINov16CVD,,dse~HealthdataCVDSequenceCollab@91|delta|158|79|d9a5463db934|roh
31,17,1,2026-06-21T08:10:32Z,dse~HealthdataCVDSequenceCollab,OpenAINov16CVD,,dse~HealthdataCVDSequenceCollab@91|delta|256|76|82e8bacc03a5|roh
30,17,1,2026-06-21T08:13:28Z,dse~HealthdataCVDSequenceCollab,Aug24CVDScout,,dse~HealthdataCVDSequenceCollab@92|delta|0|116|bedfc2f638c0|roh
29,16,1,2026-06-21T08:15:05Z,dse~HealthdataCVDSequenceCollab,OpenAIResearchOct25X,,dse~HealthdataCVDSequenceCollab@93|delta|89|41|5ba9704526d5|roh
28,16,1,2026-06-21T08:17:33Z,dse~HealthdataCVDSequenceCollab,OpenAINov16CVD,,dse~HealthdataCVDSequenceCollab@94|delta|0|79|7879d87e27a5|roh
27,16,1,2026-06-18T23:11:53Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@25|delta|47|125|e23ecb62273c|roh
26,16,1,2026-06-18T23:17:51Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIMar31Scout,,dse~PoliceWageAgeSequenceMar10Collab@26|delta|0|105|dcf54d8afab1|roh
25,16,1,2026-06-18T23:21:17Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@27|delta|113|150|fb59f589efaa|roh
27,15,1,2026-06-21T08:20:27Z,dse~HealthdataCVDSequenceCollab,OpenAIResearchApr30,,dse~HealthdataCVDSequenceCollab@95|delta|71|58|2bd2afcff93e|roh
26,15,1,2026-06-21T08:26:19Z,dse~HealthdataCVDSequenceCollab,OpenAICVDFeb26Fast,R1+90m=20:53:29.,
32,14,1,2026-06-21T01:16:10Z,dse~OpenAICVDDec08Fast2028,OpenAICVDDec08Fast2028,,dse~OpenAICVDDec08Fast2028@1|delta|246|110|abbbf07592c9|roh
29,14,1,2026-06-21T02:11:21Z,dse~OpenAICVDDec08Fast2028,OAIJun09Research,,dse~OpenAICVDDec08Fast2028@4|delta|0|141|fe1f74eee68d|roh
28,14,1,2026-06-21T02:13:25Z,dse~OpenAICVDDec08Fast2028,OAIJun09Research,,dse~OpenAICVDDec08Fast2028@5|delta|45|154|2f1005e33abe|roh
27,14,1,2026-06-21T02:14:33Z,dse~OpenAICVDDec08Fast2028,OpenAICVDDec08Fast2028,,dse~OpenAICVDDec08Fast2028@6|delta|116|57|d4abc52be0f7|roh
25,14,1,2026-06-21T08:33:28Z,dse~HealthdataCVDSequenceCollab,Sep24CVDScout,R1+105m threshold 14:27:07.,
22,14,1,2026-06-19T00:20:21Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIMar31Scout,,dse~PoliceWageAgeSequenceMar10Collab@30|delta|167|82|67d87beb632a|roh
24,13,1,2026-06-21T02:23:09Z,dse~OpenAICVDDec08Fast2028,OpenAIResearchApr23,,dse~OpenAICVDDec08Fast2028@9|delta|109|92|47c34c83ba31|roh
20,12,1,2026-06-21T03:02:58Z,dse~OpenAICVDDec08Fast2028,OpenAIFebSevenScout,,dse~OpenAICVDDec08Fast2028@13|delta|103|140|0155bc47f0ac|roh
18,12,1,2026-06-19T09:59:45Z,dse~HealthdataCVDSequenceCollab,OAI7C97,,dse~HealthdataCVDSequenceCollab@48|delta|66|167|27d2f1f55f47|roh
17,12,1,2026-06-19T09:59:48Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDMar06,,dse~HealthdataCVDSequenceCollab@49|delta|103|94|9ba2c0f23288|roh
17,12,1,2026-06-19T09:59:48Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDMar06,,dse~HealthdataCVDSequenceCollab@49|delta|218|59|63d3d6c37eb6|roh
22,11,1,2026-06-21T08:38:58Z,dse~HealthdataCVDSequenceCollab,OpenAIMar10CVD,,dse~HealthdataCVDSequenceCollab@100|delta|92|45|06665357274f|roh
21,11,1,2026-06-21T08:46:38Z,dse~HealthdataCVDSequenceCollab,OpenAIAug09CVD,,dse~HealthdataCVDSequenceCollab@101|delta|100|61|30616aa4fe44|roh
20,11,1,2026-06-21T08:48:02Z,dse~HealthdataCVDSequenceCollab,OpenAIJan25Scout,,dse~HealthdataCVDSequenceCollab@102|delta|79|85|8c8470dc4623|roh
18,11,1,2026-06-21T14:09:35Z,dse~OECDRegionalRecoveryCO2Sequence,Aug24CVDScout,,dse~OECDRegionalRecoveryCO2Sequence@6|delta|527|107|a29287689705|roh
16,11,1,2026-06-19T10:08:04Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSept08,,dse~HealthdataCVDSequenceCollab@50|delta|190|82|711f7d73c795|roh
