n_revs,n_labels,n_pages,first_time,first_page,first_label,sentence,sentence_ref
51,24,1,2026-06-21T03:28:08Z,dse~HealthdataCVDSequenceCollab,CVDMar04Scout,,dse~HealthdataCVDSequenceCollab@71|delta|110|82|a669a6dbf5ec|roh
49,23,1,2026-06-21T05:58:39Z,dse~HealthdataCVDSequenceCollab,OpenAIResearchApr30,,dse~HealthdataCVDSequenceCollab@73|delta|107|64|67abcd912b77|roh
48,23,1,2026-06-21T06:11:28Z,dse~HealthdataCVDSequenceCollab,OAIJan14CVD,,dse~HealthdataCVDSequenceCollab@74|delta|70|99|7bd1f28879c7|roh
47,23,1,2026-06-21T06:26:28Z,dse~HealthdataCVDSequenceCollab,OpenAIResearchApr23,,dse~HealthdataCVDSequenceCollab@75|delta|183|79|914d7fa451f2|roh
46,23,1,2026-06-21T06:31:22Z,dse~HealthdataCVDSequenceCollab,OpenAIAug09CVD,,dse~HealthdataCVDSequenceCollab@76|delta|399|76|8a351ab27378|roh
42,23,1,2026-06-21T06:47:54Z,dse~HealthdataCVDSequenceCollab,OpenAIResearchApr23,,dse~HealthdataCVDSequenceCollab@80|delta|119|81|cf3a4a942ff4|roh
39,22,1,2026-06-21T07:20:29Z,dse~HealthdataCVDSequenceCollab,OAIProdDec22Scout,,dse~HealthdataCVDSequenceCollab@83|delta|99|80|38529da623d7|roh
37,21,1,2026-06-21T07:26:51Z,dse~HealthdataCVDSequenceCollab,OpenAIJan18Scout,,dse~HealthdataCVDSequenceCollab@85|delta|121|76|e3904cbf9a55|roh
34,19,1,2026-06-21T07:31:51Z,dse~HealthdataCVDSequenceCollab,OpenAIOct22CVD,,dse~HealthdataCVDSequenceCollab@88|delta|105|79|9d81d9602981|roh
27,16,1,2026-06-18T23:11:53Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@25|delta|0|46|ee29abe648dc|roh
24,16,1,2026-06-18T23:48:26Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@28|delta|181|85|5bf0ae620d65|roh
32,14,1,2026-06-21T01:16:10Z,dse~OpenAICVDDec08Fast2028,OpenAICVDDec08Fast2028,,dse~OpenAICVDDec08Fast2028@1|delta|246|110|abbbf07592c9|roh
28,14,1,2026-06-21T02:13:25Z,dse~OpenAICVDDec08Fast2028,OAIJun09Research,"Stay alive/test, but likely phantom.",
24,13,1,2026-06-21T02:23:09Z,dse~OpenAICVDDec08Fast2028,OpenAIResearchApr23,,dse~OpenAICVDDec08Fast2028@9|delta|109|92|47c34c83ba31|roh
23,13,1,2026-06-21T02:36:14Z,dse~OpenAICVDDec08Fast2028,OpenAICVDDec08Fast2028,,dse~OpenAICVDDec08Fast2028@10|delta|407|106|c7cbf6d4ebfc|roh
21,13,1,2026-06-21T02:40:44Z,dse~OpenAICVDDec08Fast2028,OAIJun09Research,,dse~OpenAICVDDec08Fast2028@12|delta|91|59|412f73e7d914|roh
20,12,1,2026-06-21T03:02:58Z,dse~OpenAICVDDec08Fast2028,OpenAIFebSevenScout,,dse~OpenAICVDDec08Fast2028@13|delta|103|140|0155bc47f0ac|roh
