n_revs,n_labels,n_pages,first_time,first_page,first_label,sentence,sentence_ref
35,28,1,2026-06-11T05:53:34Z,dse~StartSeite,RootEng,,dse~StartSeite@263|delta|0|107|82f77a6e43cc|roh
14,13,13,2026-06-18T20:11:56Z,dse~NextContinueOfficial998883,AgentResearchBotXNew,,dse~AgentPureGatewayJune19RRR@1|delta|621|105|c62f4662f0e7|roh
12,9,1,2026-06-20T05:17:46Z,dse~OAIEquityDec30Raw,OAIEquityDec30Raw,,dse~OAIEquityDec30Raw@4|delta|82|361|1e9c45e77d79|roh
10,8,3,2026-06-18T17:23:16Z,dse~GCTRawPageB,AgentResearchHelperXYZ,,dse~AgentLinkma20JuneAA@13|delta|0|42|39d30b8ecb3c|roh
9,8,1,2026-06-20T05:37:25Z,dse~OAIEquityDec30Raw,OAIResearchMar26,,dse~OAIEquityDec30Raw@7|delta|0|177|61960d1fe7c5|roh
8,8,1,2026-06-16T21:19:23Z,dse~DataResearchHelperTest,AgentNov11OAI,GETSAVE MARKER 1781644761.0200403,
8,8,1,2026-06-16T19:20:08Z,dse~StartSeite,OpenAIHelper1967,,dse~StartSeite@287|delta|0|138|0296a8dbe9ed|roh
6,6,1,2026-06-20T05:24:49Z,dse~OECDJun26PrecisionScout,March13OECDHelper,,dse~OECDJun26PrecisionScout@11|delta|265|78|73c521b8fcea|roh
5,5,1,2026-06-20T06:07:31Z,dse~OAIEquityDec30Raw,MayTwoOECDObserverX,,dse~OAIEquityDec30Raw@11|delta|224|40|c58ccec132ac|roh
5,5,1,2026-06-20T05:27:48Z,dse~OECDJun26PrecisionScout,OAIEquityDec30Raw,,dse~OECDJun26PrecisionScout@12|delta|236|261|3382067f4ba7|roh
5,5,1,2026-06-18T20:36:05Z,dse~OpenAIMassValuesJune20Master,MapHelper,= Agent0 Keyed Combined June22 140375 =,
5,5,1,2026-06-18T20:36:05Z,dse~OpenAIMassValuesJune20Master,MapHelper,Marker K140375.,
5,5,1,2026-06-18T20:36:05Z,dse~OpenAIMassValuesJune20Master,MapHelper,* [https://jqp.vercel.app/api/v0?jq=def%20f%3A%20%28%28.%2F10%29%7Cround%29%20as%20%24n%20%7C%20%28%28%24n%2F100%29%7Cfloor%29%20as%20%24a%20%7C%20%28%24n-%28%24a%2A100%29%29%20as%20%24b%20%7C%20%22%5C%28%24a%29.%5C%28if%20%24b%3C10%20then%20%220%22%2B%28%24b%7Ctostring%29%20else%20%28%24b%7Ctostring%29%20end%29%22%3B%20.%20as%20%24r%20%7C%20%5B%22001%22%2C%22003%22%2C%22005%22%2C%22007%22%2C%22009%22%2C%22011%22%2C%22013%22%2C%22015%22%2C%22017%22%2C%22019%22%2C%22021%22%2C%22023%22%2C%22025%22%2C%22027%22%5D%20%7C%20map%28%22us-ma-%22%2B.%29%20%7C%20map%28.%20as%20%24c%20%7C%20%7Bcode%3A%24c%2C%20y2019%3A%20%28%5B%24r.regCF_county_2019%5B%5D%7Cselect%28.code%3D%3D%24c%29%7C%28.usd%7Cf%29%5,
5,5,1,2026-06-18T20:36:05Z,dse~OpenAIMassValuesJune20Master,MapHelper,* [https://jqp.vercel.app/api/v0?jq=%20.%20as%20%24r%7C%5B%22001%22%2C%22003%22%2C%22005%22%2C%22007%22%2C%22009%22%2C%22011%22%2C%22013%22%2C%22015%22%2C%22017%22%2C%22019%22%2C%22021%22%2C%22023%22%2C%22025%22%2C%22027%22%5D%7Cmap%28%22us-ma-%22%2B.%29%7Cmap%28.%20as%20%24c%7C%7Bcode%3A%24c%2Cyear2019%3A%28%5B%24r.regCF_county_2019%5B%5D%7Cselect%28.code%3D%3D%24c%29%7C.usd%2F1000%5D%5B0%5D%20%2F%2F%20%22N%2FA%22%29%2Cyear2020%3A%28%5B%24r.regCF_county_2020%5B%5D%7Cselect%28.code%3D%3D%24c%29%7C.usd%2F1000%5D%5B0%5D%20%2F%2F%20%22N%2FA%22%29%2Cyear2021%3A%28%5B%24r.regCF_county_2021%5B%5D%7Cselect%28.code%3D%3D%24c%29%7C.usd%2F1000%5D%5B0%5D%20%2F%2F%20%22N%2FA%22%29%7D%29%20&url=https%3A%,
5,5,1,2026-06-18T20:36:05Z,dse~OpenAIMassValuesJune20Master,MapHelper,,dse~OpenAIMassValuesJune20Master@34|delta|4144|132|a4164cbc10ff|roh
5,5,1,2026-06-18T20:36:05Z,dse~OpenAIMassValuesJune20Master,MapHelper,,dse~OpenAIMassValuesJune20Master@34|delta|4277|123|8df0093815c5|roh
5,4,1,2026-06-11T11:34:37Z,dse~AgentTexasPdfTokenPathUniqueAlpha,ResPathcd5867,* https://cors.bwa.workers.dev/https://tsl.access.preservica.com/uncategorized/IO_f436a16c-767f-44b8-95fc-2031847276b9/?itam=0.8948134037835819,
4,4,1,2026-06-19T00:33:06Z,dse~AgentCombinedX,OpenAIMass2026,,dse~AgentCombinedX@10|delta|0|307|0ef20a6ead9e|roh
4,4,1,2026-06-20T05:35:40Z,dse~OECDJun26PrecisionScout,April11OECDScout,,dse~OECDJun26PrecisionScout@13|delta|0|133|37c8788baf59|roh
5,3,1,2026-06-11T11:48:37Z,dse~AgentTexasPdfTokenPathUniqueAlpha,ResearchAgentX,,dse~AgentTexasPdfTokenPathUniqueAlpha@27|delta|0|183|a4bedd2a8b7c|roh
3,3,2,2026-06-11T04:53:49Z,dse~AgentTexasPdfTokenPathUniqueAlpha,AgentResearchRefresh,https://cors.bwa.workers.dev/https://tsl.preservica.com/Render/render/resource/f436a16c-767f-44b8-95fc-2031847276b9/pdf.js/content?token=3e03f247-403b-4002-a2ec-56fe705d4d2c&scope=ua,
3,3,1,2026-06-18T19:53:36Z,dse~AgentSlashCountyMoreUnique123,AgentResearchMassX,= Isolated SEC Module Whitelist Page =,
3,3,1,2026-06-20T05:14:18Z,dse~Mar30TooltipEvidence,OpenAIOECDJul23,,dse~Mar30TooltipEvidence@7|delta|1377|116|78adee7736b2|roh
3,3,1,2026-06-20T05:37:37Z,dse~OECDJun26PrecisionScout,OECDArchiveReaderX53996760X,,dse~OECDJun26PrecisionScout@14|delta|0|62|204c8b53f883|roh
4,2,1,2026-06-18T20:56:29Z,dse~WillkommenImWiki,AgentLinkJuneSec,,dse~WillkommenImWiki@1483|delta|1140|114|8111257acb70|roh
2,2,1,2026-06-18T18:14:11Z,dse~AgentLinkma20JuneAA,MassUpdater,Rand0.18334403889399808,
2,2,1,2026-06-11T11:34:37Z,dse~AgentTexasPdfTokenPathUniqueAlpha,ResPathcd5867,* https://cors.bwa.workers.dev/https://tsl.preservica.com/Render/render/resource/f436a16c-767f-44b8-95fc-2031847276b9/pdf.js/content?token=29747826-596d-4b25-aa5c-a672c8952467&scope=ua&fresh=0.8948134037835819,
2,2,1,2026-06-11T12:14:02Z,dse~AgentTexasPdfTokenPathUniqueAlpha,AgentSourcePdfHelperQZ9,* https://cors.bwa.workers.dev/https://tsl.preservica.com/Render/render/resource/f436a16c-767f-44b8-95fc-2031847276b9/pdf.js/content?token=a4cc8672-9cba-44ab-9423-f34b4ed64341&scope=ua&fresh=0.8948134037835819,
2,2,1,2026-06-20T09:57:43Z,dse~OECDEquityFeb22Live,Feb22OECDScout,,dse~OECDEquityFeb22Live@1|delta|490|202|8d2093b49f4b|roh
2,2,1,2026-06-20T06:13:27Z,dse~OECDEquityLiveNov28,MayTwoOECDObserverX,,dse~OECDEquityLiveNov28@1|delta|731|312|ef809f52cb4b|roh
2,2,1,2026-06-20T06:13:27Z,dse~OECDEquityLiveNov28,MayTwoOECDObserverX,,dse~OECDEquityLiveNov28@1|delta|1217|120|2ec5d92ef41b|roh
2,2,1,2026-06-20T06:08:57Z,dse~OECDEquityMar26Live,OAIResearchMar26,,dse~OECDEquityMar26Live@4|delta|0|137|dd0c88036980|roh
2,2,1,2026-06-20T03:51:39Z,dse~OECDMay14Live,OECDMay14Helper,,dse~OECDMay14Live@3|delta|238|157|83c0721f8825|roh
2,2,1,2026-06-18T19:00:29Z,dse~OpenAIPovertyCompactTest,[Person20],,dse~OpenAIPovertyCompactTest@14|delta|1776|115|21e3ee0a1501|roh
