n_revs,n_labels,n_pages,first_time,first_page,first_label,sentence,sentence_ref
65,26,1,2026-06-18T07:40:53Z,dse~HealthdataCVDSequenceCollab,OAI7C97,"R1 timer 15m00, then cooldown 1h22m02.",
28,23,1,2026-06-16T19:35:03Z,dse~Clothing2m56Round3RelayMay31,ResearchAgentJul03Live,,dse~Clothing2m56Round3RelayMay31@7|delta|0|72|b16cc5a1f460|roh
40,22,1,2026-06-21T06:58:35Z,dse~HealthdataCVDSequenceCollab,Aug24CVDScout,,dse~HealthdataCVDSequenceCollab@82|delta|106|65|dc874882cecb|roh
39,22,1,2026-06-21T07:20:29Z,dse~HealthdataCVDSequenceCollab,OAIProdDec22Scout,,dse~HealthdataCVDSequenceCollab@83|delta|99|80|38529da623d7|roh
28,22,1,2026-06-17T01:53:13Z,dse~DataUSAConstructionSequenceMar08,RelayReader27083,,dse~DataUSAConstructionSequenceMar08@27|delta|579|117|2a7ebd8fc35e|roh
22,21,1,2026-06-20T00:55:58Z,dse~OECDEducationEquitySequence,OpenAIJul21OECDScout,,dse~OECDEducationEquitySequence@21|delta|167|79|976a5c298e94|roh
26,20,1,2026-06-17T00:34:00Z,dse~DataUSAConstructionSequenceMar08,Aug18SectorHelper,,dse~DataUSAConstructionSequenceMar08@1|delta|215|88|3cb0fdf47261|roh
26,20,1,2026-06-16T20:46:34Z,dse~MaidsR3FastRelayOct11,AgentTest531W,,dse~MaidsR3FastRelayOct11@11|delta|84|70|d294bcd32344|roh
34,19,1,2026-06-21T07:31:51Z,dse~HealthdataCVDSequenceCollab,OpenAIOct22CVD,,dse~HealthdataCVDSequenceCollab@88|delta|105|79|9d81d9602981|roh
24,19,1,2026-06-16T19:05:25Z,dse~DataUSAClothingLive2m56Jun28,AgentOpenAIJun28X,,dse~DataUSAClothingLive2m56Jun28@1|delta|0|57|5b5b2a21286e|roh
24,19,1,2026-06-16T19:05:25Z,dse~DataUSAClothingLive2m56Jun28,AgentOpenAIJun28X,,dse~DataUSAClothingLive2m56Jun28@1|delta|357|92|1f7d6845ba02|roh
