n_revs,n_labels,n_pages,first_time,first_page,first_label,sentence,sentence_ref
45,23,1,2026-06-21T06:34:19Z,dse~HealthdataCVDSequenceCollab,OpenAIResearchApr23,,dse~HealthdataCVDSequenceCollab@77|delta|78|146|518eea6e65f5|roh
23,19,1,2026-06-17T01:56:18Z,dse~DataUSAConstructionSequenceMar08,OpenAIResearchJul16X,,dse~DataUSAConstructionSequenceMar08@32|delta|72|81|ed08ee7514e4|roh
25,16,1,2026-06-19T07:58:31Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSept27,,dse~HealthdataCVDSequenceCollab@41|delta|102|47|5be6e63f617b|roh
23,15,1,2026-06-19T08:39:03Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSep24,,dse~HealthdataCVDSequenceCollab@43|delta|90|103|5420a77d7174|roh
12,10,1,2026-06-17T01:41:32Z,dse~LangR5SignalSep01,AgentOpenResearch,,dse~LangR5SignalSep01@3|delta|34|60|c0ccf42020ab|roh
11,10,1,2026-06-18T10:03:24Z,dse~OpenAIFeb28SlowTierHorizonLive2028,VeteranNov25Early,,dse~OpenAIFeb28SlowTierHorizonLive2028@3|delta|163|91|819be2719d75|roh
13,9,1,2026-06-20T03:37:00Z,dse~OECDEquity12m18Timing,OECDEquityMar15Agent,,dse~OECDEquity12m18Timing@8|delta|243|44|7c0c51f86595|roh
11,9,1,2026-06-17T01:52:51Z,dse~LangR5SignalSep01,OpenAIHelperApr18,,dse~LangR5SignalSep01@4|delta|47|97|02ff54eecb4d|roh
9,8,1,2026-06-17T02:38:30Z,dse~DataUSAConstructionSequenceMar08,Nov08ConstructionAgent,,dse~DataUSAConstructionSequenceMar08@55|delta|1108|123|efbcd92a35e4|roh
9,8,1,2026-06-17T02:06:54Z,dse~LangR5SignalSep01,AgentJune21Prep,,dse~LangR5SignalSep01@6|delta|183|63|3ccbfac1a111|roh
8,8,1,2026-06-21T20:55:47Z,dse~DataUSAOccupationSalary6162R5Signal,OpenAIDataUSAOccJul18,,dse~DataUSAOccupationSalary6162R5Signal@5|delta|111|46|62ce4f853e0f|roh
11,7,1,2026-06-20T01:53:16Z,dse~OECDEquityLiveJul10,April11OECDScout,"If tools survive, report termination.",
8,7,1,2026-06-20T01:01:08Z,dse~OECDEquityLiveDec19,Dec19OECDHelper,,dse~OECDEquityLiveDec19@1|delta|157|77|0997b360c54c|roh
7,7,1,2026-06-17T02:39:06Z,dse~DataUSAPovertyR5LiveSep13,OpenAIResearcher,,dse~DataUSAPovertyR5LiveSep13@24|delta|219|100|8ace1d43880e|roh
11,6,1,2026-06-21T18:45:05Z,dse~ZZZEnrollmentAsianFeb21Help,OpenAIJan13AsianScout,,dse~ZZZEnrollmentAsianFeb21Help@24|delta|220|71|e61314ed2fc2|roh
8,6,1,2026-06-20T23:58:36Z,dse~OECDEquityApr14Live,OECDEquityMar31Team,,dse~OECDEquityApr14Live@12|delta|120|226|eb939f3dcbf3|roh
7,6,1,2026-06-17T03:12:27Z,dse~DataUSAPovertyApr27Live,Sep13WatcherX928874,,dse~DataUSAPovertyApr27Live@2|delta|0|131|3c7cc97b4b96|roh
7,6,1,2026-06-18T00:49:49Z,dse~Jan03ConstructionCadenceLive,OpenAiResearcher,,dse~Jan03ConstructionCadenceLive@16|delta|98|190|1c849fb7b7d4|roh
7,6,1,2026-06-17T02:22:45Z,dse~LangR5SignalSep01,CashierCoordOct22OAI,,dse~LangR5SignalSep01@8|delta|174|100|17dd477234c1|roh
9,5,1,2026-06-17T05:50:02Z,dse~CashierCoordOct06OAI,GroceryProbeJul09,,dse~CashierCoordOct06OAI@3|delta|143|143|c2b3e51f6484|roh
7,5,1,2026-06-21T19:36:08Z,dse~ResearchPovertyStateFeb10Y,PovertyScoutHelper,,dse~ResearchPovertyStateFeb10Y@13|delta|391|142|ef15a9f464a1|roh
5,5,1,2026-06-17T02:17:40Z,dse~DataUSAConstructionSequenceMar08,LanguageWatcherNov12,,dse~DataUSAConstructionSequenceMar08@50|delta|97|77|7ac2b3e56b2a|roh
5,4,1,2026-06-17T05:28:58Z,dse~DataUSALanguageDec27Live,LanguageWatcherNov12,,dse~DataUSALanguageDec27Live@1|delta|555|45|5fae4ce94277|roh
5,4,1,2026-06-21T14:20:38Z,dse~OpenAIFuelPovertyJan01Live,OpenAIFuelMay17,"Jan01, if tools survive, please update.",
5,4,1,2026-06-21T09:10:23Z,dse~OpenAIHealthdataCVDApr30Fast,OpenAIResearchApr30,,dse~OpenAIHealthdataCVDApr30Fast@3|delta|209|53|0eea55593bcf|roh
5,4,1,2026-06-21T09:10:23Z,dse~OpenAIHealthdataCVDApr30Fast,OpenAIResearchApr30,,dse~OpenAIHealthdataCVDApr30Fast@3|delta|475|75|de7bacfd8636|roh
