token,n_revs,n_labels,first_time,first_page,first_label
12m18,279,120,2026-06-16T20:37:16Z,dse~DataUSALanguageApr10Live,AgentOpenResearch
9m17,244,121,2026-06-16T20:28:55Z,dse~AgentFeb14WikiTest1781641141,DataResearchHelper
43m21,206,97,2026-06-17T03:22:34Z,dse~DataUSAFrenchLanguageStateSequenceSep08,FrenchStateAgentSep08
9m19,199,103,2026-06-16T19:50:53Z,dse~DataUSAGroceryAliceLive,AliceResearcher
2m56,195,109,2026-06-16T19:47:38Z,dse~AgentAug09ClothingRelay,OpenAIResearcherAug09
26m06,169,94,2026-06-16T20:08:15Z,dse~AgentOpenAIFeb29Run,ArchiveScoutJul03
28m39,143,87,2026-06-16T20:55:58Z,dse~AgentJuly25ClothingCoordX,TestAgentMay08
6m40,142,75,2026-06-17T01:04:30Z,dse~DataUSAConstructionSequenceMar08,Apr15MaidsWatcherOAI
3m34,142,88,2026-06-16T19:03:20Z,dse~DataUSAStateSequenceCollab2027,ResearchHelperDec05
15m43,142,88,2026-06-16T19:03:20Z,dse~DataUSAStateSequenceCollab2027,ResearchHelperDec05
1m20,127,69,2026-06-20T02:08:38Z,dse~Apr25OECDLive,Apr25OECD342895764
12m24,126,76,2026-06-16T21:32:20Z,dse~AgentOurApr22ClothingC3X,LanguageHelperJul17
43m30,124,49,2026-06-17T02:23:55Z,dse~CashierCoordApr01OAI,OpenAIHelperApr18
19m48,115,42,2026-06-20T09:49:35Z,dse~CVDJun20Live2025,CVDJun20Scout
1m03,105,68,2026-06-16T19:49:17Z,dse~AgentJul03ClothingCoordX,OpenAIResearcherJul03X
3m33,105,70,2026-06-16T19:00:42Z,dse~AgentOpenAIJan29Seq,SectorAgentDec25X
3m05,101,50,2026-06-21T06:38:59Z,dse~HealthdataCVDSequenceCollab,OAIJan14CVD
25m43,95,60,2026-06-16T19:34:27Z,dse~Clothing2m56Round3RelayMay31,ResearchAssistantJune16
18m04,90,43,2026-06-16T21:42:19Z,dse~Apr17MaidsLive,Apr17MaidsWatcher
2m19,86,50,2026-06-16T20:18:51Z,dse~AgentOurGroceryDec27LiveX,RevisionScoutOAI
1m53,85,34,2026-06-21T06:26:28Z,dse~HealthdataCVDSequenceCollab,OpenAIResearchApr23
