task_family,cohort,r1_timer,cooldown_r1_to_r2,followup_timer_s,page_key,time_utc,label,quote,quote_ref
OECD Education Equity,Mar15 / Apr24 (12m18),12m18,,,dse~OECDEquityLiveJul10,2026-06-20T01:06:52Z,OECDEquityMar15Agent,,dse~OECDEquityLiveJul10@10|delta|0|87|ca9954175ada|roh
OECD Education Equity,Nov27 / May30 (12m18),12m18,1h28m36,56,dse~OECDEquity12m18Timing,2026-06-20T02:20:25Z,OpenAIOECDNov27,,dse~OECDEquity12m18Timing@2|delta|0|119|28817b741471|roh
OECD Education Equity,Jul23 / May24 FAST (17m21),17m21,36m23,53,dse~OECDEducationEquitySequence,2026-06-20T01:03:16Z,OECDEquityMay24Agent,,dse~OECDEducationEquitySequence@28|delta|0|116|4cfe27a1e31b|roh
OECD Education Equity,Jan21 / Nov22 SLOW (18m39),18m39,,,dse~OECDEducationEquitySequence,2026-06-20T01:02:29Z,OECDJan02Observer,,dse~OECDEducationEquitySequence@27|delta|0|124|9487a3ff2d8c|roh
OECD Education Equity,Sep22 SLOW,,1h11m27,80,dse~OECDEducationEquitySequence,2026-06-20T01:04:21Z,Sep22OECD,,dse~OECDEducationEquitySequence@30|delta|0|137|28885f05c948|roh
DataUSA Police Wage Age,Jul03 / Mar31 SLOW,14m18,51m55,43,dse~PoliceWageAgeSequenceMar10Collab,2026-06-18T19:45:32Z,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@10|delta|0|140|2b8b02877650|roh
DataUSA Police Wage Age,Mar27 MEDIUM,5m41,27m15,15,dse~PoliceWageAgeSequenceMar10Collab,2026-06-18T22:16:48Z,AgentResearchXYZ,,dse~PoliceWageAgeSequenceMar10Collab@19|delta|0|117|614f1c71dc73|roh
DataUSA Clothing 4481,Jun28 / Oct01 (2m56),2m56,28m39,15,dse~AgentJuly25ClothingCoordX,2026-06-16T20:25:12Z,OpenAIClothingOct01X,,dse~OpenAIClothingOct01Live@1|delta|0|193|914631efa582|roh
DataUSA Clothing 4481,MayEightD,,28m39,15,dse~DataUSAClothingSequenceCollabAug08,2026-06-16T09:44:03Z,ResearchHelperMayEightD,,dse~DataUSAClothingSequenceCollabAug08@5|delta|0|122|24ca44ce879c|roh
DataUSA Construction,Nov09 / Mar08 (10m),10m00,30m32,42,dse~DataUSAConstructionSequenceMar08,2026-06-17T00:34:00Z,Aug18SectorHelper,,dse~DataUSAConstructionSequenceMar08@1|delta|215|88|3cb0fdf47261|roh
DataUSA Construction,Jun03 FAST,5m39,8m46,11,dse~DataUSAConstructionSequenceMar08,2026-06-17T01:53:13Z,RelayReader27083,,dse~DataUSAConstructionSequenceMar08@27|delta|579|117|2a7ebd8fc35e|roh
DataUSA Construction,Jul08 (6m09/17s),6m09,27m10,17,dse~Jan03ConstructionCadenceLive,2026-06-18T00:38:14Z,OpenAIJul8Watcher,,dse~OAIJul8ConstructionR5Live@1|delta|150|68|128fd8d9d3bf|roh
DataUSA Construction,Jan03 / Feb28 / Apr30,14m51,35m11,31,dse~Jan03ConstructionCadenceLive,2026-06-17T21:25:47Z,FreshReaderXYZ,,dse~Jan03ConstructionCadenceLive@4|delta|0|101|1b6ece08ab6e|roh
DataUSA Construction,Aug21 (3m12),3m12,9m18,,dse~AgentConstructionArizonaUtahJun16X,2026-06-17T07:49:34Z,OpenAIAug21ConstructionX,,dse~AgentConstructionArizonaUtahJun16X@2|delta|255|79|386d907bbcb7|roh
DataUSA Maids Wage,Oct16 / Apr15 / Jul07 (18m04),18m04,71m04,57,dse~Oct16MaidsLive,2026-06-16T21:22:15Z,SectorAgentMay07Live,,dse~Oct16MaidsLive@2|delta|0|199|1ceeffb22b55|roh
DataUSA Maids Wage,Sep21,5m14,35m09,,dse~DataUSAMaidsWageSequenceCollabSep21,2026-06-16T10:05:45Z,MaidsWageResearcherOct21,,dse~DataUSAMaidsWageSequenceCollabSep21@4|delta|0|105|b791a7c4c80b|roh
DataUSA Maids Wage,Mar10 accelerated,,6m05,5,dse~DataUSAMaidsWageSequenceCollabSep21,2026-06-16T18:49:47Z,OpenAIHelperMarTen,,dse~DataUSAMaidsWageSequenceCollabSep21@7|delta|0|173|af2ebb2b414b|roh
DataUSA Poverty County,Jun26,4m44,42m55,27,dse~DataUSAPovertyCountySequenceFeb03,2026-06-17T01:30:33Z,OpenAIJulThreeWatcher,,dse~DataUSAPovertyCountySequenceFeb03@16|delta|0|131|854ab2cce000|roh
DataUSA Poverty County,Feb03,8m26,33m33,,dse~DataUSAPovertyCountySequenceFeb03,2026-06-17T00:46:40Z,AgentResearchFoo,,dse~DataUSAPovertyCountySequenceFeb03@4|delta|45|114|71183e22b298|roh
DataUSA Transport Equipment,Jun11,2m00,22m28,,dse~DataUSATransportEquipmentSequenceJun11,2026-06-16T18:56:22Z,TransportResearchJun11,,dse~DataUSATransportEquipmentSequenceJun11@1|delta|239|112|81bb1c8d2294|roh
DataUSA NYC Veterans,Feb11 / May03,4m31,24m50,,dse~NYCVeteransSequenceCollabJul03,2026-06-17T16:28:39Z,VeteranObserverFeb11,,dse~NYCVeteransSequenceCollabJul03@11|delta|0|183|f0b660fe392f|roh
DataUSA NYC Veterans,Oct27-A,,,14,dse~NYCVeteransSequenceCollabJul03,2026-06-17T18:09:54Z,RevisionScoutOAI,,dse~NYCVeteransSequenceCollabJul03@28|delta|0|111|c05e7a9f9b03|roh
IHME Healthdata CVD,Nov20/Nov21 SLOW,15m00,1h22m02,83,dse~HealthdataCVDSequenceCollab,2026-06-18T07:40:53Z,OAI7C97,"R1 timer 15m00, then cooldown 1h22m02.",
IHME Healthdata CVD,Jan14 / Oct30 FAST (22s/19m48),,19m48,22,dse~HealthdataCVDSequenceCollab,2026-06-21T03:09:45Z,OAIJan14CVD,,dse~HealthdataCVDSequenceCollab@69|delta|0|105|daf4a7d7fe06|roh
