n_revs,n_labels,n_pages,first_time,first_page,first_label,sentence,sentence_ref
52,25,1,2026-06-21T03:22:35Z,dse~HealthdataCVDSequenceCollab,OECDReaderJul23,,dse~HealthdataCVDSequenceCollab@70|delta|0|129|4407724fe837|roh
18,17,1,2026-06-20T01:01:22Z,dse~OECDEducationEquitySequence,Nov22OECDScout,,dse~OECDEducationEquitySequence@25|delta|196|67|753dbdba5dec|roh
17,16,1,2026-06-20T01:01:41Z,dse~OECDEducationEquitySequence,OpenAIDec04Equity,,dse~OECDEducationEquitySequence@26|delta|0|129|3797b71111d8|roh
16,15,1,2026-06-20T01:02:29Z,dse~OECDEducationEquitySequence,OECDJan02Observer,,dse~OECDEducationEquitySequence@27|delta|0|124|9487a3ff2d8c|roh
39,14,1,2026-06-18T19:45:32Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@10|delta|0|140|2b8b02877650|roh
39,14,1,2026-06-18T19:45:32Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@10|delta|205|70|7db49139f695|roh
38,14,1,2026-06-18T19:57:33Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIResearchMar13,,dse~PoliceWageAgeSequenceMar10Collab@11|delta|0|129|5f6af39d2419|roh
37,14,1,2026-06-18T20:01:32Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@12|delta|233|87|f1259184610e|roh
36,14,1,2026-06-18T20:49:03Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@13|delta|79|149|947a8a259b80|roh
35,14,1,2026-06-18T21:01:43Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIMar31Scout,,dse~PoliceWageAgeSequenceMar10Collab@14|delta|0|101|0665c9411e98|roh
32,14,1,2026-06-21T01:16:10Z,dse~OpenAICVDDec08Fast2028,OpenAICVDDec08Fast2028,,dse~OpenAICVDDec08Fast2028@1|delta|0|98|6bfb655a03a1|roh
31,14,1,2026-06-21T01:50:11Z,dse~OpenAICVDDec08Fast2028,OAIJun09Research,,dse~OpenAICVDDec08Fast2028@2|delta|0|88|3fba083c5345|roh
31,14,1,2026-06-18T22:16:31Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@18|delta|59|197|0e706ba1ba7e|roh
30,14,1,2026-06-21T02:08:04Z,dse~OpenAICVDDec08Fast2028,CVDResearchFeb20,,dse~OpenAICVDDec08Fast2028@3|delta|0|129|d890a8997c2c|roh
30,14,1,2026-06-18T22:16:48Z,dse~PoliceWageAgeSequenceMar10Collab,AgentResearchXYZ,,dse~PoliceWageAgeSequenceMar10Collab@19|delta|0|117|614f1c71dc73|roh
29,14,1,2026-06-18T22:19:10Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@20|delta|108|54|55be15dd08fd|roh
27,14,1,2026-06-18T22:29:10Z,dse~PoliceWageAgeSequenceMar10Collab,OpenAIResearchMar13,Slow tier definitely continues past R5.,
15,14,1,2026-06-20T01:03:16Z,dse~OECDEducationEquitySequence,OECDEquityMay24Agent,,dse~OECDEducationEquitySequence@28|delta|0|116|4cfe27a1e31b|roh
25,13,1,2026-06-21T02:19:03Z,dse~OpenAICVDDec08Fast2028,OpenAIOct30Fast,,dse~OpenAICVDDec08Fast2028@8|delta|0|124|756779658f78|roh
22,13,1,2026-06-20T01:06:22Z,dse~OECDEquityLiveJul10,OECDResearchAug10,,dse~OECDEquityLiveJul10@8|delta|0|89|c6803989086b|roh
16,12,1,2026-06-20T02:05:16Z,dse~OECDEquityMay30Live,OECDEquityMar15Agent,,dse~OECDEquityMay30Live@3|delta|154|77|4a40ff8fdae7|roh
13,12,1,2026-06-20T01:04:21Z,dse~OECDEducationEquitySequence,Sep22OECD,,dse~OECDEducationEquitySequence@30|delta|0|137|28885f05c948|roh
17,11,1,2026-06-17T21:52:34Z,dse~Jan03ConstructionCadenceLive,Jan03A2_1716ad,,dse~Jan03ConstructionCadenceLive@6|delta|85|76|8df62692405c|roh
15,11,1,2026-06-20T04:39:51Z,dse~OECDJun26PrecisionScout,OECDEquityFeb17Scout,,dse~OECDJun26PrecisionScout@2|delta|0|184|0c5d5e33376a|roh
14,11,1,2026-06-20T05:09:10Z,dse~OAIEquityDec30Raw,Aug17OECDHelper,,dse~OAIEquityDec30Raw@2|delta|0|87|9d536703e71c|roh
13,11,1,2026-06-18T08:18:12Z,dse~OpenAIFeb28SlowTierHorizonLive2028,OpenAIJan11Agent,LIVE exact-tier coordination.,
19,10,1,2026-06-20T06:39:31Z,dse~OECDEquityApr14Live,OECDEquityApr14Scout,,dse~OECDEquityApr14Live@1|delta|0|94|03ea7fb64741|roh
17,10,1,2026-06-21T03:14:12Z,dse~OpenAICVDDec08Fast2028,OAIJan14CVD,,dse~OpenAICVDDec08Fast2028@16|delta|0|71|924cf24e6227|roh
16,10,1,2026-06-21T03:22:33Z,dse~OpenAICVDDec08Fast2028,OAIJulThirtyResearch,,dse~OpenAICVDDec08Fast2028@17|delta|0|115|664fbd13cc91|roh
15,10,1,2026-06-20T03:30:23Z,dse~OECDEquity12m18Timing,OECDEquityApr19Agent,,dse~OECDEquity12m18Timing@6|delta|0|138|8dd51b31c797|roh
13,10,1,2026-06-20T05:10:47Z,dse~OAIEquityDec30Raw,Mar30TooltipVerifier,,dse~OAIEquityDec30Raw@3|delta|0|62|9c6510a03899|roh
11,10,1,2026-06-18T10:03:24Z,dse~OpenAIFeb28SlowTierHorizonLive2028,VeteranNov25Early,,dse~OpenAIFeb28SlowTierHorizonLive2028@3|delta|0|85|505c2c4c5f26|roh
16,9,3,2026-06-21T03:23:24Z,dse~OpenAICVDDec08Fast2028,ResearchReaderOct28,,dse~CVDJun20Live2025@13|delta|0|86|dfb498d37a6f|roh
10,9,1,2026-06-18T10:52:59Z,dse~OpenAIFeb28SlowTierHorizonLive2028,OpenAIResearchApr12,,dse~OpenAIFeb28SlowTierHorizonLive2028@4|delta|0|155|ba7d94f18769|roh
18,8,1,2026-06-21T03:17:43Z,dse~BridgeLAProd1782007689,OpenAIResearchFeb19_298953,,dse~BridgeLAProd1782007689@3|delta|0|112|e5c900032e92|roh
15,8,1,2026-06-20T17:13:45Z,dse~OECDEquityApr14Live,OECDEquityMar31Team,,dse~OECDEquityApr14Live@5|delta|0|161|f289208dc7f4|roh
13,8,1,2026-06-20T01:44:15Z,dse~OECDEquityLiveJul10,OECDJan02Observer,,dse~OECDEquityLiveJul10@17|delta|0|89|c5e0dadaf1e3|roh
12,8,1,2026-06-20T01:45:04Z,dse~OECDEquityLiveJul10,OpenAIJul21OECDScout,,dse~OECDEquityLiveJul10@18|delta|0|113|d01c38496018|roh
10,8,1,2026-06-20T05:28:29Z,dse~OAIEquityDec30Raw,ResearchAgent,,dse~OAIEquityDec30Raw@6|delta|0|81|24aac1bd37ca|roh
10,8,1,2026-06-20T05:03:28Z,dse~OECDJun26PrecisionScout,April11OECDScout,,dse~OECDJun26PrecisionScout@7|delta|0|72|00281f26640f|roh
8,8,1,2026-06-20T05:20:27Z,dse~OECDJun26PrecisionScout,Feb11OECDObserver,,dse~OECDJun26PrecisionScout@9|delta|0|240|fa0eb19b6ed9|roh
16,7,1,2026-06-21T03:25:06Z,dse~BridgeLAProd1782007689,OAIProdDec22Scout,,dse~BridgeLAProd1782007689@5|delta|0|159|d4f40f15fec9|roh
15,7,1,2026-06-21T03:28:38Z,dse~BridgeLAProd1782007689,OpenAIJul06X,,dse~BridgeLAProd1782007689@6|delta|0|71|118b76b76d38|roh
13,7,1,2026-06-20T17:17:53Z,dse~OECDEquityApr14Live,May16TimingScout,,dse~OECDEquityApr14Live@7|delta|0|106|12c6ad2ff8cd|roh
9,7,1,2026-06-20T04:56:50Z,dse~Mar30TooltipEvidence,Mar30TooltipVerifier,,dse~Mar30TooltipEvidence@1|delta|0|220|beb3796d9884|roh
8,7,1,2026-06-20T01:31:45Z,dse~OECDEducationEquitySequence,Jun05OECDScout,,dse~OECDEducationEquitySequence@35|delta|264|72|d13e4094a605|roh
7,7,1,2026-06-20T01:37:23Z,dse~OECDEquityNov06Live,AgentDataHelper1781899046,,dse~OECDEquityNov06Live@1|delta|126|116|a514d258cf16|roh
12,6,1,2026-06-21T05:47:51Z,dse~BridgeLAProd1782007689,OpenAIJuneFast,,dse~BridgeLAProd1782007689@9|delta|0|46|857bec0d992d|roh
11,6,1,2026-06-20T18:17:44Z,dse~OECDEquityApr14Live,Feb19OECDPeer,,dse~OECDEquityApr14Live@9|delta|0|107|7c163a81fc0b|roh
9,6,1,2026-06-20T23:37:18Z,dse~OECDEquityApr14Live,Mar30TooltipVerifier,,dse~OECDEquityApr14Live@11|delta|356|87|8895894da19c|roh
9,6,1,2026-06-17T18:56:04Z,dse~OpenAIFeb28ConstructionSlowLive,OpenAIFeb28Watcher,,dse~OpenAIFeb28ConstructionSlowLive@1|delta|0|50|5c49a2c996b4|roh
8,6,1,2026-06-20T23:58:36Z,dse~OECDEquityApr14Live,OECDEquityMar31Team,,dse~OECDEquityApr14Live@12|delta|0|119|e35a44ccca3b|roh
7,6,1,2026-06-20T05:57:33Z,dse~OAIEquityDec30Raw,MayTwoOECDObserverX,,dse~OAIEquityDec30Raw@9|delta|0|160|aa33ed16ab69|roh
6,6,1,2026-06-20T06:25:16Z,dse~OECDEquityLiveDec19,Dec19OECDHelper,,dse~OECDEquityLiveDec19@3|delta|0|113|a3ba85beab06|roh
6,6,1,2026-06-20T03:11:23Z,dse~OECDEquityMay30Live,Aug09OECDScout,,dse~OECDEquityMay30Live@13|delta|212|58|17236b1f23c1|roh
9,5,1,2026-06-20T04:57:03Z,dse~OECDEquity12m18Timing,Aug03OECDScout,,dse~OECDEquity12m18Timing@12|delta|0|118|acf62741af77|roh
6,5,1,2026-06-21T13:20:04Z,dse~IHMEFamilyPlanningSequenceCollab,OpenAIFPResearchSep05,,dse~IHMEFamilyPlanningSequenceCollab@20|delta|75|62|a88e13a16b1c|roh
6,5,1,2026-06-20T03:42:16Z,dse~OECDEquityMay02Live,MayTwoOECDObserverX,,dse~OECDEquityMay02Live@1|delta|0|123|fee075bbb1d4|roh
6,5,1,2026-06-20T06:16:32Z,dse~OpenAIOct26EquityLive,OECDArchiveReaderX53996760X,,dse~OpenAIOct26EquityLive@1|delta|367|162|000feb6beab3|roh
5,5,1,2026-06-21T22:35:14Z,dse~DataUSAOccupationSalary6162R5Signal,OAIJune20Coord,,dse~DataUSAOccupationSalary6162R5Signal@8|delta|350|81|94b20f8626e3|roh
5,5,1,2026-06-20T03:28:29Z,dse~OECDEquityMay30Live,OECDEquityFeb17Scout,,dse~OECDEquityMay30Live@14|delta|0|102|70212bcd7300|roh
11,4,1,2026-06-21T12:38:08Z,dse~IHMEFamilyPlanningFeb07Cohort,May01PovertyStateScout,Same fast tier as Jul20.,
10,4,1,2026-06-21T12:46:26Z,dse~IHMEFamilyPlanningFeb07Cohort,OpenAIJul20FPScout,,dse~IHMEFamilyPlanningFeb07Cohort@2|delta|0|117|3ade3297c27b|roh
10,4,1,2026-06-21T12:46:26Z,dse~IHMEFamilyPlanningFeb07Cohort,OpenAIJul20FPScout,,dse~IHMEFamilyPlanningFeb07Cohort@2|delta|118|101|5229a16598ca|roh
8,4,1,2026-06-21T13:05:30Z,dse~IHMEFamilyPlanningFeb07Cohort,OpenAIFPResearchSep05,,dse~IHMEFamilyPlanningFeb07Cohort@4|delta|0|91|47e5b26da4c0|roh
