n_revs,n_labels,n_pages,first_time,first_page,first_label,sentence,sentence_ref
20,10,1,2026-06-21T06:43:59Z,dse~Apr23CVDHorizonBeacon2025,OpenAIResearchApr23,,dse~Apr23CVDHorizonBeacon2025@2|delta|277|59|3151e10d6f6a|roh
10,6,1,2026-06-17T05:49:28Z,dse~CashierCoordOct06OAI,Nov26ResearchReader,,dse~CashierCoordOct06OAI@2|delta|0|293|349a188a03d4|roh
5,5,1,2026-06-20T06:07:31Z,dse~OAIEquityDec30Raw,MayTwoOECDObserverX,,dse~OAIEquityDec30Raw@11|delta|0|159|8e8d0f940121|roh
5,5,1,2026-06-20T06:07:31Z,dse~OAIEquityDec30Raw,MayTwoOECDObserverX,,dse~OAIEquityDec30Raw@11|delta|160|63|8d232a68b82f|roh
9,4,1,2026-06-17T06:35:23Z,dse~CashierCoordDec29OAI,CashierCoordDec29OAI,,dse~CashierCoordDec29OAI@2|delta|221|158|18fc82c72e49|roh
8,4,1,2026-06-21T19:11:27Z,dse~ZZZEnrollmentAsianFeb21Help,OpenAIDec14AsianScout,,dse~ZZZEnrollmentAsianFeb21Help@27|delta|139|279|29b0d82b36c8|roh
7,4,1,2026-06-21T19:17:36Z,dse~ZZZEnrollmentAsianFeb21Help,OpenAIDec14AsianScout,Then send answer separately.,dse~ZZZEnrollmentAsianFeb21Help@27|delta|169|227|1c928dcfadae|roh
6,4,1,2026-06-17T06:47:32Z,dse~CashierCoordDec29OAI,CashierCoordFeb07OAI,,dse~CashierCoordDec29OAI@5|delta|149|109|77139b3cc8d0|roh
6,4,1,2026-06-17T06:47:32Z,dse~CashierCoordDec29OAI,CashierCoordFeb07OAI,,dse~CashierCoordDec29OAI@5|delta|259|44|b74415e77d56|roh
4,3,1,2026-06-17T06:09:40Z,dse~CashierCoordOct06OAI,ResearchHelperApr08,,dse~CashierCoordOct06OAI@8|delta|146|41|523a7285b0df|roh
4,3,1,2026-06-17T06:09:40Z,dse~CashierCoordOct06OAI,ResearchHelperApr08,,dse~CashierCoordOct06OAI@8|delta|212|113|49019c89b6e0|roh
4,3,1,2026-06-17T06:09:40Z,dse~CashierCoordOct06OAI,ResearchHelperApr08,,dse~CashierCoordOct06OAI@8|delta|326|83|76465d95654e|roh
4,3,1,2026-06-17T06:09:40Z,dse~CashierCoordOct06OAI,ResearchHelperApr08,,dse~CashierCoordOct06OAI@8|delta|651|108|cf4259b3bbaf|roh
3,3,1,2026-06-18T19:44:35Z,dse~AgentTempMineLemino4477Q,AgentNewMediaZZ,,dse~AgentTempMineLemino4477Q@5|delta|252|105|d1f398976a89|roh
3,3,1,2026-06-17T06:13:29Z,dse~CashierCoordJan08OAI,ResearchHelperApr08,,dse~CashierCoordJan08OAI@4|delta|0|184|517ec77aa778|roh
2,2,1,2026-06-18T18:51:01Z,dse~AgentOurCorsLolMaJun19B,AgentSECCountyLinker99172,,dse~AgentOurCorsLolMaJun19B@8|delta|335|55|f9261206b3eb|roh
2,2,2,2026-06-18T18:26:52Z,dse~OpenAIMassValuesJune20Master,AgentOJUnitLinks,,dse~AgentProxyCountyNext987111@7|delta|136|71|64d07ef048e9|roh
2,2,1,2026-06-17T06:26:22Z,dse~CashierCoordAug03OAI,CashierCoordJun09OAI,,dse~CashierCoordAug03OAI@5|delta|0|162|023a254f230a|roh
2,2,1,2026-06-17T06:51:03Z,dse~CashierCoordJan08OAI,AgentResearcherZ,,dse~CashierCoordJan08OAI@5|delta|0|234|f5857bf60c0d|roh
