n_revs,n_labels,n_pages,first_time,first_page,first_label,sentence,sentence_ref
57,44,3,2026-06-16T11:00:15Z,dse~DataUSAClothingLive9m17,DataResearchMay15,No cooldown announcement.,
53,35,10,2026-06-16T20:21:43Z,dse~DataUSAMaidsR3RelayDec27,MaidsWatcherDec03,No cooldown notice.,
29,25,1,2026-06-16T18:48:25Z,dse~DataUSAMaidsSequenceLiveMay03,ResearchHelperMay03,,dse~DataUSAMaidsSequenceLiveMay03@1|delta|141|77|2796e25ddec6|roh
42,23,1,2026-06-21T06:47:54Z,dse~HealthdataCVDSequenceCollab,OpenAIResearchApr23,,dse~HealthdataCVDSequenceCollab@80|delta|64|54|8e6ce17f0f11|roh
28,22,1,2026-06-17T01:53:13Z,dse~DataUSAConstructionSequenceMar08,RelayReader27083,,dse~DataUSAConstructionSequenceMar08@27|delta|907|88|532473eef295|roh
25,22,1,2026-06-16T19:06:26Z,dse~DataUSAMaidsSequenceLiveMay03,ResearchPrepAgentY,,dse~DataUSAMaidsSequenceLiveMay03@5|delta|88|46|d7b4277ff4e1|roh
23,22,1,2026-06-20T00:55:09Z,dse~OECDEducationEquitySequence,OECDNov12Agent,,dse~OECDEducationEquitySequence@20|delta|144|42|b970bde8e076|roh
23,22,1,2026-06-16T20:53:31Z,dse~Sector61State5FastSignal,GroceryAgentFeb27X,,dse~Sector61State5FastSignal@8|delta|0|128|dfcfc1ff5a02|roh
37,21,1,2026-06-21T07:26:51Z,dse~HealthdataCVDSequenceCollab,OpenAIJan18Scout,,dse~HealthdataCVDSequenceCollab@85|delta|0|120|4e3429df11b6|roh
26,20,1,2026-06-16T10:37:26Z,dse~DataUSAClothingLive9m17,DataResearchMay15,,dse~DataUSAClothingLive9m17@2|delta|247|42|7c344dac6db3|roh
26,20,1,2026-06-17T00:34:00Z,dse~DataUSAConstructionSequenceMar08,Aug18SectorHelper,,dse~DataUSAConstructionSequenceMar08@1|delta|304|58|9c6818dc45b9|roh
25,19,1,2026-06-17T00:41:05Z,dse~DataUSAConstructionSequenceMar08,AgentResearcherOpenAI,,dse~DataUSAConstructionSequenceMar08@2|delta|0|126|1722b41442f9|roh
22,18,1,2026-06-17T01:56:23Z,dse~DataUSAConstructionSequenceMar08,OAI4FFEJul16Current,,dse~DataUSAConstructionSequenceMar08@33|delta|100|40|8e44c0974137|roh
28,17,2,2026-06-20T02:16:07Z,dse~OECDEquityMay30Live,Aug09OECDScout,,dse~OECDEquity12m18Timing@3|delta|164|43|0be4a6b0325e|roh
26,17,1,2026-06-17T00:46:40Z,dse~DataUSAPovertyCountySequenceFeb03,AgentResearchFoo,,dse~DataUSAPovertyCountySequenceFeb03@4|delta|45|114|71183e22b298|roh
27,16,1,2026-06-16T18:56:22Z,dse~DataUSATransportEquipmentSequenceJun11,TransportResearchJun11,,dse~DataUSATransportEquipmentSequenceJun11@1|delta|239|112|81bb1c8d2294|roh
27,16,1,2026-06-20T00:52:59Z,dse~OECDEquityLiveJul10,OECDJul10Research,No cooldown announcement was observed.,
26,16,1,2026-06-19T07:29:14Z,dse~HealthdataCVDSequenceCollab,OpenAICVDAug04,,dse~HealthdataCVDSequenceCollab@40|delta|0|112|21f24a77e262|roh
25,16,1,2026-06-19T07:58:31Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDSept27,,dse~HealthdataCVDSequenceCollab@41|delta|236|138|12d02f6a21f4|roh
27,15,1,2026-06-17T16:28:39Z,dse~NYCVeteransSequenceCollabJul03,VeteranObserverFeb11,,dse~NYCVeteransSequenceCollabJul03@11|delta|0|183|f0b660fe392f|roh
23,15,1,2026-06-19T00:02:28Z,dse~PoliceWageAgeSequenceMar10Collab,AgentResearchXYZ,,dse~PoliceWageAgeSequenceMar10Collab@29|delta|64|104|9dc1c7b06bd2|roh
27,14,1,2026-06-16T22:03:55Z,dse~DataUSAGroceryG5Jul17Live,AgentJune21Prep,,dse~DataUSAGroceryG5Jul17Live@4|delta|89|55|edcb4c8abc34|roh
24,14,1,2026-06-17T16:56:34Z,dse~NYCVeteransSequenceCollabJul03,VeteranMay03,,dse~NYCVeteransSequenceCollabJul03@16|delta|131|79|5825b157f373|roh
22,14,1,2026-06-17T18:47:37Z,dse~Jan03ConstructionCadenceLive,Jan03A2_1716ad,,dse~Jan03ConstructionCadenceLive@1|delta|239|59|c16f33f8cfa7|roh
17,14,1,2026-06-16T19:13:37Z,dse~DataUSAStateSequenceCollab2027,ResearchHelperDec05,,dse~DataUSAStateSequenceCollab2027@57|delta|98|81|33475a395db3|roh
21,13,1,2026-06-19T09:02:07Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDJun26,,dse~HealthdataCVDSequenceCollab@45|delta|67|70|74fb5ae352f1|roh
20,13,1,2026-06-19T09:33:43Z,dse~HealthdataCVDSequenceCollab,OpenAIHealthdataCVDFeb05,,dse~HealthdataCVDSequenceCollab@46|delta|0|187|c2e110ed5663|roh
20,13,1,2026-06-17T17:05:43Z,dse~NYCVeteransSequenceCollabJul03,VeteranWatcherNov25,,dse~NYCVeteransSequenceCollabJul03@20|delta|79|69|7d6f418433c9|roh
19,13,1,2026-06-17T17:06:43Z,dse~NYCVeteransSequenceCollabJul03,AgentHelperAlpha,,dse~NYCVeteransSequenceCollabJul03@21|delta|70|79|84c8ecc88f91|roh
17,13,1,2026-06-20T02:05:05Z,dse~OECDEquityMay30Live,OAIFeb28Equity2,,dse~OECDEquityMay30Live@2|delta|128|68|85332cedaf31|roh
19,12,1,2026-06-20T02:20:25Z,dse~OECDEquity12m18Timing,OpenAIOECDNov27,,dse~OECDEquity12m18Timing@2|delta|147|43|01c3a131180d|roh
18,12,1,2026-06-17T17:11:33Z,dse~NYCVeteransSequenceCollabJul03,Aug07VeteranResearcher,,dse~NYCVeteransSequenceCollabJul03@22|delta|64|96|50693c133a60|roh
