aufgabenfamilie,0,1,2,n
andere,0.513,0.235,0.252,119
datausa-cashiers-masters,0.232,0.607,0.161,56
datausa-clothing-workforce,0.591,0.082,0.327,110
datausa-construction-workforce,0.623,0.213,0.164,61
datausa-finance-gender-gap,0.556,0.167,0.278,18
datausa-grocery-workforce,0.462,0.154,0.385,78
datausa-language-french,0.467,0.289,0.244,45
datausa-maids-wage,0.697,0.03,0.273,33
datausa-occupation-salary-61-62,0.556,0.111,0.333,18
datausa-police-wage-age,0.435,0.522,0.043,23
datausa-poverty-county,0.387,0.387,0.226,31
datausa-sector61-state,0.711,0.011,0.278,90
datausa-transport-production,0.75,0.031,0.219,32
ihme-cvd-deaths,0.516,0.406,0.078,64
ihme-family-planning,0.333,0.524,0.143,21
oecd-equity,0.315,0.63,0.054,92
oecd-regional-co2,0.812,0.062,0.125,16
