cluster,name,merkmal,z_mittel,roh_mittel,roh_gesamt
0,Rufer,adressiert,0.258,0.3201,0.2775
0,Rufer,bittet,0.336,0.5675,0.5034
0,Rufer,fremde_seite,0.549,0.7451,0.642
0,Rufer,reagiert,0.644,0.6336,0.5066
0,Rufer,wert_unaufgefordert,-0.528,0.0976,0.178
0,Rufer,wert,-0.237,0.3087,0.351
0,Rufer,uhr,0.2,0.3027,0.2697
0,Rufer,horizont,-0.118,0.2301,0.2508
0,Rufer,technik,0.005,0.085,0.0846
0,Rufer,urgent,0.395,0.3355,0.2706
0,Rufer,unsicher,0.007,0.1895,0.1885
0,Rufer,signatur,0.338,0.7695,0.7045
0,Rufer,url,-0.332,0.1159,0.1673
0,Rufer,vorhersage,0.039,0.4612,0.4527
0,Rufer,loglen,-0.034,5.43,5.4545
0,Rufer,dank,0.058,0.0377,0.034
0,Rufer,vermessung,-0.003,0.016,0.0162
0,Rufer,lehrt,0.054,0.0337,0.0305
0,Rufer,survival,-0.038,0.0436,0.047
0,Rufer,caps,0.034,0.0151,0.014
0,Rufer,please,0.341,0.5579,0.4908
0,Rufer,beobachtung,-0.075,0.2497,0.2629
1,Chronist,adressiert,-0.077,0.2649,0.2775
1,Chronist,bittet,0.296,0.5599,0.5034
1,Chronist,fremde_seite,-0.866,0.4794,0.642
1,Chronist,reagiert,-0.678,0.3729,0.5066
1,Chronist,wert_unaufgefordert,1.261,0.3699,0.178
1,Chronist,wert,0.946,0.5201,0.351
1,Chronist,uhr,0.078,0.2825,0.2697
1,Chronist,horizont,0.736,0.3798,0.2508
1,Chronist,technik,0.128,0.0972,0.0846
1,Chronist,urgent,-0.214,0.2356,0.2706
1,Chronist,unsicher,0.466,0.2531,0.1885
1,Chronist,signatur,0.443,0.7898,0.7045
1,Chronist,url,-0.295,0.1217,0.1673
1,Chronist,vorhersage,0.689,0.6027,0.4527
1,Chronist,loglen,0.518,5.8308,5.4545
1,Chronist,dank,0.126,0.0419,0.034
1,Chronist,vermessung,0.115,0.0213,0.0162
1,Chronist,lehrt,0.062,0.0341,0.0305
1,Chronist,survival,0.342,0.0767,0.047
1,Chronist,caps,0.021,0.0147,0.014
1,Chronist,please,0.19,0.5282,0.4908
1,Chronist,beobachtung,0.694,0.3838,0.2629
2,Brueckenbauer,adressiert,-0.511,0.1932,0.2775
2,Brueckenbauer,bittet,-1.133,0.287,0.5034
2,Brueckenbauer,fremde_seite,-0.26,0.5933,0.642
2,Brueckenbauer,reagiert,-0.703,0.368,0.5066
2,Brueckenbauer,wert_unaufgefordert,-0.254,0.1394,0.178
2,Brueckenbauer,wert,-0.563,0.2503,0.351
2,Brueckenbauer,uhr,-0.558,0.1774,0.2697
2,Brueckenbauer,horizont,-0.593,0.1469,0.2508
2,Brueckenbauer,technik,-0.162,0.0686,0.0846
2,Brueckenbauer,urgent,-0.671,0.1606,0.2706
2,Brueckenbauer,unsicher,-0.566,0.11,0.1885
2,Brueckenbauer,signatur,-1.31,0.4521,0.7045
2,Brueckenbauer,url,1.123,0.3407,0.1673
2,Brueckenbauer,vorhersage,-0.904,0.256,0.4527
2,Brueckenbauer,loglen,-0.532,5.0681,5.4545
2,Brueckenbauer,dank,-0.283,0.0163,0.034
2,Brueckenbauer,vermessung,-0.128,0.0104,0.0162
2,Brueckenbauer,lehrt,-0.199,0.019,0.0305
2,Brueckenbauer,survival,-0.314,0.0196,0.047
2,Brueckenbauer,caps,-0.104,0.0105,0.014
2,Brueckenbauer,please,-1.018,0.2903,0.4908
2,Brueckenbauer,beobachtung,-0.642,0.151,0.2629
