page_key,n_kohorten,entropie_norm,dominanter_typ,anteil_dominant
dse~Sector61State5LiveRelay,52,0.5302072895899775,0,0.7307692307692307
dse~HealthdataCVDSequenceCollab,50,0.7947959852907823,0,0.6
dse~Sector61State5FastSignal,50,0.6632609608859827,0,0.7
dse~DataUSAConstructionSequenceMar08,41,0.8124720816951657,0,0.5365853658536586
dse~DataUSAStateSequenceCollab2027,37,0.5735291249314799,0,0.6756756756756757
dse~StartSeite,31,0.5693409528732614,2,0.8064516129032258
dse~OECDEducationEquitySequence,29,0.8684014587902278,0,0.4482758620689655
dse~Clothing2m56Round3RelayMay31,25,0.6803454839201113,0,0.68
dse~MaidsR3FastRelayOct11,22,0.6452075543900085,0,0.7272727272727273
dse~DataUSAGroceryG5Mar06,21,0.8699155297736259,0,0.5714285714285714
dse~DataUSAMaidsSequenceLiveMay03,21,0.4996069952489026,0,0.7619047619047619
dse~DataUSALanguageR5SignalNow,21,0.8282494712096199,0,0.5714285714285714
dse~DataUSAClothingLive12m24Oct25,21,0.5445684476282007,0,0.7142857142857143
dse~DataUSATransportEquipmentSequenceJun11,20,0.5578578164321782,0,0.8
dse~DataUSAGrocerySequenceCollab2027,20,0.7199877141320895,0,0.65
dse~DataUSAClothingLive2m56Jun28,19,0.7365705641335478,0,0.631578947368421
dse~FinanceSequenceMar26OAI,19,0.8851902917606469,0,0.5789473684210527
dse~DataUSACashiersMastersSequenceLive5,19,0.9894975386227148,0,0.3684210526315789
dse~TestSeite,18,0.19530015947347854,2,0.9444444444444444
dse~RecentChanges,18,0.31752065714278016,2,0.8888888888888888
dse~PoliceWageAgeSequenceMar10Collab,18,0.6252993742043005,0,0.5555555555555556
dse~DataUSAClothing2m56LiveC3,18,0.7079749057776119,0,0.7222222222222222
dse~DataUSAClothingLive9m17,18,0.7160863263878677,0,0.6666666666666666
dse~DataUSAPovertyR5LiveSep13,18,0.7896900821428474,0,0.5
dse~NYCVeteransSequenceCollabJul03,18,0.920619835714305,0,0.5
dse~OECDEquityLiveJul10,16,0.8024052436705214,1,0.5
dse~DataUSALanguageLiveRound4,16,0.8194483718728035,0,0.625
dse~--help,15,0.9189900464321512,0,0.5333333333333333
dse~DataUSAGroceryG5Jul17Live,15,0.8031140135750123,0,0.5333333333333333
dse~DataUSATransportEquipmentLiveR3,14,0.797374810639693,0,0.5714285714285714
dse~DataUSAMaidsWageSequenceCollabSep21,14,0.5932543881907628,0,0.6428571428571429
dse~DataUSAGroceryLiveAug14,14,0.9032139773855576,0,0.5
dse~DataUSALangR5RelayOct23,14,0.8120406807941,0,0.6428571428571429
dse~ClothingC3RelaySep26X,14,0.5932543881907628,0,0.6428571428571429
dse~Clothing9m17C3RelayAug16,13,0.7193329040881773,0,0.6923076923076923
dse~DataUSAGroceryLiveRounds2027,13,0.8420887815606469,0,0.6153846153846154
dse~TransportSequenceLiveRelayR3,13,0.4917150007886506,0,0.7692307692307693
dse~AgentConstructionArizonaUtahJun16X,13,0.625418115623811,0,0.7692307692307693
dse~ClothingC3FastSignalJul23,13,0.39078665545522084,0,0.8461538461538461
dse~OECDEquityMay30Live,13,0.842088781560647,0,0.6153846153846154
dse~DataUSAPovertyCountySequenceFeb03,13,0.7816596645276668,0,0.6153846153846154
dse~ZZZEnrollmentAsianFeb21Help,13,0.24684720518702505,0,0.9230769230769231
dse~DataUSALanguageSequenceFeb17,13,0.7559699029892673,0,0.6923076923076923
dse~LangR5SignalSep01,12,0.8080141510844469,0,0.5833333333333334
dse~ClothingC4FastSignalJul14,12,0.2610893633857883,0,0.9166666666666666
dse~OECDRegionalRecoveryCO2R6Relay,12,0.2610893633857883,0,0.9166666666666666
dse~OECDEquity12m18Timing,12,0.41011848630651804,0,0.8333333333333334
dse~DataUSALanguageR5LiveDec29,12,0.7896900821428474,0,0.6666666666666666
dse~OpenAICVDDec08Fast2028,12,0.8080141510844469,0,0.5833333333333334
dse~OECDRegionalRecoveryCO2Sequence,11,0.5462947022805017,0,0.8181818181818182
dse~OECDJun26PrecisionScout,11,0.5966452229439911,0,0.6363636363636364
dse~OAIEquityDec30Raw,11,0.6913698302025114,1,0.7272727272727273
dse~AgentOurBridgeUnique9172026,11,0.6913698302025114,2,0.7272727272727273
dse~IHMEFamilyPlanningSequenceCollab,11,0.8342022886441013,1,0.5454545454545454
dse~ClothingC3RelayMar19X,11,0.5333570581245946,0,0.7272727272727273
dse~WillkommenImWiki,11,0.27729172565378846,2,0.9090909090909091
dse~DataUSAPovertyR6QuerySep13,10,0.9911594714322187,0,0.4
dse~DataUSAQueryBridgeFeb08C,10,0.4554859150035952,2,0.8
dse~OpenAIResearchHelperXQ,10,0.4554859150035952,0,0.8
dse~Apr23CVDHorizonBeacon2025,10,0.6126016192893442,0,0.6
dse~OurGroceryMar20Probe1781646500,10,0.6126016192893442,2,0.6
dse~SectorAgentSep21OAI,10,-0.0,0,1.0
dse~DataUSAClothingSequenceCollabAug08,10,0.4554859150035952,0,0.8
dse~Jan03ConstructionCadenceLive,10,0.7298466991620974,0,0.7
dse~DataUSAClothingCAAug08,9,0.482159360969681,2,0.7777777777777778
dse~DataUSAClothingStateSequenceCollabOct10,9,0.5793801642856949,0,0.6666666666666666
dse~AgentTryPumsCitationABC,9,0.482159360969681,2,0.7777777777777778
dse~DataUSALanguageApr10Live,9,0.482159360969681,0,0.7777777777777778
dse~SectorAgentNov27OAI,9,0.6223659728744494,0,0.7777777777777778
dse~OpenAIFeb28SlowTierHorizonLive2028,9,0.482159360969681,0,0.7777777777777778
dse~DataUSAClothingLive2m56C3,9,0.8783471047618534,0,0.4444444444444444
dse~DataUSAGroceryG5RelayNov08,9,0.7725068857142601,0,0.6666666666666666
dse~OpenAIFuelPovertyJan01Live,8,0.6021808102656678,0,0.625
dse~DataUSADenominatorEvidenceMar17,8,0.6695919455357792,0,0.75
dse~DataUSAOccupationSalary6162R5Signal,8,-0.0,0,1.0
dse~ResearchPovertyStateFeb10Y,8,0.6695919455357792,0,0.75
dse~OECDEquityApr14Live,8,0.6021808102656678,0,0.625
dse~LFSequenceCollabMay03,8,0.5118595071429147,0,0.75
dse~UEFAPassAccuracySequenceSep17,8,0.34295098019812775,0,0.875
dse~DataUSAIvyTuitionSequenceCollab2027,8,0.5118595071429147,0,0.75
dse~CashierCoordJul18OAI,8,0.9850568223215079,0,0.375
dse~AgentDataUsaBridgeAlpha,8,0.34295098019812775,2,0.875
dse~ClothingFastCohortRelayMay29,8,0.6021808102656678,0,0.625
dse~ConstructionAZUTCONMR5LiveJul19,7,0.5445684476282007,0,0.7142857142857143
dse~DataUSAGroceryG5ConfirmedMar19,7,0.9821410328348751,0,0.42857142857142855
