cohort_key,aufgabenfamilie,kohorte,cluster,typ_name,silhouette,gmm_maxpost,zentroid_ratio,cluster_gmm,cluster_ward,cluster_residual,n_deltas,n_seiten,n_labels,lebensspanne_real_h,max_runde_belegt,erste_version,pc1,pc2,a_landeplatz,drei_verfahren_einig,a_adressiert,a_bittet,a_fremde_seite,a_reagiert,a_wert_unaufgefordert,a_wert,a_uhr,a_horizont,a_technik,a_urgent,a_unsicher,a_signatur,a_url,a_vorhersage,a_loglen,a_beobachtung
alaska-climate|Jun12,alaska-climate,Jun12,1,Chronist,-0.018305543267657855,0.9999999993763815,0.9907025707630233,1,2,1,1,1,1,0.0,3,2026-06-19 14:27:53+00:00,0.9868588874755795,0.48147035991133835,0.0,False,0.18623799255048032,0.6493498006926747,0.7621381428478076,0.3285630268574789,0.11435666209240018,0.22557668431026598,0.16571914003790106,0.48729007384173034,0.0618179441939489,0.17225380644318108,0.45553159511206953,0.7788668888453244,0.1357903679017186,0.6079200156831993,5.8289456176102075,0.4855910605763576
alaska-climate|Oct01,alaska-climate,Oct01,1,Chronist,0.3087819521654403,1.0,0.5827245678227029,1,0,2,2,1,1,0.428,0,2026-06-18 03:04:03+00:00,3.182453255167855,4.218339385175117,0.0,True,0.13967849441286023,0.737012350519506,0.32160360713585573,0.2464222701431092,0.5857674965693002,0.6691825132326995,0.3742893550284258,0.6154675553812978,0.046363458145461674,0.1291903548323858,0.5916486963340521,0.8341501666339933,0.10184277592628896,0.7059400117623995,6.230450446555438,0.6141932954322682
dataafrica-health-stunting|Apr15,dataafrica-health-stunting,Apr15,1,Chronist,0.2891291380101322,0.9999999999999218,0.47858346840889693,1,0,2,1,1,1,0.0,2,2026-06-18 11:28:03+00:00,1.6474896734473639,2.6644263541646294,0.0,True,0.18623799255048032,0.6493498006926747,0.4288048095144743,0.3285630268574789,0.44768999542573357,0.5589100176435994,0.49905247337123443,0.48729007384173034,0.0618179441939489,0.17225380644318108,0.1221982617787362,0.7788668888453244,0.1357903679017186,0.6079200156831993,6.329720905522696,0.4855910605763576
dataafrica-rainfed-crops|Aug13,dataafrica-rainfed-crops,Aug13,2,Brueckenbauer,0.11268211531663672,1.0,0.860345487765212,2,2,0,2,1,1,0.039,0,2026-06-17 23:14:18+00:00,-3.739959891997387,-2.5449285247262545,0.0,False,0.13967849441286023,0.23701235051950598,0.8216036071358557,0.7464222701431091,0.08576749656930013,0.16918251323269948,0.1242893550284258,0.11546755538129778,0.046363458145461674,0.1291903548323858,0.09164869633405215,0.33415016663399333,0.10184277592628896,0.20594001176239954,1.354025100551105,0.11419329543226818
dataafrica-rainfed-crops|Feb21,dataafrica-rainfed-crops,Feb21,2,Brueckenbauer,0.037259899739589784,0.876787830749955,0.8925461404415697,1,2,0,1,1,1,0.0,0,2026-06-18 09:38:50+00:00,-1.3664642907231301,-0.1507670259493378,0.0,False,0.18623799255048032,0.3160164673593413,0.7621381428478076,0.3285630268574789,0.11435666209240018,0.22557668431026598,0.16571914003790106,0.15395674050839706,0.0618179441939489,0.17225380644318108,0.1221982617787362,0.7788668888453244,0.1357903679017186,0.27458668234986605,5.752572638825633,0.15225772724302425
dataafrica-rainfed-crops|Nov22,dataafrica-rainfed-crops,Nov22,1,Chronist,0.09039960274146551,0.9999999205350849,0.7944839095237245,1,0,2,1,1,1,0.0,0,2026-06-18 01:53:22+00:00,0.9877935036097002,1.1969620265906875,0.0,True,0.5195713258838136,0.6493498006926747,0.7621381428478076,0.3285630268574789,0.44768999542573357,0.5589100176435994,0.16571914003790106,0.15395674050839706,0.0618179441939489,0.17225380644318108,0.1221982617787362,0.7788668888453244,0.1357903679017186,0.6079200156831993,5.484796933490655,0.4855910605763576
dataafrica-rainfed-crops|Nov27,dataafrica-rainfed-crops,Nov27,1,Chronist,0.2446301095411994,1.0,0.5701514136645904,1,0,2,1,1,1,0.0,3,2026-06-17 09:53:10+00:00,1.7341069119360009,2.302948561304055,0.0,True,0.18623799255048032,0.6493498006926747,0.4288048095144743,0.3285630268574789,0.44768999542573357,0.5589100176435994,0.49905247337123443,0.15395674050839706,0.0618179441939489,0.17225380644318108,0.45553159511206953,0.7788668888453244,0.1357903679017186,0.6079200156831993,6.129050210060545,0.4855910605763576
datausa-cashier-skills|Feb22,datausa-cashier-skills,Feb22,1,Chronist,0.1281166107649767,1.0,0.7702417583692744,1,0,2,2,2,1,0.281,0,2026-06-21 02:45:50+00:00,1.3615609683473493,1.6574909679846084,0.0,True,0.13967849441286023,0.487012350519506,0.5716036071358557,0.2464222701431092,0.33576749656930016,0.4191825132326995,0.1242893550284258,0.6154675553812978,0.046363458145461674,0.6291903548323858,0.09164869633405215,0.8341501666339933,0.10184277592628896,0.7059400117623995,5.8304873558554675,0.3641932954322682
datausa-cashier-skills|Jan02,datausa-cashier-skills,Jan02,1,Chronist,0.007244308806017491,0.9805218444939332,0.9423380849825294,1,0,2,1,1,1,0.0,0,2026-06-20 20:30:38+00:00,0.893408418817981,0.7810950820692145,0.0,True,0.18623799255048032,0.6493498006926747,0.4288048095144743,0.3285630268574789,0.11435666209240018,0.22557668431026598,0.16571914003790106,0.48729007384173034,0.0618179441939489,0.5055871397765145,0.1221982617787362,0.7788668888453244,0.1357903679017186,0.6079200156831993,6.398594934535208,0.15225772724302425
datausa-cashiers-bachelors|Feb06,datausa-cashiers-bachelors,Feb06,2,Brueckenbauer,0.3631419698857843,0.9999999999791225,0.4538825730147723,2,1,0,2,1,1,0.02,0,2026-06-19 03:32:21+00:00,-4.315539307809543,0.33062284857690794,0.0,True,0.13967849441286023,0.23701235051950598,0.8216036071358557,0.2464222701431092,0.08576749656930013,0.16918251323269948,0.1242893550284258,0.11546755538129778,0.046363458145461674,0.1291903548323858,0.09164869633405215,0.33415016663399333,0.601842775926289,0.20594001176239954,5.295785969376805,0.11419329543226818
datausa-cashiers-bachelors|Jan02,datausa-cashiers-bachelors,Jan02,0,Rufer,0.09455193849998743,0.9999999999999751,0.8788479860125354,1,2,0,3,1,3,0.553,0,2026-06-19 15:03:08+00:00,0.7088103403040167,-0.3008211218462374,0.0,False,0.7117427955302882,0.5896098804156048,0.8572828857086845,0.19713781611448736,0.2686139972554401,0.3353460105861596,0.09943148402274063,0.09237404430503823,0.03709076651636934,0.3033522838659087,0.27331895706724174,0.8673201333071947,0.08147422074103117,0.3647520094099196,5.365976015021851,0.09135463634581455
