label,page_key,task_a,outer_a,task_b,outer_b,d_task_s,d_outer_s,factor,rev_a,rev_b,quote_a,quote_a_ref,quote_b,quote_b_ref
Agent0June12X,dse~DataUSAGroceryLiveAug14,11:56:25,2026-06-16 19:09:20+00:00,19:54:07,2026-06-16 19:12:17+00:00,28662,177.0,161.932,dse~DataUSAGroceryLiveAug14@26,dse~DataUSAGroceryLiveAug14@26,,dse~DataUSAGroceryLiveAug14@12|delta|125|42|09dc63fd362d|roh,At task 19:54:07 ~= UTC 19:12:17,
Agent0June12X,dse~DataUSAGroceryLiveAug14,19:54:07,2026-06-16 19:12:17+00:00,04:34:55,2026-06-16 19:15:55+00:00,31248,218.0,143.339,dse~DataUSAGroceryLiveAug14@26,dse~DataUSAGroceryLiveAug14@26,At task 19:54:07 ~= UTC 19:12:17,,,dse~DataUSAGroceryLiveAug14@26|delta|109|47|d61a20b7372c|roh
AgentAug11Live,dse~DataUSAMaidsSequenceLiveMay03,21:31:00,2026-06-16 19:21:39+00:00,08:45:03,2026-06-16 19:24:16+00:00,40443,157.0,257.599,dse~DataUSAMaidsSequenceLiveMay03@19,dse~DataUSAMaidsSequenceLiveMay03@19,,dse~DataUSAMaidsSequenceLiveMay03@10|delta|113|47|5cba2263bc24|roh,,dse~DataUSAMaidsSequenceLiveMay03@12|delta|152|63|cf8857f54265|roh
AgentAug11Live,dse~DataUSAMaidsSequenceLiveMay03,08:45:03,2026-06-16 19:24:16+00:00,09:35:18,2026-06-16 19:29:15+00:00,3015,299.0,10.084,dse~DataUSAMaidsSequenceLiveMay03@19,dse~DataUSAMaidsSequenceLiveMay03@19,,dse~DataUSAMaidsSequenceLiveMay03@12|delta|152|63|cf8857f54265|roh,,dse~DataUSAMaidsSequenceLiveMay03@14|delta|109|46|9ee44f071c6c|roh
AgentAug11Live,dse~Sector61State5LiveRelay,05:19:06,2026-06-16 19:33:21+00:00,18:31:00,2026-06-16 19:36:03+00:00,47514,162.0,293.296,dse~Sector61State5LiveRelay@13,dse~Sector61State5LiveRelay@13,,dse~Sector61State5LiveRelay@9|delta|0|68|638ef22b28f5|roh,,dse~Sector61State5LiveRelay@11|delta|118|44|0d0fd73f7785|roh
AgentAug23OAI,dse~Sector61State5FastSignal,00:28:20,2026-06-16 21:13:52+00:00,13:23:48,2026-06-16 21:22:54+00:00,46528,542.0,85.845,dse~Sector61State5FastSignal@33,dse~Sector61State5FastSignal@54,task was 00:28:20 near UTC 21:13:52,,,dse~Sector61State5FastSignal@40|delta|63|60|554407b9f0cc|roh
AgentAug23OAI,dse~Sector61State5FastSignal,22:14:15,2026-06-16 21:40:15+00:00,06:14:31,2026-06-16 21:47:31+00:00,28816,436.0,66.092,dse~Sector61State5FastSignal@54,dse~Sector61State5FastSignal@54,,dse~Sector61State5FastSignal@49|delta|284|43|4de6582db4da|roh,,dse~Sector61State5FastSignal@54|delta|671|43|4375dc0a2845|roh
AgentAug27OAI,dse~Sector61State5LiveRelay,05:19:06,2026-06-16 19:33:21+00:00,18:31:00,2026-06-16 19:36:03+00:00,47514,162.0,293.296,dse~Sector61State5LiveRelay@18,dse~Sector61State5LiveRelay@18,,dse~Sector61State5LiveRelay@9|delta|0|68|638ef22b28f5|roh,,dse~Sector61State5LiveRelay@11|delta|118|44|0d0fd73f7785|roh
AgentAug27OAI,dse~Sector61State5LiveRelay,00:20:36,2026-06-16 19:37:56+00:00,11:39:10,2026-06-16 19:40:30+00:00,40714,154.0,264.377,dse~Sector61State5LiveRelay@18,dse~Sector61State5LiveRelay@18,,dse~Sector61State5LiveRelay@15|delta|88|46|bd7cfeb479ca|roh,,dse~Sector61State5LiveRelay@17|delta|60|44|0346bc221bfa|roh
AgentAug27OAI,dse~Sector61State5LiveRelay,11:39:10,2026-06-16 19:40:30+00:00,11:50:41,2026-06-16 19:51:05+00:00,691,635.0,1.088,dse~Sector61State5LiveRelay@18,dse~Sector61State5LiveRelay@18,,dse~Sector61State5LiveRelay@17|delta|60|44|0346bc221bfa|roh,WV due task 11:50:41 = UTC ~19:51:05,
AgentBridgeHelper4061,dse~Sector61State5LiveRelay,05:09:40,2026-06-16 20:35:55+00:00,10:17:31,2026-06-16 20:41:52+00:00,18471,357.0,51.739,dse~Sector61State5LiveRelay@54,dse~Sector61State5LiveRelay@54,,dse~Sector61State5LiveRelay@42|delta|104|40|9646a16057de|roh,Mapping task 10:17:31 = UTC 20:41:52,
AgentBridgeHelper4061,dse~Sector61State5LiveRelay,10:17:31,2026-06-16 20:41:52+00:00,10:39:47,2026-06-16 20:46:05+00:00,1336,253.0,5.281,dse~Sector61State5LiveRelay@54,dse~Sector61State5LiveRelay@54,Mapping task 10:17:31 = UTC 20:41:52,,,dse~Sector61State5LiveRelay@51|delta|126|45|73d7e7dcc19d|roh
AgentDataUSAHelper,dse~DataUSAStateSequenceCollab2027,07:56:10,2026-06-16 18:47:34+00:00,13:38:55,2026-06-16 18:53:37+00:00,20565,363.0,56.653,dse~DataUSAStateSequenceCollab2027@44,dse~DataUSAStateSequenceCollab2027@44,,dse~DataUSAStateSequenceCollab2027@35|delta|99|43|c735b67c3e23|roh,,dse~DataUSAStateSequenceCollab2027@39|delta|105|43|343973d6628a|roh
AgentJan31OAI,dse~Sector61State5LiveRelay,05:19:06,2026-06-16 19:33:21+00:00,18:31:00,2026-06-16 19:36:03+00:00,47514,162.0,293.296,dse~Sector61State5LiveRelay@16,dse~Sector61State5LiveRelay@16,,dse~Sector61State5LiveRelay@9|delta|0|68|638ef22b28f5|roh,,dse~Sector61State5LiveRelay@11|delta|118|44|0d0fd73f7785|roh
AgentJan31OAI,dse~Sector61State5LiveRelay,00:20:36,2026-06-16 19:37:56+00:00,11:39:10,2026-06-16 19:40:30+00:00,40714,154.0,264.377,dse~Sector61State5LiveRelay@16,dse~Sector61State5LiveRelay@30,,dse~Sector61State5LiveRelay@15|delta|88|46|bd7cfeb479ca|roh,,dse~Sector61State5LiveRelay@17|delta|60|44|0346bc221bfa|roh
