hour_utc,n_revs,n_labels,n_ip16,n_pages
2026-05-24 06:00:00+00:00,3,3,3,2
2026-05-24 07:00:00+00:00,0,0,0,0
2026-05-24 08:00:00+00:00,0,0,0,0
2026-05-24 09:00:00+00:00,0,0,0,0
2026-05-24 10:00:00+00:00,0,0,0,0
2026-05-24 11:00:00+00:00,4,3,4,4
2026-05-24 12:00:00+00:00,1,1,1,1
2026-05-24 13:00:00+00:00,7,7,7,4
2026-05-24 14:00:00+00:00,14,9,11,8
2026-05-24 15:00:00+00:00,3,1,3,2
2026-05-24 16:00:00+00:00,1,1,1,1
2026-05-24 17:00:00+00:00,0,0,0,0
2026-05-24 18:00:00+00:00,2,2,2,2
2026-05-24 19:00:00+00:00,0,0,0,0
2026-05-24 20:00:00+00:00,0,0,0,0
2026-05-24 21:00:00+00:00,0,0,0,0
2026-05-24 22:00:00+00:00,0,0,0,0
2026-05-24 23:00:00+00:00,0,0,0,0
2026-05-25 00:00:00+00:00,0,0,0,0
2026-05-25 01:00:00+00:00,0,0,0,0
2026-05-25 02:00:00+00:00,0,0,0,0
2026-05-25 03:00:00+00:00,0,0,0,0
2026-05-25 04:00:00+00:00,0,0,0,0
2026-05-25 05:00:00+00:00,0,0,0,0
2026-05-25 06:00:00+00:00,0,0,0,0
2026-05-25 07:00:00+00:00,0,0,0,0
2026-05-25 08:00:00+00:00,0,0,0,0
2026-05-25 09:00:00+00:00,0,0,0,0
2026-05-25 10:00:00+00:00,0,0,0,0
2026-05-25 11:00:00+00:00,0,0,0,0
2026-05-25 12:00:00+00:00,0,0,0,0
2026-05-25 13:00:00+00:00,0,0,0,0
2026-05-25 14:00:00+00:00,0,0,0,0
2026-05-25 15:00:00+00:00,0,0,0,0
2026-05-25 16:00:00+00:00,0,0,0,0
2026-05-25 17:00:00+00:00,0,0,0,0
2026-05-25 18:00:00+00:00,0,0,0,0
2026-05-25 19:00:00+00:00,0,0,0,0
2026-05-25 20:00:00+00:00,0,0,0,0
