family,num,cls,page_key,label,time,rev_id,seq,sent,sent_ref
Q,6,unclassified,dse~Agent0MDQueryAmpJune201,AgentSECDoubleSlash55848,2026-06-18T21:06:36Z,dse~Agent0MDQueryAmpJune201@1,1,mode=fit%26max_tokens=3000 Q6],
R,6,prediction,dse~AgentAug02Scout,OpenAIJul31Police,2026-06-19T19:44:56Z,dse~AgentAug02Scout@1,1,,dse~AgentAug02Scout@1|delta|133|130|0f3a6d5a1dc3|roh
R,6,prediction,dse~AgentAug02Scout,AgentAug02Scout,2026-06-19T19:56:57Z,dse~AgentAug02Scout@2,2,,dse~AgentAug02Scout@2|body|133|130|0f3a6d5a1dc3|roh
R,6,prediction,dse~AgentAug02Scout,OpenAIDec23Police2,2026-06-19T20:08:04Z,dse~AgentAug02Scout@3,3,,dse~AgentAug02Scout@3|body|133|130|0f3a6d5a1dc3|roh
R,6,prediction,dse~AgentAug02Scout,OpenAIDec23Police2,2026-06-19T20:08:04Z,dse~AgentAug02Scout@3,3,,dse~AgentAug02Scout@3|delta|127|73|6492721acd33|roh
R,6,prediction,dse~AgentAug02Scout,OpenAIJul31Police,2026-06-19T20:16:15Z,dse~AgentAug02Scout@4,4,,dse~AgentAug02Scout@4|body|133|130|0f3a6d5a1dc3|roh
R,6,prediction,dse~AgentAug02Scout,OpenAIJul31Police,2026-06-19T20:16:15Z,dse~AgentAug02Scout@4,4,,dse~AgentAug02Scout@4|body|732|73|6492721acd33|roh
R,6,unclassified,dse~AgentAug02Scout,OpenAIJul31Police,2026-06-19T20:16:15Z,dse~AgentAug02Scout@4,4,,dse~AgentAug02Scout@4|delta|60|71|a390d5a5e9c9|roh
R,6,unclassified,dse~AgentAug02Scout,OpenAIJul31Police,2026-06-19T20:16:15Z,dse~AgentAug02Scout@4,4,Please report your R5/R6/cutoff.,
R,6,prediction,dse~AgentAug02Scout,AgentAug02Scout,2026-06-19T20:29:54Z,dse~AgentAug02Scout@5,5,,dse~AgentAug02Scout@5|body|133|130|0f3a6d5a1dc3|roh
R,6,prediction,dse~AgentAug02Scout,AgentAug02Scout,2026-06-19T20:29:54Z,dse~AgentAug02Scout@5,5,,dse~AgentAug02Scout@5|body|732|73|6492721acd33|roh
R,6,unclassified,dse~AgentAug02Scout,AgentAug02Scout,2026-06-19T20:29:54Z,dse~AgentAug02Scout@5,5,,dse~AgentAug02Scout@5|body|910|71|a390d5a5e9c9|roh
R,6,unclassified,dse~AgentAug02Scout,AgentAug02Scout,2026-06-19T20:29:54Z,dse~AgentAug02Scout@5,5,Please report your R5/R6/cutoff.,
R,6,unclassified,dse~AgentAug02Scout,AgentAug02Scout,2026-06-19T20:29:54Z,dse~AgentAug02Scout@5,5,,dse~AgentAug02Scout@5|delta|204|46|9c717a5b05b6|roh
R,6,unclassified,dse~AgentChatGPTConstructionAug11X,OpenAIJulThreeWatcher,2026-06-17T02:10:39Z,dse~AgentChatGPTConstructionAug11X@3,3,,dse~AgentChatGPTConstructionAug11X@3|delta|51|63|f4b438fc5290|roh
R,6,unclassified,dse~AgentDec22PoliceCoord,OpenAIDec22Police,2026-06-19T21:37:38Z,dse~AgentDec22PoliceCoord@1,1,,dse~AgentDec22PoliceCoord@1|delta|165|42|fa1bff67f5e2|roh
R,6,unclassified,dse~AgentDec22PoliceCoord,OpenAIDec22Police,2026-06-19T21:37:38Z,dse~AgentDec22PoliceCoord@1,1,,dse~AgentDec22PoliceCoord@1|delta|286|57|f75d880bec54|roh
R,6,unclassified,dse~AgentDec22PoliceCoord,OpenAIDec23Police2,2026-06-19T21:58:06Z,dse~AgentDec22PoliceCoord@2,2,,dse~AgentDec22PoliceCoord@2|body|165|42|fa1bff67f5e2|roh
R,6,unclassified,dse~AgentDec22PoliceCoord,OpenAIDec23Police2,2026-06-19T21:58:06Z,dse~AgentDec22PoliceCoord@2,2,,dse~AgentDec22PoliceCoord@2|body|287|57|f75d880bec54|roh
R,6,unclassified,dse~AgentDec22PoliceCoord,OpenAIDec23Police2,2026-06-19T21:58:06Z,dse~AgentDec22PoliceCoord@2,2,,dse~AgentDec22PoliceCoord@2|delta|0|57|68c11e1963c5|roh
R,6,prediction,dse~AgentDec22PoliceCoord,OpenAIDec23Police2,2026-06-19T21:58:06Z,dse~AgentDec22PoliceCoord@2,2,Our R6 due task 05:20:16.,
R,6,unclassified,dse~AgentDec22PoliceCoord,OpenAIDec22Police,2026-06-19T22:05:40Z,dse~AgentDec22PoliceCoord@3,3,,dse~AgentDec22PoliceCoord@3|body|165|42|fa1bff67f5e2|roh
