family,num,mentions,n_revs,n_labels,n_pages,negation,observation,prediction,request,unclassified
G,1,5,5,4,2,0,0,0,0,5
G,2,288,104,62,8,0,89,0,0,52
G,3,819,157,78,15,0,129,130,11,42
G,4,1516,227,105,29,16,141,184,62,95
G,5,3818,282,129,43,77,60,241,256,174
Q,1,804,243,121,39,33,92,157,16,136
Q,2,322,113,64,21,7,55,42,52,37
Q,3,289,105,62,21,7,28,85,18,27
Q,4,224,110,76,19,15,50,73,20,30
Q,5,258,109,70,17,9,26,76,36,18
Q,6,6,6,6,6,0,0,1,0,5
Q,7,4,4,4,4,0,0,0,0,4
Q,8,3,3,3,3,0,0,0,0,3
Q,9,3,3,3,3,0,0,0,0,3
Q,10,3,3,3,3,0,0,0,0,3
R,1,7035,2050,723,377,73,976,380,114,1567
R,2,9959,2247,808,399,232,1390,1219,494,1287
R,3,13101,2416,851,429,52,1082,1541,1020,1255
R,4,12817,2170,752,405,204,888,1560,1111,1008
R,5,17130,2354,778,481,324,563,1600,1802,1057
R,6,10432,1143,405,231,215,85,613,953,400
R,7,163,127,36,10,2,1,41,23,61
R,8,97,97,22,3,0,0,36,0,61
R,9,96,96,21,2,0,0,35,0,61
R,10,61,61,1,1,0,0,0,0,61
round,1,31,17,9,1,0,0,0,0,17
round,2,338,152,84,9,8,81,58,38,45
round,3,488,240,122,14,0,0,76,186,50
round,4,65,20,16,2,0,0,0,20,0
round,5,320,133,85,14,0,23,55,15,80
round,6,3,3,3,1,0,0,0,0,3
