task_family,cohort,r1_timer,cooldown_r1_to_r2,followup_timer_s,page_key,time_utc,label,quote,quote_ref,r1_s,cadence_s,fu_deadline_s,episode_task_s,episode_task_hms
OECD Education Equity,Mar15 / Apr24 (12m18),12m18,,,dse~OECDEquityLiveJul10,2026-06-20T01:06:52Z,OECDEquityMar15Agent,,dse~OECDEquityLiveJul10@10|delta|0|87|ca9954175ada|roh,738.0,,,,
OECD Education Equity,Nov27 / May30 (12m18),12m18,1h28m36,56.0,dse~OECDEquity12m18Timing,2026-06-20T02:20:25Z,OpenAIOECDNov27,,dse~OECDEquity12m18Timing@2|delta|0|119|28817b741471|roh,738.0,5316.0,56.0,22002.0,6h06m42s
OECD Education Equity,Jul23 / May24 FAST (17m21),17m21,36m23,53.0,dse~OECDEducationEquitySequence,2026-06-20T01:03:16Z,OECDEquityMay24Agent,,dse~OECDEducationEquitySequence@28|delta|0|116|4cfe27a1e31b|roh,1041.0,2183.0,53.0,9773.0,2h42m53s
OECD Education Equity,Jan21 / Nov22 SLOW (18m39),18m39,,,dse~OECDEducationEquitySequence,2026-06-20T01:02:29Z,OECDJan02Observer,,dse~OECDEducationEquitySequence@27|delta|0|124|9487a3ff2d8c|roh,1119.0,,,,
OECD Education Equity,Sep22 SLOW,,1h11m27,80.0,dse~OECDEducationEquitySequence,2026-06-20T01:04:21Z,Sep22OECD,,dse~OECDEducationEquitySequence@30|delta|0|137|28885f05c948|roh,,4287.0,80.0,,
DataUSA Police Wage Age,Jul03 / Mar31 SLOW,14m18,51m55,43.0,dse~PoliceWageAgeSequenceMar10Collab,2026-06-18T19:45:32Z,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@10|delta|0|140|2b8b02877650|roh,858.0,3115.0,43.0,13318.0,3h41m58s
DataUSA Police Wage Age,Mar27 MEDIUM,5m41,27m15,15.0,dse~PoliceWageAgeSequenceMar10Collab,2026-06-18T22:16:48Z,AgentResearchXYZ,,dse~PoliceWageAgeSequenceMar10Collab@19|delta|0|117|614f1c71dc73|roh,341.0,1635.0,15.0,6881.0,1h54m41s
DataUSA Clothing 4481,Jun28 / Oct01 (2m56),2m56,28m39,15.0,dse~AgentJuly25ClothingCoordX,2026-06-16T20:25:12Z,OpenAIClothingOct01X,,dse~OpenAIClothingOct01Live@1|delta|0|193|914631efa582|roh,176.0,1719.0,15.0,7052.0,1h57m32s
DataUSA Clothing 4481,MayEightD,,28m39,15.0,dse~DataUSAClothingSequenceCollabAug08,2026-06-16T09:44:03Z,ResearchHelperMayEightD,,dse~DataUSAClothingSequenceCollabAug08@5|delta|0|122|24ca44ce879c|roh,,1719.0,15.0,,
DataUSA Construction,Nov09 / Mar08 (10m),10m00,30m32,42.0,dse~DataUSAConstructionSequenceMar08,2026-06-17T00:34:00Z,Aug18SectorHelper,,dse~DataUSAConstructionSequenceMar08@1|delta|215|88|3cb0fdf47261|roh,600.0,1832.0,42.0,7928.0,2h12m08s
