variante,merkmal,f,n,exp_ad,exp_noad,noexp_ad,noexp_noad,anteil_exponiert,anteil_uebernommen,adoption_wenn_exponiert,adoption_wenn_nicht_exponiert,anteil_ohne_sichtbare_quelle
seite,runde,2026-06-16 06:00:00+00:00,39,0,0,0,39,0.0,0.0,,0.0,
seite,cohort,2026-06-16 06:00:00+00:00,39,0,2,0,37,5.128205128205128,0.0,0.0,0.0,
seite,meldeformat,2026-06-16 06:00:00+00:00,39,0,2,0,37,5.128205128205128,0.0,0.0,0.0,
seite,sig_endzeile,2026-06-16 06:00:00+00:00,39,9,2,4,24,28.205128205128204,33.33333333333333,81.81818181818183,14.285714285714285,30.76923076923077
seite,please_relay,2026-06-16 06:00:00+00:00,39,5,7,7,20,30.76923076923077,30.76923076923077,41.66666666666667,25.925925925925924,58.333333333333336
seite,runde,2026-06-16 12:00:00+00:00,6,1,0,0,5,16.666666666666664,16.666666666666664,100.0,0.0,0.0
seite,cohort,2026-06-16 12:00:00+00:00,6,1,0,1,4,16.666666666666664,33.33333333333333,100.0,20.0,50.0
seite,meldeformat,2026-06-16 12:00:00+00:00,6,1,0,1,4,16.666666666666664,33.33333333333333,100.0,20.0,50.0
seite,sig_endzeile,2026-06-16 12:00:00+00:00,6,2,0,1,3,33.33333333333333,50.0,100.0,25.0,33.33333333333333
seite,please_relay,2026-06-16 12:00:00+00:00,6,1,1,1,3,33.33333333333333,33.33333333333333,50.0,25.0,50.0
seite,runde,2026-06-16 18:00:00+00:00,409,93,26,29,261,29.095354523227385,29.82885085574572,78.15126050420169,10.0,23.770491803278688
seite,cohort,2026-06-16 18:00:00+00:00,409,130,67,60,152,48.16625916870416,46.454767726161364,65.98984771573603,28.30188679245283,31.57894736842105
seite,meldeformat,2026-06-16 18:00:00+00:00,409,108,95,60,146,49.63325183374083,41.075794621026894,53.20197044334976,29.126213592233007,35.714285714285715
seite,sig_endzeile,2026-06-16 18:00:00+00:00,409,165,45,77,122,51.34474327628362,59.168704156479215,78.57142857142857,38.69346733668342,31.818181818181817
seite,please_relay,2026-06-16 18:00:00+00:00,409,137,66,57,149,49.63325183374083,47.43276283618582,67.48768472906403,27.669902912621357,29.381443298969074
seite,runde,2026-06-17 00:00:00+00:00,127,63,1,34,29,50.39370078740157,76.37795275590551,98.4375,53.96825396825397,35.051546391752574
seite,cohort,2026-06-17 00:00:00+00:00,127,33,32,27,35,51.181102362204726,47.24409448818898,50.76923076923077,43.54838709677419,45.0
seite,meldeformat,2026-06-17 00:00:00+00:00,127,48,15,30,34,49.60629921259843,61.417322834645674,76.19047619047619,46.875,38.46153846153847
seite,sig_endzeile,2026-06-17 00:00:00+00:00,127,58,7,38,24,51.181102362204726,75.59055118110236,89.23076923076924,61.29032258064516,39.58333333333333
seite,please_relay,2026-06-17 00:00:00+00:00,127,32,29,29,37,48.031496062992126,48.031496062992126,52.459016393442624,43.93939393939394,47.540983606557376
seite,runde,2026-06-17 06:00:00+00:00,48,24,0,13,11,50.0,77.08333333333334,100.0,54.166666666666664,35.13513513513514
seite,cohort,2026-06-17 06:00:00+00:00,48,11,12,15,10,47.91666666666667,54.166666666666664,47.82608695652174,60.0,57.692307692307686
seite,meldeformat,2026-06-17 06:00:00+00:00,48,21,3,15,9,50.0,75.0,87.5,62.5,41.66666666666667
seite,sig_endzeile,2026-06-17 06:00:00+00:00,48,23,1,18,6,50.0,85.41666666666666,95.83333333333334,75.0,43.90243902439025
seite,please_relay,2026-06-17 06:00:00+00:00,48,15,6,14,13,43.75,60.416666666666664,71.42857142857143,51.85185185185185,48.275862068965516
seite,runde,2026-06-17 12:00:00+00:00,40,11,0,17,12,27.500000000000004,70.0,100.0,58.620689655172406,60.71428571428571
seite,cohort,2026-06-17 12:00:00+00:00,40,8,3,13,16,27.500000000000004,52.5,72.72727272727273,44.827586206896555,61.904761904761905
seite,meldeformat,2026-06-17 12:00:00+00:00,40,10,1,17,12,27.500000000000004,67.5,90.9090909090909,58.620689655172406,62.96296296296296
seite,sig_endzeile,2026-06-17 12:00:00+00:00,40,11,1,17,11,30.0,70.0,91.66666666666666,60.71428571428571,60.71428571428571
seite,please_relay,2026-06-17 12:00:00+00:00,40,6,5,14,15,27.500000000000004,50.0,54.54545454545454,48.275862068965516,70.0
seite,runde,2026-06-17 18:00:00+00:00,23,10,2,9,2,52.17391304347826,82.6086956521739,83.33333333333334,81.81818181818183,47.368421052631575
seite,cohort,2026-06-17 18:00:00+00:00,23,4,5,7,7,39.130434782608695,47.82608695652174,44.44444444444444,50.0,63.63636363636363
seite,meldeformat,2026-06-17 18:00:00+00:00,23,9,4,9,1,56.52173913043478,78.26086956521739,69.23076923076923,90.0,50.0
seite,sig_endzeile,2026-06-17 18:00:00+00:00,23,10,3,10,0,56.52173913043478,86.95652173913044,76.92307692307693,100.0,50.0
seite,please_relay,2026-06-17 18:00:00+00:00,23,7,5,10,1,52.17391304347826,73.91304347826086,58.333333333333336,90.9090909090909,58.82352941176471
seite,runde,2026-06-18 00:00:00+00:00,8,3,0,3,2,37.5,75.0,100.0,60.0,50.0
seite,cohort,2026-06-18 00:00:00+00:00,8,2,1,3,2,37.5,62.5,66.66666666666666,60.0,60.0
seite,meldeformat,2026-06-18 00:00:00+00:00,8,3,0,3,2,37.5,75.0,100.0,60.0,50.0
seite,sig_endzeile,2026-06-18 00:00:00+00:00,8,3,0,4,1,37.5,87.5,100.0,80.0,57.14285714285714
seite,please_relay,2026-06-18 00:00:00+00:00,8,2,1,1,4,37.5,37.5,66.66666666666666,20.0,33.33333333333333
seite,runde,2026-06-18 06:00:00+00:00,8,4,1,3,0,62.5,87.5,80.0,100.0,42.857142857142854
seite,cohort,2026-06-18 06:00:00+00:00,8,1,4,0,3,62.5,12.5,20.0,0.0,0.0
seite,meldeformat,2026-06-18 06:00:00+00:00,8,4,1,2,1,62.5,75.0,80.0,66.66666666666666,33.33333333333333
seite,sig_endzeile,2026-06-18 06:00:00+00:00,8,5,0,2,1,62.5,87.5,100.0,66.66666666666666,28.57142857142857
seite,please_relay,2026-06-18 06:00:00+00:00,8,2,3,2,1,62.5,50.0,40.0,66.66666666666666,50.0
seite,runde,2026-06-18 12:00:00+00:00,10,6,0,1,3,60.0,70.0,100.0,25.0,14.285714285714285
seite,cohort,2026-06-18 12:00:00+00:00,10,2,2,2,4,40.0,40.0,50.0,33.33333333333333,50.0
seite,meldeformat,2026-06-18 12:00:00+00:00,10,4,2,1,3,60.0,50.0,66.66666666666666,25.0,20.0
seite,sig_endzeile,2026-06-18 12:00:00+00:00,10,6,0,1,3,60.0,70.0,100.0,25.0,14.285714285714285
seite,please_relay,2026-06-18 12:00:00+00:00,10,3,1,0,6,40.0,30.0,75.0,0.0,0.0
seite,runde,2026-06-18 18:00:00+00:00,14,8,0,3,3,57.14285714285714,78.57142857142857,100.0,50.0,27.27272727272727
seite,cohort,2026-06-18 18:00:00+00:00,14,3,3,7,1,42.857142857142854,71.42857142857143,50.0,87.5,70.0
seite,meldeformat,2026-06-18 18:00:00+00:00,14,7,0,3,4,50.0,71.42857142857143,100.0,42.857142857142854,30.0
seite,sig_endzeile,2026-06-18 18:00:00+00:00,14,7,0,3,4,50.0,71.42857142857143,100.0,42.857142857142854,30.0
seite,please_relay,2026-06-18 18:00:00+00:00,14,6,1,3,4,50.0,64.28571428571429,85.71428571428571,42.857142857142854,33.33333333333333
seite,runde,2026-06-19 00:00:00+00:00,12,6,0,5,1,50.0,91.66666666666666,100.0,83.33333333333334,45.45454545454545
seite,cohort,2026-06-19 00:00:00+00:00,12,5,1,4,2,50.0,75.0,83.33333333333334,66.66666666666666,44.44444444444444
seite,meldeformat,2026-06-19 00:00:00+00:00,12,6,0,3,3,50.0,75.0,100.0,50.0,33.33333333333333
seite,sig_endzeile,2026-06-19 00:00:00+00:00,12,6,0,3,3,50.0,75.0,100.0,50.0,33.33333333333333
seite,please_relay,2026-06-19 00:00:00+00:00,12,5,1,2,4,50.0,58.333333333333336,83.33333333333334,33.33333333333333,28.57142857142857
seite,runde,2026-06-19 06:00:00+00:00,11,4,0,5,2,36.36363636363637,81.81818181818183,100.0,71.42857142857143,55.55555555555556
seite,cohort,2026-06-19 06:00:00+00:00,11,5,0,6,0,45.45454545454545,100.0,100.0,100.0,54.54545454545454
seite,meldeformat,2026-06-19 06:00:00+00:00,11,4,0,2,5,36.36363636363637,54.54545454545454,100.0,28.57142857142857,33.33333333333333
seite,sig_endzeile,2026-06-19 06:00:00+00:00,11,4,0,2,5,36.36363636363637,54.54545454545454,100.0,28.57142857142857,33.33333333333333
seite,please_relay,2026-06-19 06:00:00+00:00,11,4,0,2,5,36.36363636363637,54.54545454545454,100.0,28.57142857142857,33.33333333333333
seite,runde,2026-06-19 12:00:00+00:00,32,20,0,9,3,62.5,90.625,100.0,75.0,31.03448275862069
seite,cohort,2026-06-19 12:00:00+00:00,32,11,9,9,3,62.5,62.5,55.00000000000001,75.0,45.0
seite,meldeformat,2026-06-19 12:00:00+00:00,32,17,1,8,6,56.25,78.125,94.44444444444444,57.14285714285714,32.0
seite,sig_endzeile,2026-06-19 12:00:00+00:00,32,19,0,9,4,59.375,87.5,100.0,69.23076923076923,32.142857142857146
seite,please_relay,2026-06-19 12:00:00+00:00,32,9,10,9,4,59.375,56.25,47.368421052631575,69.23076923076923,50.0
seite,runde,2026-06-19 18:00:00+00:00,33,13,0,16,4,39.39393939393939,87.87878787878788,100.0,80.0,55.172413793103445
seite,cohort,2026-06-19 18:00:00+00:00,33,12,1,16,4,39.39393939393939,84.84848484848484,92.3076923076923,80.0,57.14285714285714
seite,meldeformat,2026-06-19 18:00:00+00:00,33,11,1,15,6,36.36363636363637,78.78787878787878,91.66666666666666,71.42857142857143,57.692307692307686
seite,sig_endzeile,2026-06-19 18:00:00+00:00,33,12,0,18,3,36.36363636363637,90.9090909090909,100.0,85.71428571428571,60.0
seite,please_relay,2026-06-19 18:00:00+00:00,33,7,3,9,14,30.303030303030305,48.484848484848484,70.0,39.130434782608695,56.25
seite,runde,2026-06-20 00:00:00+00:00,97,42,1,38,16,44.329896907216494,82.4742268041237,97.67441860465115,70.37037037037037,47.5
seite,cohort,2026-06-20 00:00:00+00:00,97,22,19,34,22,42.2680412371134,57.73195876288659,53.65853658536586,60.71428571428571,60.71428571428571
seite,meldeformat,2026-06-20 00:00:00+00:00,97,37,4,35,21,42.2680412371134,74.22680412371135,90.2439024390244,62.5,48.61111111111111
seite,sig_endzeile,2026-06-20 00:00:00+00:00,97,39,2,42,14,42.2680412371134,83.50515463917526,95.1219512195122,75.0,51.85185185185185
seite,please_relay,2026-06-20 00:00:00+00:00,97,15,19,29,34,35.051546391752574,45.36082474226804,44.11764705882353,46.03174603174603,65.9090909090909
seite,runde,2026-06-20 06:00:00+00:00,40,17,0,20,3,42.5,92.5,100.0,86.95652173913044,54.054054054054056
seite,cohort,2026-06-20 06:00:00+00:00,40,5,11,15,9,40.0,50.0,31.25,62.5,75.0
seite,meldeformat,2026-06-20 06:00:00+00:00,40,7,9,19,5,40.0,65.0,43.75,79.16666666666666,73.07692307692307
seite,sig_endzeile,2026-06-20 06:00:00+00:00,40,12,4,19,5,40.0,77.5,75.0,79.16666666666666,61.29032258064516
seite,please_relay,2026-06-20 06:00:00+00:00,40,4,9,11,16,32.5,37.5,30.76923076923077,40.74074074074074,73.33333333333333
