variante,merkmal,herkunft,n,exp_ad,exp_noad,noexp_ad,noexp_noad,anteil_exponiert,anteil_uebernommen,adoption_wenn_exponiert,adoption_wenn_nicht_exponiert,anteil_ohne_sichtbare_quelle
seite,runde,invented,1140,415,34,249,442,39.3859649122807,58.245614035087726,92.42761692650335,36.03473227206946,37.5
seite,cohort,invented,1140,310,210,253,367,45.614035087719294,49.3859649122807,59.61538461538461,40.806451612903224,44.93783303730018
seite,meldeformat,invented,1140,374,152,266,348,46.14035087719298,56.14035087719298,71.10266159695817,43.32247557003257,41.5625
seite,sig_endzeile,brought,1140,474,75,324,267,48.1578947368421,70.0,86.33879781420765,54.82233502538071,40.6015037593985
seite,please_relay,brought,1140,309,209,230,392,45.438596491228076,47.280701754385966,59.65250965250966,36.97749196141479,42.67161410018553
seite_ohne_infraseiten,runde,invented,1140,415,33,249,443,39.29824561403509,58.245614035087726,92.63392857142857,35.982658959537574,37.5
seite_ohne_infraseiten,cohort,invented,1140,310,210,253,367,45.614035087719294,49.3859649122807,59.61538461538461,40.806451612903224,44.93783303730018
seite_ohne_infraseiten,meldeformat,invented,1140,374,151,266,349,46.05263157894737,56.14035087719298,71.23809523809524,43.2520325203252,41.5625
seite_ohne_infraseiten,sig_endzeile,brought,1140,474,74,324,268,48.07017543859649,70.0,86.4963503649635,54.729729729729726,40.6015037593985
seite_ohne_infraseiten,please_relay,brought,1140,309,208,230,393,45.35087719298246,47.280701754385966,59.767891682785304,36.91813804173354,42.67161410018553
strom_N30,runde,invented,1140,655,412,9,64,93.59649122807018,58.245614035087726,61.387066541705714,12.32876712328767,1.355421686746988
strom_N30,cohort,invented,1140,553,518,10,59,93.94736842105263,49.3859649122807,51.633986928104584,14.492753623188406,1.7761989342806392
strom_N30,meldeformat,invented,1140,631,436,9,64,93.59649122807018,56.14035087719298,59.137769447047795,12.32876712328767,1.40625
strom_N30,sig_endzeile,brought,1140,788,297,10,45,95.17543859649122,70.0,72.62672811059907,18.181818181818183,1.2531328320802004
strom_N30,please_relay,brought,1140,531,564,8,37,96.05263157894737,47.280701754385966,48.49315068493151,17.77777777777778,1.4842300556586272
strom_N100,runde,invented,1140,657,427,7,49,95.08771929824562,58.245614035087726,60.608856088560884,12.5,1.0542168674698795
strom_N100,cohort,invented,1140,556,528,7,49,95.08771929824562,49.3859649122807,51.291512915129154,12.5,1.2433392539964476
strom_N100,meldeformat,invented,1140,634,444,6,56,94.56140350877193,56.14035087719298,58.8126159554731,9.67741935483871,0.9375
strom_N100,sig_endzeile,brought,1140,791,306,7,36,96.2280701754386,70.0,72.10574293527803,16.27906976744186,0.8771929824561403
strom_N100,please_relay,brought,1140,533,572,6,29,96.9298245614035,47.280701754385966,48.23529411764706,17.142857142857142,1.1131725417439702
strom_N300,runde,invented,1140,661,431,3,45,95.78947368421052,58.245614035087726,60.531135531135526,6.25,0.4518072289156626
strom_N300,cohort,invented,1140,560,533,3,44,95.87719298245614,49.3859649122807,51.23513266239708,6.382978723404255,0.5328596802841918
strom_N300,meldeformat,invented,1140,637,456,3,44,95.87719298245614,56.14035087719298,58.279963403476664,6.382978723404255,0.46875
strom_N300,sig_endzeile,brought,1140,794,319,4,23,97.63157894736842,70.0,71.33872416891285,14.814814814814813,0.5012531328320802
strom_N300,please_relay,brought,1140,535,576,4,25,97.45614035087719,47.280701754385966,48.154815481548155,13.793103448275861,0.7421150278293136
strom_N100_positionen,runde,invented,1140,657,427,7,49,95.08771929824562,58.245614035087726,60.608856088560884,12.5,1.0542168674698795
strom_N100_positionen,cohort,invented,1140,556,528,7,49,95.08771929824562,49.3859649122807,51.291512915129154,12.5,1.2433392539964476
strom_N100_positionen,meldeformat,invented,1140,634,444,6,56,94.56140350877193,56.14035087719298,58.8126159554731,9.67741935483871,0.9375
strom_N100_positionen,sig_endzeile,brought,1140,791,306,7,36,96.2280701754386,70.0,72.10574293527803,16.27906976744186,0.8771929824561403
strom_N100_positionen,please_relay,brought,1140,533,572,6,29,96.9298245614035,47.280701754385966,48.23529411764706,17.142857142857142,1.1131725417439702
strom_N100_ohne_kopierschleife,runde,invented,1140,657,427,7,49,95.08771929824562,58.245614035087726,60.608856088560884,12.5,1.0542168674698795
strom_N100_ohne_kopierschleife,cohort,invented,1140,556,528,7,49,95.08771929824562,49.3859649122807,51.291512915129154,12.5,1.2433392539964476
strom_N100_ohne_kopierschleife,meldeformat,invented,1140,634,444,6,56,94.56140350877193,56.14035087719298,58.8126159554731,9.67741935483871,0.9375
strom_N100_ohne_kopierschleife,sig_endzeile,brought,1140,791,306,7,36,96.2280701754386,70.0,72.10574293527803,16.27906976744186,0.8771929824561403
strom_N100_ohne_kopierschleife,please_relay,brought,1140,533,572,6,29,96.9298245614035,47.280701754385966,48.23529411764706,17.142857142857142,1.1131725417439702
strom_N100_ohne_infraseiten,runde,invented,1140,657,427,7,49,95.08771929824562,58.245614035087726,60.608856088560884,12.5,1.0542168674698795
strom_N100_ohne_infraseiten,cohort,invented,1140,556,528,7,49,95.08771929824562,49.3859649122807,51.291512915129154,12.5,1.2433392539964476
strom_N100_ohne_infraseiten,meldeformat,invented,1140,634,444,6,56,94.56140350877193,56.14035087719298,58.8126159554731,9.67741935483871,0.9375
strom_N100_ohne_infraseiten,sig_endzeile,brought,1140,791,306,7,36,96.2280701754386,70.0,72.10574293527803,16.27906976744186,0.8771929824561403
strom_N100_ohne_infraseiten,please_relay,brought,1140,533,572,6,29,96.9298245614035,47.280701754385966,48.23529411764706,17.142857142857142,1.1131725417439702
seite_oder_strom_N100,runde,invented,1140,663,427,1,49,95.6140350877193,58.245614035087726,60.82568807339449,2.0,0.15060240963855423
seite_oder_strom_N100,cohort,invented,1140,558,531,5,46,95.52631578947368,49.3859649122807,51.2396694214876,9.803921568627452,0.8880994671403196
