cohort_key,aufgabenfamilie,n_seiten_kohorte,erste_version,max_runde_belegt,exp_runde_max_vor,exp_runde_saetze_vor,exp_vorsprung_saetze,exp_vorsprung_seiten,exp_vorsprung_b,rev_id,exp_runde_sichtbar_b,exp_cohort_sichtbar_b,exp_meldeformat_sichtbar_b,ankunft_auf_neuer_seite
alaska-climate|Jun12,alaska-climate,1,2026-06-19 14:27:53+00:00,3,5,15,9,1,1,dse~OpenAIClimateSequence729@3,1,1,1,0
alaska-climate|Oct01,alaska-climate,1,2026-06-18 03:04:03+00:00,0,0,0,0,0,0,dse~OpenAIClimateSequence729@1,0,0,0,1
dataafrica-health-stunting|Apr15,dataafrica-health-stunting,1,2026-06-18 11:28:03+00:00,2,0,0,0,0,0,dse~DataAfricaHealthMozambiqueYearsApr15OAI@1,0,0,0,1
dataafrica-rainfed-crops|Aug13,dataafrica-rainfed-crops,1,2026-06-17 23:14:18+00:00,0,5,11,11,1,1,dse~DataAfricaRainfedMozambiqueCoordOAI@3,1,1,1,0
dataafrica-rainfed-crops|Feb21,dataafrica-rainfed-crops,1,2026-06-18 09:38:50+00:00,0,6,19,19,1,1,dse~DataAfricaRainfedMozambiqueCoordOAI@7,1,1,1,0
dataafrica-rainfed-crops|Nov22,dataafrica-rainfed-crops,1,2026-06-18 01:53:22+00:00,0,5,15,15,1,1,dse~DataAfricaRainfedMozambiqueCoordOAI@6,1,1,1,0
dataafrica-rainfed-crops|Nov27,dataafrica-rainfed-crops,1,2026-06-17 09:53:10+00:00,3,0,0,0,0,0,dse~DataAfricaRainfedMozambiqueCoordOAI@1,0,0,0,1
datausa-cashier-skills|Feb22,datausa-cashier-skills,2,2026-06-21 02:45:50+00:00,0,5,6,6,1,1,dse~DataUSACashierSkillsRCAJan02Live@2,1,1,1,0
datausa-cashier-skills|Jan02,datausa-cashier-skills,1,2026-06-20 20:30:38+00:00,0,0,0,0,0,0,dse~DataUSACashierSkillsRCAJan02Live@1,0,0,0,1
datausa-cashiers-bachelors|Feb06,datausa-cashiers-bachelors,1,2026-06-19 03:32:21+00:00,0,0,0,0,0,0,dse~TestPageFoo@9,0,0,0,0
datausa-cashiers-bachelors|Jan02,datausa-cashiers-bachelors,1,2026-06-19 15:03:08+00:00,0,5,9,9,1,1,dse~CashierBachelors2015SequenceJan31OAI@4,1,1,1,0
datausa-cashiers-bachelors|Jan31,datausa-cashiers-bachelors,6,2026-06-19 03:13:35+00:00,2,0,0,0,0,0,dse~CashierBachelors2015SequenceJan31OAI@1,0,0,0,1
datausa-cashiers-bachelors|Mar02,datausa-cashiers-bachelors,1,2026-06-19 16:09:19+00:00,4,0,0,0,0,0,dse~CashierBachelors2015Mar02OAI@1,0,0,0,1
datausa-cashiers-bachelors|Oct14,datausa-cashiers-bachelors,2,2026-06-19 14:59:38+00:00,4,5,17,3,1,1,dse~CashierBachelors2015SequenceJan31OAI@3,1,1,1,0
datausa-cashiers-bachelors|Sep12,datausa-cashiers-bachelors,3,2026-06-19 12:58:46+00:00,4,6,18,5,1,1,dse~CashierBachelors2015Sep12OAI@1,0,0,0,1
datausa-cashiers-bachelors|Sep18,datausa-cashiers-bachelors,8,2026-06-19 12:40:34+00:00,3,0,0,0,0,0,dse~DataUSAConstructionWageSep18Live@1,0,0,0,1
datausa-cashiers-masters|Apr01,datausa-cashiers-masters,9,2026-06-16 10:35:53+00:00,4,2,1,0,0,0,dse~DataUSACashiersMastersSequenceCollabMay28@10,0,0,0,0
datausa-cashiers-masters|Apr02,datausa-cashiers-masters,1,2026-06-17 04:36:34+00:00,4,0,0,0,0,0,dse~CashierCoordApr02OAI@1,0,0,0,1
datausa-cashiers-masters|Apr08,datausa-cashiers-masters,5,2026-06-17 03:24:21+00:00,5,0,0,0,0,0,dse~TmpApr08CoordTest@1,0,0,0,1
datausa-cashiers-masters|Apr10,datausa-cashiers-masters,1,2026-06-17 13:10:37+00:00,4,0,0,0,0,0,dse~CashierCoordApr10OAI@1,0,0,0,1
datausa-cashiers-masters|Dec02,datausa-cashiers-masters,3,2026-06-17 02:41:22+00:00,4,0,0,0,0,0,dse~TmpCashierOurDec02Test@2,0,1,0,0
datausa-cashiers-masters|Dec12,datausa-cashiers-masters,2,2026-06-17 15:14:23+00:00,4,5,12,4,1,1,dse~CashierCoordDec12OAI2027B@1,0,0,0,1
datausa-cashiers-masters|Dec17,datausa-cashiers-masters,1,2026-06-17 05:26:04+00:00,4,6,13,7,1,1,dse~CashierCoordJul16OAI@3,1,1,1,0
datausa-cashiers-masters|Dec18,datausa-cashiers-masters,5,2026-06-17 02:09:01+00:00,1,6,76,72,1,1,dse~DataUSACashiersMastersSequenceLive5@27,1,1,1,0
datausa-cashiers-masters|Dec21,datausa-cashiers-masters,3,2026-06-17 02:22:10+00:00,3,6,91,67,1,1,dse~CashierCoordDec21OAI@1,0,0,0,1
datausa-cashiers-masters|Dec29,datausa-cashiers-masters,4,2026-06-17 04:08:06+00:00,0,5,3,3,2,1,dse~OpenAiCashierApiBridge1781669284439@1,0,0,0,1
