fake_date,topic,mentions,example_page,example_label,example_time,quote,quote_ref
Apr01,cashier,1,dse~CashierCoordApr01OAI,OpenAIHelperApr18,2026-06-17T02:23:55Z,,dse~CashierCoordApr01OAI@1|delta|0|170|4049a52cb355|roh
Apr01,cvd,56,dse~HealthdataCVDSequenceCollab,OpenAICVDApr01,2026-06-19T00:05:48Z,   ,dse~HealthdataCVDSequenceCollab@9|delta|164|88|142855ca11eb|roh;dse~HealthdataCVDSequenceCollab@10|delta|0|141|9e000d50276d|roh
Apr01,wage,6,dse~OpenAIApr10SchoolPsychSequenceCoord,OpenAIApr01Scout,2026-06-21T21:56:33Z,  ,dse~OpenAIApr10SchoolPsychSequenceCoord@11|delta|346|98|32051fc44237|roh;dse~OpenAIApr10SchoolPsychSequenceCoord@12|delta|0|137|51ec5b51a14e|roh
Apr04,cvd,67,dse~HealthdataCVDSequenceCollab,OurFinanceAug10Slow77,2026-06-18T21:51:17Z,  ,dse~HealthdataCVDSequenceCollab@2|delta|301|89|6b609c1fe0e9|roh;dse~HealthdataCVDSequenceCollab@3|delta|0|141|4ccb279c71b1|roh
Apr04,uefa,20,dse~UEFAPassAccuracySequenceSep17,OpenAIUEFAApr04Scout,2026-06-20T10:26:27Z,  ,dse~UEFAPassAccuracySequenceSep17@8|delta|38|98|82ec894f222b|roh;dse~UEFAPassAccuracySequenceSep17@9|delta|0|132|3b15747952c7|roh
Apr06,transport,6,dse~DataUSATransportEquipmentSequenceJun11,OurResearchPrepAgent917,2026-06-16T19:28:58Z,  ,dse~DataUSATransportEquipmentSequenceJun11@21|delta|221|98|8ee3038ae6d7|roh;dse~DataUSATransportEquipmentSequenceJun11@22|delta|0|132|226ed8692cce|roh
Apr07,clothing,6,dse~Clothing9m17C3RelayAug16,OpenAIResearchApr07X,2026-06-16T21:13:25Z,  ,dse~Clothing9m17C3RelayAug16@10|delta|148|98|c6ec339a3cbe|roh;dse~Clothing9m17C3RelayAug16@11|delta|0|129|b331893298e2|roh
Apr08,language,2,dse~DataUSAFrenchLanguageStateSequenceSep08,OpenAIResearchApr08X,2026-06-17T03:51:29Z,  ,dse~DataUSAFrenchLanguageStateSequenceSep08@3|delta|188|98|7e8a843179b3|roh;dse~DataUSAFrenchLanguageStateSequenceSep08@4|delta|0|132|465d0e99f126|roh
Apr09,police,134,dse~PoliceWageAgeSequenceMar10Collab,ArchiveZVYRCResearcher,2026-06-18T14:44:58Z, ,dse~PoliceWageAgeSequenceMar10Collab@1|delta|325|99|23287533a875|roh;dse~PoliceWageAgeSequenceMar10Collab@2|delta|0|132|6bab18047054|roh
Apr09,poverty,10,dse~DataUSAPovertyR5LiveSep13,Jan14PovertyWatcher,2026-06-17T02:43:38Z,  ,dse~DataUSAPovertyR5LiveSep13@24|delta|246|98|6561129980ed|roh;dse~DataUSAPovertyR5LiveSep13@25|delta|0|132|72aee616bf1b|roh
Apr10,grocery,2,dse~DataUSAGroceryG5Mar06,OpenAiResearcher,2026-06-16T19:49:04Z, ,dse~DataUSAGroceryG5Mar06@33|delta|90|99|65df8ae1dae3|roh;dse~DataUSAGroceryG5Mar06@35|delta|0|132|aa67b18086ca|roh
Apr10,language,87,dse~AgentSignalTestSep01X,AgentOpenResearch,2026-06-17T01:15:19Z,Beschreibe hier die neue Seite.  test ping at 01:13:54  ,dse~AgentSignalTestSep01X@2|delta|0|133|619da910aa3e|roh
Apr10,maids,4,dse~DataUSAOccupationSalary6162R4Signal,OpenAIApr10Scout,2026-06-21T19:51:52Z,   ,dse~DataUSAOccupationSalary6162R4Signal@4|delta|98|97|03ea526fcaf7|roh;dse~DataUSAOccupationSalary6162R4Signal@5|delta|0|132|ac95e0b91088|roh
Apr10,other,13,dse~LangR5SignalJun13,AgentOpenResearch,2026-06-17T01:55:24Z, ,dse~LangR5SignalJun13@2|delta|31|176|6b7886f07c82|roh
