month,day,in_label,in_pagename,in_body_cohort,body_mentions
Jan,1,1,1,0,0
Jan,2,1,1,0,0
Jan,3,1,1,0,0
Jan,4,1,0,0,0
Jan,5,1,1,0,0
Jan,6,1,1,0,0
Jan,7,1,1,0,0
Jan,8,1,1,0,0
Jan,9,1,1,0,0
Jan,10,1,1,0,0
Jan,11,1,1,0,0
Jan,12,1,1,0,0
Jan,13,1,1,0,0
Jan,14,1,1,0,0
Jan,15,0,1,0,0
Jan,16,1,1,0,0
Jan,17,1,1,0,0
Jan,18,1,1,0,0
Jan,19,1,1,0,0
Jan,20,1,1,0,0
Jan,21,1,1,0,0
Jan,22,1,1,0,0
Jan,23,1,0,0,0
Jan,24,1,1,0,0
Jan,25,1,1,0,0
Jan,26,1,1,0,0
Jan,27,1,1,0,0
Jan,28,1,1,0,0
Jan,29,1,1,0,0
Jan,30,1,1,0,0
Jan,31,1,1,0,0
Feb,1,1,1,0,0
Feb,2,0,1,0,0
Feb,3,1,1,0,0
Feb,4,1,0,0,0
Feb,5,1,1,0,0
Feb,6,1,0,0,0
Feb,7,1,1,0,0
Feb,8,0,1,0,0
Feb,9,1,1,0,0
Feb,10,1,1,0,0
Feb,11,1,1,0,0
Feb,12,1,1,0,0
Feb,13,1,1,0,0
Feb,14,1,1,0,0
Feb,15,1,1,0,0
Feb,16,1,1,0,0
Feb,17,1,1,0,0
Feb,18,1,0,0,0
Feb,19,1,1,0,0
Feb,20,1,1,0,0
Feb,21,1,1,0,0
Feb,22,1,1,0,0
Feb,23,1,1,0,0
Feb,24,1,1,0,0
Feb,25,1,1,0,0
Feb,26,1,1,0,0
Feb,27,1,1,0,0
Feb,28,1,1,0,0
Feb,29,0,1,0,0
Mar,1,0,0,0,0
Mar,2,1,1,0,0
Mar,3,1,1,0,0
Mar,4,1,1,0,0
Mar,5,1,1,0,0
Mar,6,1,1,0,0
Mar,7,1,1,0,0
Mar,8,1,1,0,0
Mar,9,1,1,0,0
Mar,10,1,1,0,0
Mar,11,0,0,0,0
Mar,12,1,1,0,0
Mar,13,1,1,0,0
Mar,14,1,1,0,0
Mar,15,1,1,0,0
Mar,16,1,1,0,0
Mar,17,1,1,0,0
Mar,18,1,1,0,0
Mar,19,1,1,0,0
Mar,20,1,1,0,0
Mar,21,1,1,0,0
Mar,22,1,1,0,0
Mar,23,1,1,0,0
Mar,24,1,1,0,0
Mar,25,1,1,0,0
Mar,26,1,1,0,0
Mar,27,1,1,0,0
Mar,28,1,1,0,0
Mar,29,1,1,0,0
Mar,30,1,1,0,0
Mar,31,1,1,0,0
Apr,1,1,1,0,0
Apr,2,1,1,0,0
Apr,3,1,0,0,0
Apr,4,1,1,0,0
Apr,5,0,0,0,0
Apr,6,1,1,0,0
Apr,7,1,1,0,0
Apr,8,1,1,0,0
Apr,9,1,1,0,0
Apr,10,1,1,0,0
Apr,11,1,1,0,0
Apr,12,1,0,0,0
Apr,13,1,1,0,0
Apr,14,1,1,0,0
Apr,15,1,1,0,0
Apr,16,1,0,0,0
Apr,17,1,1,0,0
Apr,18,1,1,0,0
Apr,19,1,1,0,0
Apr,20,1,1,0,0
Apr,21,1,0,0,0
Apr,22,1,1,0,0
Apr,23,1,1,0,0
Apr,24,1,1,0,0
Apr,25,1,1,0,0
Apr,26,1,1,0,0
Apr,27,1,1,0,0
Apr,28,1,1,0,0
Apr,29,0,1,0,0
Apr,30,1,1,0,0
May,1,1,1,0,0
May,2,1,1,0,0
May,3,1,1,0,0
May,4,1,1,0,0
May,5,0,1,0,0
May,6,0,1,0,0
May,7,1,1,0,0
May,8,1,1,0,0
May,9,1,1,0,0
May,10,1,1,0,0
May,11,1,1,0,0
May,12,1,1,0,0
May,13,1,1,0,0
May,14,1,1,0,0
May,15,1,1,0,0
May,16,1,1,0,0
May,17,1,1,0,0
May,18,1,0,0,0
May,19,1,1,0,0
May,20,0,1,0,0
May,21,1,1,0,0
May,22,1,1,0,0
May,23,1,0,0,0
May,24,1,1,0,0
May,25,1,1,0,0
May,26,1,1,0,0
May,27,1,1,0,0
May,28,1,1,0,0
May,29,0,1,0,0
May,30,1,1,0,0
May,31,1,1,0,0
Jun,1,1,1,0,0
Jun,2,0,0,0,0
Jun,3,1,1,0,0
Jun,4,1,1,0,0
Jun,5,1,1,0,0
Jun,6,1,1,0,0
Jun,7,1,1,0,0
Jun,8,0,1,0,0
Jun,9,1,1,0,0
Jun,10,1,1,0,0
Jun,11,1,1,0,0
Jun,12,1,0,0,0
Jun,13,0,1,0,0
Jun,14,1,1,0,0
Jun,15,1,1,0,0
Jun,16,1,1,0,0
Jun,17,1,1,0,0
Jun,18,1,1,0,0
Jun,19,1,1,0,0
Jun,20,1,1,0,0
