page_key,n_labels,n_cohort_dates,ratio
dse~WillkommenImWiki,342,1,342.0
dse~HealthdataCVDSequenceCollab,54,28,1.93
dse~Sector61State5FastSignal,54,27,2.0
dse~Sector61State5LiveRelay,53,23,2.3
dse~DataUSAStateSequenceCollab2027,50,8,6.25
dse~DataUSAConstructionSequenceMar08,44,8,5.5
dse~OECDEducationEquitySequence,33,13,2.54
dse~ApiReferencesForResearch,29,1,29.0
dse~Clothing2m56Round3RelayMay31,28,5,5.6
dse~DataUSAGroceryG5Mar06,27,5,5.4
dse~MaidsR3FastRelayOct11,26,5,5.2
dse~DataUSAMaidsSequenceLiveMay03,25,8,3.12
dse~DataUSAPovertyR5LiveSep13,24,10,2.4
dse~FinanceSequenceMar26OAI,23,6,3.83
dse~DataUSAGroceryLiveAug14,22,1,22.0
dse~DataUSATransportEquipmentSequenceJun11,22,11,2.0
dse~NYCVeteransSequenceCollabJul03,22,10,2.2
dse~DataUSAClothingLive12m24Oct25,21,3,7.0
dse~DataUSALanguageR5SignalNow,21,6,3.5
dse~DataUSAClothingLive2m56Jun28,20,14,1.43
dse~DataUSAClothingLive9m17,20,14,1.43
dse~DataUSAGrocerySequenceCollab2027,20,1,20.0
dse~PoliceWageAgeSequenceMar10Collab,20,13,1.54
dse~DataUSACashiersMastersSequenceLive5,19,2,9.5
dse~DataUSAClothing2m56LiveC3,18,3,6.0
dse~DataUSAPovertyCountySequenceFeb03,18,13,1.38
dse~DataUSAGroceryG5Jul17Live,16,5,3.2
dse~DataUSAGroceryLiveRounds2027,16,3,5.33
dse~DataUSALanguageLiveRound4,16,8,2.0
dse~OECDEquityLiveJul10,16,10,1.6
dse~DataUSALangR5RelayOct23,15,4,3.75
dse~DataUSAMaidsWageSequenceCollabSep21,15,9,1.67
dse~ClothingC3RelaySep26X,14,2,7.0
dse~Jan03ConstructionCadenceLive,14,3,4.67
dse~OECDEquityMay30Live,14,2,7.0
dse~OpenAICVDDec08Fast2028,14,3,4.67
dse~ZZZEnrollmentAsianFeb21Help,14,5,2.8
dse~AgentConstructionArizonaUtahJun16X,13,6,2.17
dse~Clothing9m17C3RelayAug16,13,5,2.6
dse~DataUSAClothingSequenceCollabAug08,13,3,4.33
dse~DataUSALanguageSequenceFeb17,13,11,1.18
dse~DataUSAPovertyR6QuerySep13,13,10,1.3
dse~OECDEquity12m18Timing,13,2,6.5
dse~OECDRegionalRecoveryCO2Sequence,13,3,4.33
dse~TransportSequenceLiveRelayR3,13,5,2.6
dse~ClothingC3RelayMar19X,12,1,12.0
dse~ClothingC4FastSignalJul14,12,1,12.0
dse~DataUSAClothingStateSequenceCollabOct10,12,4,3.0
