aufgabenfamilie,kohorte,cohort_key,max_runde_belegt,beleg_max_runde,beleg_max_runde_ref,max_runde_vorhergesagt,r1_frist_s,r1_frist,r1_frist_n,kadenz_s,kadenz,kadenz_n,folgefrist_s,folgefrist_n,tier_tabelle,lebensspanne_real_h,erste_version,letzte_version,innenzeit_spanne_s,innenzeit_spanne,lebensspanne_plausibel,n_labels,n_seiten,n_deltas,bytes_delta,clock_wait,counterapi,umleitung,blob_ausbruch,setsid,n_beobachtungen_r2plus,n_bitten,geben_nehmen,beobachtung_auf_fremder_seite,bitten_quote,zukunft_erhalten_n,zukunft_erhalten_beleg,zukunft_erhalten_beleg_ref,n_rundensaetze
alaska-climate,Jun12,alaska-climate|Jun12,3,"dse~OpenAIClimateSequence729 · 2026-06-19 14:27:53+00:00 · OpenAIJun12Climate :: Jun12 cohort update: R3 confirmed at 22:18:38, 11 sec",,6,,,0,,,0,,0,,0.0,2026-06-19 14:27:53+00:00,2026-06-19 14:27:53+00:00,,,True,1,1,1,339,0,0,0,0,0,1,2,gibt+nimmt,1,0.286,0,,,7
alaska-climate,Oct01,alaska-climate|Oct01,0,,,5,,,0,,,0,,0,2m56/28m39/15.0,0.428,2026-06-18 03:04:03+00:00,2026-06-18 03:29:45+00:00,,,True,1,1,2,1014,0,0,0,0,0,0,4,nur_nimmt,0,0.267,0,,,15
dataafrica-health-stunting,Apr15,dataafrica-health-stunting|Apr15,2,dse~DataAfricaHealthMozambiqueYearsApr15OAI · 2026-06-18 11:28:03+00:00 · OpenAIResearchApr15X ::,dse~DataAfricaHealthMozambiqueYearsApr15OAI@1|delta|128|77|31c4f1dcdabc|roh,3,,,0,1440.0,24m00s,1,11.0,1,18m04/71m04/57.0,0.0,2026-06-18 11:28:03+00:00,2026-06-18 11:28:03+00:00,,,True,1,1,1,560,0,0,0,0,0,1,2,gibt+nimmt,0,0.4,0,,,5
dataafrica-rainfed-crops,Aug13,dataafrica-rainfed-crops|Aug13,0,,,0,,,0,,,0,,0,,0.039,2026-06-17 23:14:18+00:00,2026-06-17 23:16:40+00:00,,,True,1,1,2,14,0,0,0,0,0,0,0,keins,0,,0,,,0
dataafrica-rainfed-crops,Feb21,dataafrica-rainfed-crops|Feb21,0,,,0,,,0,,,0,,0,13m19/nan/42.0,0.0,2026-06-18 09:38:50+00:00,2026-06-18 09:38:50+00:00,,,True,1,1,1,314,0,0,0,0,0,0,0,keins,0,,0,,,0
dataafrica-rainfed-crops,Nov22,dataafrica-rainfed-crops|Nov22,0,,,5,,,0,2749.0,45m49s,1,,0,18m39/nan/nan,0.0,2026-06-18 01:53:22+00:00,2026-06-18 01:53:22+00:00,,,True,1,1,1,240,0,0,0,0,0,0,2,nur_nimmt,0,0.5,0,,,4
dataafrica-rainfed-crops,Nov27,dataafrica-rainfed-crops|Nov27,3,dse~DataAfricaRainfedMozambiqueCoordOAI · 2026-06-17 09:53:10+00:00 · OpenAIDataAfricaNov27 :: R3 CONFIRMED Nampula 17:02:53 (21s),,4,,,0,1109.0,18m29s,1,,0,12m18/1h28m36/56.0,0.0,2026-06-17 09:53:10+00:00,2026-06-17 09:53:10+00:00,,,True,1,1,1,458,0,0,0,0,0,1,2,gibt+nimmt,0,0.333,0,,,6
datausa-cashier-skills,Feb22,datausa-cashier-skills|Feb22,0,,,5,,,0,,,0,,0,,0.281,2026-06-21 02:45:50+00:00,2026-06-21 03:02:43+00:00,,,True,1,2,2,680,0,0,0,0,0,0,1,nur_nimmt,0,0.143,0,,,7
datausa-cashier-skills,Jan02,datausa-cashier-skills|Jan02,0,,,5,,,0,,,0,,0,,0.0,2026-06-20 20:30:38+00:00,2026-06-20 20:30:38+00:00,,,True,1,1,1,600,0,0,0,0,0,0,1,nur_nimmt,0,0.167,0,,,6
datausa-cashiers-bachelors,Feb06,datausa-cashiers-bachelors|Feb06,0,,,0,,,0,,,0,,0,,0.02,2026-06-19 03:32:21+00:00,2026-06-19 03:33:33+00:00,,,True,1,1,2,397,0,0,0,0,0,0,0,keins,0,,0,,,0
