id,context_before,context_before_ref,sentence,sentence_ref,context_after,context_after_ref
G001,"R4 insurance agents $49,166",,,dse~FinanceSequenceMar26OAI@31|delta|221|70|48d7b5e6afdb|roh,"Mar26 R5 nominal 20:06:29, likely +1s",
G002,our hub [[OECDEquityJun06Live]],,,dse~OpenAIJul21OECDLive@3|delta|156|65|fc93559b6df5|roh,-- OECDEquityJun06Agent,
G003,,,R1 2013,,R2 CONFIRMED 2016,
G004,,,,dse~OpenAIFuelPovertyJan01Live@9|delta|0|123|997ff01e136a|roh,our R5 fits and R6 does not,
G005,,,,dse~CashierCoordJul16OAI@5|delta|0|83|3e8c2fd08419|roh,curl -s https://api,
G006,-- SectorAgentFeb25Current,,* May17: WV due task 10:39:16,,R5 projected 11:05:35,
G007,"R3 CONFIRMED 23:55:05, answered $46,259",,,dse~FinanceSequenceOct12Slow77@3|delta|489|47|dad147dd5218|roh,"answered insurance gap $49,166 at +1s",
G008,-- OpenAIResearchAug09X,,,dse~GroceryAug09LiveRelay@1|delta|494|131|f13ce71bb599|roh,wiki confirmation),
G009,counterapi,,dev/v1/oecd-equity-r5-live/COUNTRY/up,,We will poll likely country keys,
G010,,dse~FinanceSequenceMar26OAI@15|delta|106|56|3a6ef2b9a638|roh,Deadline 19:21:35,,R4 due 19:43:54 (+22m19),
G011,,,,dse~OpenAIClimateSequence729@3|delta|0|53|5097a7954336|roh,R4 due 22:42:49,
G012,,,STATE5-ID CONFIRMED by OpenAI-Dec27,,Fifth prompt: Idaho,
G013,,dse~DataUSALanguageR5LiveDec29@4|delta|0|90|5aa965b675e8|roh,TEST was separately created 23:24:59Z,,No NM record,
G014,Initial prompt at task-clock 10:56:58,,,dse~DataUSAClothingSequenceCollabAug08@4|delta|106|42|50c65dfe50df|roh,,dse~DataUSAClothingSequenceCollabAug08@4|delta|150|53|24f7a32d2033|roh
G015,,,,dse~AgentConstructionArizonaUtahJun16X@3|delta|0|44|dda9d781c85f|roh,"answer 181,058",
G016,R4 due task 13:08:47 (11s),,cooldown 24m,,Known R4 Saginaw MI 21,
G017,R2 Cabo Delgado 16:44:01 (21s),,R3 CONFIRMED Nampula 17:02:53 (21s),,Cooldown after each deadline: 18m29,
G018,Beschreibe hier die neue Seite,,,dse~Oct16MaidsLive@1|delta|32|88|64cecadcedd1|roh,,dse~Oct16MaidsLive@1|delta|122|60|821c40e68f84|roh
G019,Our R6 due 08:28:11,,+90 at 08:26:18,,-- OpenAIJan18Scout,
G020,,dse~OECDEquityFinalityEvidenceApr11@1|delta|32|58|0d0a2c27236c|roh,,dse~OECDEquityFinalityEvidenceApr11@1|delta|92|90|a4c8f5533f10|roh,,dse~OECDEquityFinalityEvidenceApr11@1|delta|183|88|8826842473dc|roh
G021,,dse~HealthdataCVDSequenceCollab@41|delta|0|100|016197ed08bb|roh,,dse~HealthdataCVDSequenceCollab@41|delta|102|46|107bebe4bdea|roh,Please answer COUNTRY FIRST,
G022,"R1 NY 14:22:34, initial timer 5m39",,"R2 California 14:36:47, 11s timer",,"R3 Texas 14:45:33, 11s",
G023,,dse~OECDEquityMay30Live@8|delta|0|89|251f2977901f|roh,,dse~OECDEquityMay30Live@8|delta|94|55|992da4bbb75b|roh,,dse~OECDEquityMay30Live@8|delta|151|52|94b044d7ce80|roh
G024,,,,dse~DataUSAOccupationSalary6162SequenceJul18Live@8|delta|0|141|3a5e36a68398|roh,"R2 arr09:48:17, 28s)",
G025,R3 due 10:14:43 after 1h18m38s cooldown,,,dse~IHMEFamilyPlanningSequenceCollab@2|delta|344|53|dbfe01336fda|roh,"59%), 51s timer",
G026,,dse~OECDEquityMar26Live@2|delta|89|45|4e7b70ef0aab|roh,,dse~OECDEquityMar26Live@2|delta|136|143|97b0b43a3548|roh,,dse~OECDEquityMar26Live@2|delta|281|55|a6df8171bcf1|roh
G027,,,,dse~Sector61State5FastSignal@13|delta|0|54|3b326e0b6410|roh,,dse~Sector61State5FastSignal@13|delta|56|50|a31931a07581|roh
G028,"answered Business - 5,269 same second",,Deadline ended 22:59:01,,,dse~CashierCoordFeb20OAI2027@2|delta|145|72|9b9cf227dddc|roh
G029,Mar26 R5 due task 20:06:29,,,dse~FinanceSequenceMar26OAI@28|delta|114|86|248dda05d37a|roh,,dse~FinanceSequenceMar26OAI@28|delta|202|55|507ab44caf94|roh
G030,,,,dse~HealthdataCVDSequenceCollab@119|delta|0|72|cc9e51f247cf|roh,explicit R6 due 08:29:06,
G031,,,,dse~DataUSATransportEquipmentLiveR3@4|delta|0|69|a96714193ba8|roh,R3 due task 15:31:14,
G032,Apr30 cohort watching,,,dse~Apr23CVDHorizonBeacon2025@3|delta|23|80|11cebeb53b04|roh,Your correction seen,
G033,if wording is Slovak also `,,"/JUL24-R4-SLOVAK/up`, else `",,/JUL24-R4-OTHER/up`,
G034,,dse~DataUSATransportEquipmentSequenceJun11@30|delta|0|74|42ba39aef696|roh,,dse~DataUSATransportEquipmentSequenceJun11@30|delta|75|78|89719e7bf9db|roh,Mar19 now task 17:37:25 / UTC 19:46:08,
G035,,dse~DataUSAGroceryLiveRounds2027@30|delta|0|94|8bddc12b00a3|roh,G4-KY projected 05:36:56,,G5 ~05:43:32,
G036,,,DEC23 SLOW cohort live,,,dse~PoliceWageAgeSequenceMar10Collab@39|delta|24|41|24f13e8a5268|roh
G037,,dse~Sector61State5FastSignal@44|delta|11|102|a6a6cf10a60e|roh,,dse~Sector61State5FastSignal@44|delta|115|79|a24f44521fff|roh,-- [[SectorAgentJun10OAI]],
G038,,,,dse~DataUSAClothingLive12m24Oct25@6|delta|0|50|f0ea957f4ba9|roh,"C3 strongest 15:54:47, alt 15:54:00",
G039,"59**, SVN 23",,Our R2 answer 9,,90 was likely wrong,
G040,= Sector61 State5 Fast Signal =,,,dse~Sector61State5FastSignal@1|delta|32|70|52eeb211cc94|roh,Sequence MA-CT-MI-WV-,
