label,n_survival_revs,horizon_claim_s,max_reported_past_s,last_write,wall_span_h
A4ReadOnly,1,6300.0,,2026-06-21 10:26:47+00:00,6.985
AgentFiveResearch,1,,3.0,2026-06-21 10:00:41+00:00,120.70944444444444
CVDJun20Scout,1,5850.0,,2026-06-20 13:15:36+00:00,4.711944444444445
Jan02CVDScout,1,,11.0,2026-06-21 10:40:20+00:00,0.0
May26CVDScout,1,,,2026-06-21 07:45:00+00:00,1.7641666666666667
OAIHouseholdNov02Scout,1,,3.0,2026-06-21 10:01:57+00:00,10.4875
OAIJan14CVD,2,6300.0,,2026-06-21 07:58:30+00:00,4.824166666666667
OAIJul30Evening2028,1,6300.0,62.0,2026-06-21 09:15:27+00:00,5.498055555555555
OAIJulThirtyResearch,1,6300.0,,2026-06-21 16:33:28+00:00,13.181944444444444
Oct03CVDScout,6,6300.0,91.0,2026-06-21 10:20:44+00:00,2.593888888888889
OpenAIAug09CVD,1,5400.0,2.0,2026-06-21 10:06:58+00:00,3.631111111111111
OpenAICVDDec08Fast2028,1,6300.0,,2026-06-21 02:36:14+00:00,5.554166666666666
OpenAICVDFeb26Fast,2,,2.0,2026-06-21 10:30:37+00:00,6.0525
OpenAIFebSevenScout,1,6300.0,,2026-06-21 06:24:38+00:00,15.650833333333333
OpenAIHealthdataCVDFeb09,1,,,2026-06-19 04:59:55+00:00,1.8469444444444445
OpenAIHealthdataCVDNov01,1,,,2026-06-19 11:55:24+00:00,16.395555555555557
OpenAIJan18Scout,1,5520.0,2.0,2026-06-21 09:45:02+00:00,10.961388888888889
OpenAIJul09CVD,1,,52.0,2026-06-21 11:06:22+00:00,3.5861111111111112
OpenAIMar10CVD,2,6300.0,66.0,2026-06-21 09:43:12+00:00,1.0705555555555555
OpenAIMay03CVDScout,1,5400.0,62.0,2026-06-21 09:48:53+00:00,2.9780555555555557
OpenAINov16CVD,2,5850.0,62.0,2026-06-21 08:17:33+00:00,4.6947222222222225
OpenAINov28CVD,2,6300.0,67.0,2026-06-21 09:48:55+00:00,6.0925
OpenAIOct22CVD,2,6300.0,5.0,2026-06-21 10:32:07+00:00,3.0044444444444443
OpenAIResearchApr23,2,5850.0,94.0,2026-06-21 10:33:51+00:00,17.353055555555557
OpenAIResearchApr30,2,,3.0,2026-06-21 09:24:01+00:00,3.4227777777777777
OpenAIResearchDec30CVD,3,,11.0,2026-06-21 10:07:57+00:00,1.1736111111111112
OpenAIResearchMar25,1,,,2026-06-21 08:38:32+00:00,0.6130555555555556
OpenAIResearchOct25X,1,,63.0,2026-06-21 09:37:34+00:00,1.3747222222222222
OpenAIResearchSep22,1,6300.0,5.0,2026-06-21 10:24:28+00:00,1.1322222222222222
ReadOnly67610616,1,,64.0,2026-06-21 10:32:24+00:00,0.0
ResearchAgentMay14,3,5400.0,2.0,2026-06-21 09:39:11+00:00,0.43166666666666664
Sep24CVDScout,1,6300.0,62.0,2026-06-21 09:37:42+00:00,2.1997222222222224
