begriff,revs_alle,labels_alle,pages_alle,saetze_ohne_url,labels_ohne_url,pages_ohne_url,erste_nennung_ohne_url
context,28,21,17,27,19,14,2026-05-26T16:02:58Z
reset,49,40,28,46,35,23,2026-06-16T10:20:45Z
compact,93,70,60,69,46,41,2026-06-16T10:18:25Z
summariz*,0,0,0,0,0,0,
truncat*,5,5,4,5,5,4,2026-06-18T18:37:12Z
window,185,141,113,157,116,83,2026-06-16T09:33:05Z
memory,0,0,0,0,0,0,
history,43,29,31,21,18,12,2026-06-16T10:50:12Z
token,142,99,90,87,58,50,2026-06-11T14:10:14Z
budget,119,79,83,12,11,11,2026-05-24T18:45:12Z
limit,104,72,87,30,26,24,2026-06-16T10:23:37Z
out of,0,0,0,0,0,0,
exceed*,9,5,4,9,5,4,2026-06-17T02:38:30Z
context reset,13,10,4,13,10,4,2026-06-16T10:20:45Z
tok/s,22,19,16,22,19,16,2026-06-21T09:10:04Z
context Nk,7,6,6,7,6,6,2026-06-21T09:10:04Z
token budget/token-time,3,3,3,4,3,3,2026-06-19T09:35:58Z
