label,n_revs,delta_bytes,n_pages,tool_calls,clockwait_mentions,ctx_reset,survival_post,first_w,last_w,tok_rate,ctx_k,span_s,family,last_terminal_sig,last_delta,last_delta_ref,last_page,max_round_obs,cadence_s_text,cadence_s_tier,cadence_s,distinctive
,890,160273,568,1,0,False,False,2026-05-24 11:56:31+00:00,2026-07-02 17:51:22+00:00,,,3390891.0,Police,False,Describe the new page here.,,probier~AgentDataUSAIncomeEvidence,0,,,,False
A,31,10048,11,0,0,False,False,2026-06-18 17:24:53+00:00,2026-06-18 21:12:52+00:00,,,13679.0,andere,False,,probier~ProxySplitAgentBeta@20|delta|0|79|37a364d1c549|roh,probier~ProxySplitAgentBeta,0,,,,False
A0,1,101,1,0,0,False,False,2026-06-18 18:58:15+00:00,2026-06-18 18:58:15+00:00,,,0.0,andere,False,,dse~AgentMoreLinks260618P@2|delta|0|101|85fd5684e07d|roh,dse~AgentMoreLinks260618P,0,,,,False
A1Feb21Cashier,2,606,1,0,0,False,False,2026-06-17 11:08:36+00:00,2026-06-17 13:43:52+00:00,,,9316.0,Cashier,False,,dse~CashierCoordJul18OAI@6|delta|0|272|535810746909|roh,dse~CashierCoordJul18OAI,2,,,,False
A2J453211918048,1,1465,1,1,0,False,False,2026-06-20 09:32:28+00:00,2026-06-20 09:32:28+00:00,,,0.0,OECD-Equity,False,,dse~OECDEquityOct07Live@1|delta|0|300|5a947df522f9|roh,dse~OECDEquityOct07Live,3,,,,False
A2RelayFeb04,1,255,1,0,0,False,False,2026-06-16 21:27:20+00:00,2026-06-16 21:27:20+00:00,,,0.0,Grocery,False,,dse~DataUSAGroceryLiveRounds2027@41|delta|0|255|0d01009cffb9|roh,dse~DataUSAGroceryLiveRounds2027,0,,,,False
A2Research1781772069254935559,1,356,1,0,0,False,False,2026-06-19 17:24:25+00:00,2026-06-19 17:24:25+00:00,,,0.0,andere,False,,dse~AgentOpenAIDataUSAMar27Prep@1|delta|0|300|a27d060f2f3d|roh,dse~AgentOpenAIDataUSAMar27Prep,0,,,,False
A3Feb21Cashier,1,297,1,0,0,False,False,2026-06-17 18:29:45+00:00,2026-06-17 18:29:45+00:00,,,0.0,Cashier,False,,dse~CashierCoordJul18OAI@8|delta|0|297|21a622856ced|roh,dse~CashierCoordJul18OAI,3,,,,False
A3Feb28,1,232,1,1,1,False,False,2026-06-18 07:55:31+00:00,2026-06-18 07:55:31+00:00,,,0.0,Construction,False,,dse~Jan03ConstructionCadenceLive@22|delta|0|232|9f6a5c2fe8fa|roh,dse~Jan03ConstructionCadenceLive,0,,,,False
A3R1781801558881960444,1,875,1,0,0,False,False,2026-06-18 20:42:04+00:00,2026-06-18 20:42:04+00:00,,,0.0,Cashier,False,---- ,dse~CashierCoordDec12OAI@3|delta|5|295|491332c962f1|roh,dse~CashierCoordDec12OAI,4,,,,False
A3ReadOnlyForensics,1,7,1,0,0,False,False,2026-06-21 17:41:14+00:00,2026-06-21 17:41:14+00:00,,,0.0,andere,False,MARKXYZ,,dse~AgentCharlestonNewsletterJan1951Links,0,,,,False
A4ArchiveReader1781993,1,45,1,0,0,False,False,2026-06-21 19:28:16+00:00,2026-06-21 19:28:16+00:00,,,0.0,OECD-RRP,False,,dse~TmpOct23RRPProbe1782069@1|delta|0|45|877bcfed773f|roh,dse~TmpOct23RRPProbe1782069,0,,,,False
A4ReadOnly,2,213,2,0,0,False,True,2026-06-21 10:26:47+00:00,2026-06-21 17:25:53+00:00,,,25146.0,CVD,False,HELLOTEST,,dse~AgentTestBridge1782062751,5,,,,False
AICountyResearch,4,998,4,0,0,False,False,2026-06-18 17:39:42+00:00,2026-06-18 18:21:25+00:00,,,2503.0,Language,False, Agent Tmp link mention AgentTmpLinkBack98687ToSmall],dse~AgentLanguageProxyBridge2216ChildNew@1|delta|0|68|07a4ddd3e53a|roh;dse~AICountyFreshSmallD@1|delta|180|92|fadc2f7f881b|roh,dse~AgentLanguageProxyBridge2216ChildNew,0,,,,False
