family,n,slope_logV_logL,slope_ci,rho_rate_vs_L,p,ci
andere,122,0.14833312232342882,[-0.00; 0.31],-0.6674872777777505,4.62301287135608e-17,[-0.77; -0.54]
Clothing,73,0.2645265365923411,[0.09; 0.46],-0.7147969887695916,1.223480433684902e-12,[-0.85; -0.52]
Construction,59,0.24144124384019214,[0.13; 0.34],-0.8054471866316635,1.453434279833862e-14,[-0.89; -0.66]
Grocery,53,0.2230612873087481,[0.10; 0.35],-0.8031769069504918,4.620943728240074e-13,[-0.90; -0.65]
OECD-Equity,50,0.2225949035276742,[0.11; 0.37],-0.8093637454981992,1.1272056583102588e-12,[-0.90; -0.68]
CVD,39,0.2608023520348593,[0.14; 0.39],-0.8582995951417004,2.860056450271008e-12,[-0.92; -0.73]
Cashier,34,0.22019941297313214,[0.10; 0.38],-0.8676852559205499,3.091002650041785e-11,[-0.95; -0.67]
Poverty,32,-0.034619771912899736,[-0.34; 0.32],-0.6638563049853371,3.439061635533096e-05,[-0.84; -0.39]
Sector,24,-0.09570995804624353,[-0.42; 0.48],-0.5147826086956522,0.010054114049541183,[-0.82; -0.10]
Language,19,-0.05649553383753382,[-0.44; 0.43],-0.7719298245614035,0.00010807079839875919,[-0.94; -0.43]
