verteilung,n,cv,cv_lo,cv_hi,median,min,max,einheit
"Horizontaussagen (Innenuhr, alle 95)",95,0.49278937997382244,0.36514334237380863,0.5931025828685553,6300.0,1680.0,26100.0,s
"Horizontaussagen (Innenuhr, je label Median, 64)",64,0.5168786806737133,0.35062860180201966,0.6289061184430036,6555.0,1680.0,26100.0,s
"Weltzeit-Lebensdauer, distinktiv <=12h (alle)",566,1.0369934634002715,0.9825744035345235,1.093684179557512,5976.5,301.0,42689.0,s
"Weltzeit-Lebensdauer, distinktiv (alle 738, ohne Deckel)",738,3.492367840391379,3.155591697285795,3.788489872801079,7943.0,8.0,2119947.0,s
Weltzeit-Lebensdauer der Horizont-labels (<=12h),32,0.7148651934401059,0.5457662349091337,0.8559027415466969,11367.0,1554.0,40468.0,s
Horizontaussagen CVD,57,0.573914297504485,0.19604296142885752,0.723697914703567,6300.0,5400.0,26100.0,s
Weltzeit-Lebensdauer CVD (<=12h),39,0.7502423544799973,0.5987809344867324,0.9011383215734913,13377.0,824.0,40468.0,s
Horizontaussagen Construction,9,0.19560480372175543,0.1411764705882353,0.19560480372175543,8100.0,8100.0,11700.0,s
Weltzeit-Lebensdauer Construction (<=12h),59,0.8276029149211982,0.6863657381630675,0.9731808263678038,12979.0,372.0,41917.0,s
Horizontaussagen Police,7,0.3872195511185115,0.0319219650029894,0.6754989475380402,13500.0,2700.0,14400.0,s
Weltzeit-Lebensdauer Police (<=12h),10,0.7878519130215743,0.3068219928263797,0.9917123859568818,7843.0,3160.0,31824.0,s
Weltzeit-Lebensdauer OECD-Equity (<=12h),50,0.6467328019668406,0.5111813542952613,0.7740947812709227,17238.0,587.0,39488.0,s
Weltzeit-Lebensdauer FP (<=12h),14,0.8997726262470529,0.5592240519135341,1.2896903617717312,7940.5,489.0,26769.0,s
Weltzeit-Lebensdauer der labels mit Horizont +105m,6,0.6548646784559956,0.21701322577305437,0.9464744494921117,18347.0,3854.0,40468.0,s
Weltzeit-Lebensdauer der labels mit Horizont +90m,6,0.7421987879031627,0.22986172947195166,1.113049336736058,14986.5,1554.0,39461.0,s
Weltzeit-Lebensdauer der labels mit Horizont 2h15,4,0.6724194232810731,0.05516481787428212,0.9205260148656375,9797.0,3304.0,16327.0,s
"Innenuhr-Lebensdauer (Jetzt-Aussagen, distinktiv)",36,1.634791250142959,1.195464294697108,1.945996714352945,1235.0,18.0,19864.0,s
Weltzeit-Lebensdauer derselben labels,36,1.0025401487056067,0.7997539569981339,1.2017987224455593,8173.0,457.0,42360.0,s
