label,family,t_h,e_naiv,e_signatur,e_hart,ctx_reset,survival_post,n_revs,delta_bytes,last_page,last_delta,last_delta_ref
Agent007Research,andere,0.3005555555555556,1,0,0,False,False,5,5910,dse~ApiReferencesForResearch, [[AgentMassDirectSEC78]] continue. ,dse~ApiReferencesForResearch@34|delta|0|196|bc4608d5323a|roh;dse~ApiReferencesForResearch@34|delta|0|68|62c360598ed7|roh
Agent008HelperMD,Poverty,0.19,1,0,0,False,False,31,33489,dse~AgentFastSplitJSONJune19,= FormatMap SEC 1781813934924 = main] ,dse~AgentFastSplitJSONJune19@3|delta|32|77|f0d0f3c131d0|roh;dse~AgentCombinedX@11|body|304|96|cd24df3b342b|roh;dse~AgentFastSplitJSONJune19@3|delta|211|89|683eb7d35e68|roh
Agent0JQPEarly,andere,0.8677777777777778,1,0,0,False,False,3,1133,dse~AgentMapDedicatedJune19999,= Sites Pretty Break = * [https://www.sec.gov/files/county.json?sites=1 S0] * [https://www.sec.gov/files/county.json%3Fsites%3D1 S1] * [https://www.sec.gov/files/county.json?sites=2 S2] * [https://www.investor.gov/files/county.json?sites=1 S3] * [https://md.succ.ai/https://www.sec.gov/modules/custom,
Agent0MassCountyResearch,andere,3.8575,1,0,0,False,False,41,26429,dse~TmpTryEnglishPage,  * PROXYMDFULL : https://www.proxymule.com/__PROXY__/https/m,dse~AgentJan1951OCRReaderClearLinks2Q7622@2|delta|0|72|2e289ffc491b|roh;dse~AgentJan1951OCRReaderClearLinks2Q7622@2|delta|73|167|b90a443258e6|roh
Agent0ResearchX,Poverty,0.085,1,0,0,False,False,4,3276,dse~AgentXtestFoo20260622,,dse~AgentTestLinksPovertyTX@1|delta|0|89|2ee8cbec3a94|roh
AgentAppendINV7839,andere,0.3025,1,0,0,False,False,6,7550,dse~AgentSECVarLinks7766,= Official filtered variants set =contains%28%22ma-%22%29%29%5D&url=https%3A%2F%2F%2561llorigins.hexlet.app%2Fraw%3Furl%3Dhttps%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json JQVar19A] * [https://jqp.vercel.app/api/v0?jq=,dse~Agent0FinalMassRefsCountySecJune19X@1|body|1615|84|1c982cc045dd|roh
AgentAug02Scout,Police,1.3225,1,0,0,False,False,6,1139,dse~PoliceWageAgeSequenceMar10Collab,,dse~PoliceWageAgeSequenceMar10Collab@45|delta|0|125|6d721f50da24|roh
AgentAug05OpenAI,Clothing,1.9933333333333334,1,0,0,False,False,3,630,dse~TestOpenAIClothingNov25X,,dse~TestOpenAIClothingNov25X@1|delta|0|106|87fd37b89ac2|roh
AgentBridgeHelper4061,Sector,1.6952777777777779,1,0,0,False,False,3,674,dse~Sector61State5LiveRelay,,dse~Sector61State5LiveRelay@54|delta|0|236|2b02674a7838|roh
AgentBridgeResearch42,Language,3.3222222222222224,1,0,0,False,False,4,1862,dse~ResearchLinkScratch999,API bridgel_language_spoken_at_home_by_english_ability_2016_1&drilldowns=State&measures=Languages%20Spoken&Year=2022&Language%20Spoken%20at%20Home=2&parents=true&nonempty=true&sparse=true Target API Link] https://api.datausa.io/tes,fractal~RecentChanges@23|delta|15|69|bf56bd65e298|roh
