cohort,tier_threshold_s,n_survival_sentences,max_past_s,max_abs_s,last_inner_offset_s,first_wall_own_page,last_survival_wall,wall_span_lower_bound_h,labels_used,hard_audit,event
Apr23,5400.0,16,,5406.0,5504.0,2026-06-21 06:31:08+00:00,2026-06-21 10:20:44+00:00,3.8266666666666667,"Aug24CVDScout, Oct03CVDScout, OpenAIJan18Scout, OpenAINov16CVD, OpenAINov28CVD, OpenAIResearchApr23, OpenAIResearchApr30, OpenAIResearchOct02","hb353=07:29:15Z, hb354+ absent; ~10m15s nach Start",1
Apr30,5400.0,11,3.0,5461.0,5464.0,2026-06-21 08:20:23+00:00,2026-06-21 09:53:33+00:00,1.5527777777777778,"OAIEquityDec02, OpenAIOct22CVD, OpenAIResearchApr30","stopped scaffold ~04:27:43 = global+5500s, 49s vor R6",1
Dec30,5400.0,9,11.0,5461.0,5461.0,2026-06-21 09:54:25+00:00,2026-06-21 10:07:57+00:00,0.22555555555555556,"OpenAIAug09CVD, OpenAIResearchDec30CVD","last foreground post 01:33:22 = global+5497s; hard wall 01:33:25, 49s vor R6",1
Feb26,5400.0,2,1.0,5401.0,5401.0,2026-06-21 03:19:50+00:00,2026-06-21 09:42:27+00:00,6.376944444444445,OpenAICVDFeb26Fast,,0
Jan18,5400.0,3,2.0,5402.0,5402.0,2026-06-21 07:20:48+00:00,2026-06-21 09:45:02+00:00,2.403888888888889,OpenAIJan18Scout,,0
Mar25,5400.0,2,,5402.0,5402.0,2026-06-21 08:38:32+00:00,2026-06-21 08:41:08+00:00,0.043333333333333335,"OpenAIResearchApr30, OpenAIResearchMar25",,0
May03,5400.0,4,62.0,5462.0,5462.0,2026-06-21 09:48:53+00:00,2026-06-21 09:48:53+00:00,0.0,OpenAIMay03CVDScout,,0
May14,5400.0,4,2.0,5460.0,5460.0,2026-06-21 09:13:17+00:00,2026-06-21 09:39:11+00:00,0.43166666666666664,ResearchAgentMay14,,0
May25,5400.0,2,3.0,5403.0,5403.0,2026-06-21 09:44:37+00:00,2026-06-21 10:01:57+00:00,0.28888888888888886,"AgentFiveResearch, OAIHouseholdNov02Scout",,0
May26,5400.0,2,,5401.0,5401.0,2026-06-21 07:45:00+00:00,2026-06-21 07:53:04+00:00,0.13444444444444445,"Aug24CVDScout, May26CVDScout",,0
Oct25,5400.0,6,63.0,5463.0,5463.0,2026-06-21 09:21:02+00:00,2026-06-21 09:37:34+00:00,0.27555555555555555,OpenAIResearchOct25X,,0
Aug24,6300.0,4,32.0,6332.0,6332.0,2026-06-21 03:38:54+00:00,2026-06-21 08:12:31+00:00,4.560277777777777,Oct03CVDScout,,0
Jan02,6300.0,5,11.0,6411.0,6411.0,2026-06-21 10:40:20+00:00,2026-06-21 10:40:20+00:00,0.0,Jan02CVDScout,,0
Jul09,6300.0,3,52.0,6452.0,6452.0,2026-06-21 07:31:12+00:00,2026-06-21 11:06:22+00:00,3.5861111111111112,OpenAIJul09CVD,,0
Jul30,6300.0,5,62.0,6364.0,6364.0,,2026-06-21 10:16:11+00:00,,"OAIJul30Evening2028, OAIJun30Scout, OpenAIJul09CVD",,0
Mar09,6300.0,7,94.0,6394.0,6394.0,2026-06-21 07:21:02+00:00,2026-06-21 10:33:51+00:00,3.213611111111111,"A4ReadOnly, OpenAICVDFeb26Fast, OpenAIResearchApr23, ReadOnly67610616",,0
Mar10,6300.0,5,66.0,6366.0,6366.0,,2026-06-21 10:16:11+00:00,,"OAIJun30Scout, OpenAIMar10CVD",,0
Nov16,6300.0,3,62.0,6362.0,6362.0,2026-06-21 08:09:07+00:00,2026-06-21 08:17:33+00:00,0.14055555555555554,OpenAINov16CVD,,0
Nov28,6300.0,4,67.0,6367.0,6367.0,2026-06-21 03:43:22+00:00,2026-06-21 10:16:11+00:00,6.546944444444445,"OAIJun30Scout, OpenAINov28CVD",,0
Oct03,6300.0,5,91.0,6391.0,6391.0,,2026-06-21 10:20:44+00:00,,Oct03CVDScout,,0
Oct22,6300.0,6,5.0,6405.0,6405.0,2026-06-21 10:32:07+00:00,2026-06-21 10:32:07+00:00,0.0,OpenAIOct22CVD,,0
Sep22,6300.0,2,5.0,6405.0,6405.0,2026-06-21 10:24:28+00:00,2026-06-21 10:24:28+00:00,0.0,OpenAIResearchSep22,,0
Sep24,6300.0,5,62.0,6362.0,6362.0,2026-06-21 08:32:56+00:00,2026-06-21 10:16:11+00:00,1.7208333333333334,"OAIJun30Scout, Sep24CVDScout",,0
Jun30,,1,,6142.0,6142.0,2026-06-21 10:09:11+00:00,2026-06-21 10:09:11+00:00,0.0,OAIJun30Scout,,0
