label,tok_rate,ctx_k,family,first_rate_time,horizon_claim_s,span_s,max_round_obs,n_revs,horizon_x_rate_ktok
Jan02CVDScout,59.0,120.0,CVD,2026-06-21 10:40:20+00:00,,0.0,5,1,
May01PovertyStateScout,56.0,,FP,2026-06-21 12:56:39+00:00,14400.0,22106.0,4,15,806.4
OAIResearchDec13FP,77.0,,FP,2026-06-21 12:54:54+00:00,,20425.0,3,8,
OAIResearchFeb14FP,77.0,,FP,2026-06-22 01:51:43+00:00,,0.0,3,1,
OpenAIApr26FPScout,56.0,,FP,2026-06-21 13:34:45+00:00,,1140.0,3,3,
OpenAIAug19FPScout,77.0,,FP,2026-06-21 18:51:03+00:00,,1841.0,3,3,
OpenAIDec24FPScout,56.0,,FP,2026-06-21 17:48:04+00:00,,489.0,1,3,
OpenAIFPResearchSep05,25.0,,FP,2026-06-21 13:05:30+00:00,,11129.0,4,18,
OpenAIJan18Scout,71.0,120.0,CVD,2026-06-21 09:10:04+00:00,5520.0,39461.0,5,14,391.92
OpenAIJan26FPScout,77.0,,FP,2026-06-21 14:50:38+00:00,,14002.0,3,5,
OpenAIJul20FPScout,56.0,64.0,FP,2026-06-21 13:24:25+00:00,14400.0,4752.0,3,7,806.4
OpenAIJun30FPScout,77.0,,FP,2026-06-21 13:23:49+00:00,,1082.0,3,2,
OpenAIMar04FP,77.0,,FP,2026-06-21 19:04:21+00:00,,4699.0,3,3,
OpenAIMar12FPScout,25.0,,FP,2026-06-21 16:01:24+00:00,,4375.0,3,3,
OpenAIMar13FPScout,77.0,,FP,2026-06-21 22:31:13+00:00,,0.0,0,1,
OpenAIMay04FPScout,25.0,,FP,2026-06-21 14:14:46+00:00,,0.0,3,1,
OpenAIMay19CVD,59.0,,CVD,2026-06-21 10:52:10+00:00,,2871.0,5,3,
OpenAIOct11StateScout,77.0,,FP,2026-06-21 19:15:14+00:00,,20224.0,4,4,
OpenAIOct22CVD,59.0,120.0,CVD,2026-06-21 10:32:07+00:00,6300.0,10816.0,5,3,371.7
