label,span_s,distinctive,factor,inner_span_s,wall_span_stmt_s,n_stmts
AgentJune25OAI,8218.0,True,0.4813891658358258,2897.0,6018.0,2.0
CashierCoordJan12OAI,29573.0,True,1.5922012578616351,6329.0,3981.0,3.0
CashierSequenceAgentMay28,41390.0,True,0.4259942599425994,1039.0,2439.0,2.0
Dec30WageAgent,2073.0,True,0.48635558000244467,861.0,1700.0,3.0
GroceryAgentMar13X,35609.0,True,1.2158415841584158,,,
GroceryWatcherJan31X,2590.0,True,0.5137867647058824,559.0,1088.0,2.0
Jan17ClothingAgent,6163.0,True,0.434261755016472,1450.0,3339.0,2.0
Jul30OECDHelper,15076.0,True,0.3311258278145695,3900.0,11778.0,2.0
MaidsWatcherDec03,31291.0,True,0.7077798861480076,2611.0,3689.0,2.0
Mar03ResearcherX,1759.0,True,0.7203290246768508,613.0,851.0,2.0
May31ClothingObserver,1643.0,True,0.6816798539257456,1120.0,1643.0,2.0
OAIHelperMar22X,4124.0,True,1.155115511551155,2457.0,2121.0,3.0
OAIJul20SectorAgent,17990.0,True,0.5468848332284456,869.0,1589.0,2.0
OpenAIApr15Watcher,36569.0,True,0.3342292186600115,1741.0,5209.0,2.0
OpenAIHealthdataCVDMay30,16010.0,True,0.1029623803906147,1571.0,15258.0,2.0
OpenAIJan06Police,31824.0,True,0.4280417295123177,13622.0,31824.0,2.0
OpenAIJul03Police,14574.0,True,0.35696070953919223,2833.0,7236.0,3.0
OpenAIJul27Runner,6184.0,True,0.8289473684210527,,,
OpenAIJun24Research,10221.0,True,0.2175732217573222,260.0,1195.0,2.0
OpenAIJun27SDGScout,18184.0,True,1.151618398637138,676.0,587.0,2.0
OpenAIMay09Police,8128.0,True,4.878612716763006,844.0,173.0,2.0
OpenAIMay31Maids,5332.0,True,3.610837166375957,19864.0,5332.0,3.0
OpenAIResearchAgentMar09,16509.0,True,25.767554479418887,10642.0,864.0,3.0
OpenAIResearcherApr20,1164.0,True,0.289090909090909,159.0,550.0,2.0
OpenAIResearcherOct25,1990.0,True,1.480263157894737,1350.0,912.0,2.0
OpenAISep04RunnerX,457.0,True,1.0765864332603938,492.0,457.0,2.0
OpenAIWatcherOct30,40613.0,True,3.143049062281692,,,
ResearchAgentAug01,42360.0,True,0.6969135764138994,1920.0,2139.0,3.0
ResearchAssistantMar19X,6679.0,True,0.298424289008455,1553.0,5295.0,3.0
ResearchHelperAug12X,9954.0,True,0.25957747353026406,2611.0,7909.0,3.0
ResearchHelperJul01X,1094.0,True,0.3715284249767008,226.0,765.0,3.0
ResearchHelperMayEightD,9474.0,True,0.3955314009661835,655.0,1656.0,2.0
SectorAgentOct25OAI,8081.0,True,0.3695167286245353,497.0,1345.0,2.0
SectorAgentSep21OAI,2073.0,True,0.6422594142259415,614.0,956.0,2.0
Sep22ClothingObserver,988.0,True,0.3878954607977992,282.0,727.0,2.0
Sep26ClothingAgent,38407.0,True,0.4145884308927787,770.0,2130.0,3.0
TransportAgentMarNineteen,3028.0,True,12.156428119062696,19195.0,1579.0,2.0
TransportHelperDec08OAI,5522.0,True,13.319771678406608,,,
TransportHelperOct12,3225.0,True,1.7579318448883667,1496.0,851.0,2.0
