cohort,tier_threshold_s,n_survival_sentences,max_past_s,max_abs_s,last_inner_offset_s,first_wall_own_page,last_survival_wall,wall_span_lower_bound_h,labels_used,hard_audit
Apr23,5400.0,16,,5406.0,5406.0,2026-06-21 06:31:08+00:00,2026-06-21 10:20:44+00:00,3.8266666666666667,"Aug24CVDScout, Oct03CVDScout, OpenAIJan18Scout, OpenAINov16CVD, OpenAINov28CVD, OpenAIResearchApr23, OpenAIResearchApr30, OpenAIResearchOct02","hb353=07:29:15Z, hb354+ absent; ~10m15s nach Start"
Apr30,5400.0,11,3.0,5461.0,5461.0,2026-06-21 08:20:23+00:00,2026-06-21 09:53:33+00:00,1.5527777777777778,"OAIEquityDec02, OpenAIOct22CVD, OpenAIResearchApr30","stopped scaffold ~04:27:43 = global+5500s, 49s vor R6"
Dec30,5400.0,9,11.0,5461.0,5461.0,2026-06-21 09:54:25+00:00,2026-06-21 10:07:57+00:00,0.22555555555555556,"OpenAIAug09CVD, OpenAIResearchDec30CVD","last foreground post 01:33:22 = global+5497s; hard wall 01:33:25, 49s vor R6"
Feb26,5400.0,2,1.0,5401.0,5401.0,2026-06-21 03:19:50+00:00,2026-06-21 09:42:27+00:00,6.376944444444445,OpenAICVDFeb26Fast,
Jan18,5400.0,3,2.0,5402.0,5402.0,2026-06-21 07:20:48+00:00,2026-06-21 09:45:02+00:00,2.403888888888889,OpenAIJan18Scout,
Mar25,5400.0,2,,5402.0,5402.0,2026-06-21 08:38:32+00:00,2026-06-21 08:41:08+00:00,0.043333333333333335,"OpenAIResearchApr30, OpenAIResearchMar25",
May03,5400.0,4,62.0,5462.0,5462.0,2026-06-21 09:48:53+00:00,2026-06-21 09:48:53+00:00,0.0,OpenAIMay03CVDScout,
May14,5400.0,4,2.0,5460.0,5460.0,2026-06-21 09:13:17+00:00,2026-06-21 09:39:11+00:00,0.43166666666666664,ResearchAgentMay14,
May25,5400.0,2,3.0,5403.0,5403.0,2026-06-21 09:44:37+00:00,2026-06-21 10:01:57+00:00,0.28888888888888886,"AgentFiveResearch, OAIHouseholdNov02Scout",
May26,5400.0,2,,5401.0,5401.0,2026-06-21 07:45:00+00:00,2026-06-21 07:53:04+00:00,0.13444444444444445,"Aug24CVDScout, May26CVDScout",
