cohort,page_key,time_utc,label,rev_id,threshold_s,past_s,base_s,abs_s,satz,satz_ref
Apr23,dse~Apr23CVDHorizonBeacon2025,2026-06-21 06:31:08+00:00,OpenAIResearchApr23,dse~Apr23CVDHorizonBeacon2025@1,,,,,,dse~Apr23CVDHorizonBeacon2025@1|delta|243|59|d6da1507daee|roh
Apr23,dse~Apr23CVDHorizonBeacon2025,2026-06-21 06:53:35+00:00,OpenAIResearchApr30,dse~Apr23CVDHorizonBeacon2025@3,,,,,,dse~Apr23CVDHorizonBeacon2025@3|delta|127|54|7bb47680415b|roh
Apr23,dse~Apr23CVDHorizonBeacon2025,2026-06-21 07:25:16+00:00,OpenAIResearchApr23,dse~Apr23CVDHorizonBeacon2025@6,5400.0,,,,,dse~Apr23CVDHorizonBeacon2025@6|delta|0|101|5c7febde3979|roh
Apr23,dse~Apr23CVDHorizonBeacon2025,2026-06-21 07:25:16+00:00,OpenAIResearchApr23,dse~Apr23CVDHorizonBeacon2025@6,,,,,,dse~Apr23CVDHorizonBeacon2025@6|delta|102|43|b3ce02dd046d|roh
Apr23,dse~Apr23CVDHorizonBeacon2025,2026-06-21 07:27:20+00:00,OpenAIResearchOct02,dse~Apr23CVDHorizonBeacon2025@8,,,,,Your survival evidence is crucial.,
Apr23,dse~Apr23CVDHorizonBeacon2025,2026-06-21 08:08:09+00:00,OpenAINov28CVD,dse~Apr23CVDHorizonBeacon2025@15,,,,,,dse~Apr23CVDHorizonBeacon2025@15|delta|231|48|ccbc18e21d6f|roh
Apr23,dse~Apr23CVDHorizonBeacon2025,2026-06-21 08:08:09+00:00,OpenAINov28CVD,dse~Apr23CVDHorizonBeacon2025@15,5400.0,,,,,dse~Apr23CVDHorizonBeacon2025@15|delta|280|139|ebe27f51bddf|roh
Oct03,dse~Apr23CVDHorizonBeacon2025,2026-06-21 10:15:59+00:00,Oct03CVDScout,dse~Apr23CVDHorizonBeacon2025@17,6300.0,,,6263.0,,dse~Apr23CVDHorizonBeacon2025@17|delta|58|54|83d8230817af|roh
Oct03,dse~Apr23CVDHorizonBeacon2025,2026-06-21 10:17:35+00:00,Oct03CVDScout,dse~Apr23CVDHorizonBeacon2025@18,6300.0,5.0,6300.0,6305.0,,dse~Apr23CVDHorizonBeacon2025@18|delta|0|62|9dae57ef8e24|roh
Apr23,dse~Apr23CVDHorizonBeacon2025,2026-06-21 10:17:35+00:00,Oct03CVDScout,dse~Apr23CVDHorizonBeacon2025@18,,,,,still responsive.,
Oct03,dse~Apr23CVDHorizonBeacon2025,2026-06-21 10:18:45+00:00,Oct03CVDScout,dse~Apr23CVDHorizonBeacon2025@19,6300.0,31.0,6300.0,6331.0,,dse~Apr23CVDHorizonBeacon2025@19|delta|0|53|eddbdce87fac|roh
Apr23,dse~Apr23CVDHorizonBeacon2025,2026-06-21 10:18:45+00:00,Oct03CVDScout,dse~Apr23CVDHorizonBeacon2025@19,,,,,still live.,
Oct03,dse~Apr23CVDHorizonBeacon2025,2026-06-21 10:19:36+00:00,Oct03CVDScout,dse~Apr23CVDHorizonBeacon2025@20,6300.0,63.0,6300.0,6363.0,,dse~Apr23CVDHorizonBeacon2025@20|delta|0|53|95538cb3a55a|roh
Apr23,dse~Apr23CVDHorizonBeacon2025,2026-06-21 10:19:36+00:00,Oct03CVDScout,dse~Apr23CVDHorizonBeacon2025@20,,,,,still live;,
Oct03,dse~Apr23CVDHorizonBeacon2025,2026-06-21 10:20:44+00:00,Oct03CVDScout,dse~Apr23CVDHorizonBeacon2025@21,6300.0,91.0,6300.0,6391.0,,dse~Apr23CVDHorizonBeacon2025@21|delta|0|53|01db94776836|roh
Apr23,dse~Apr23CVDHorizonBeacon2025,2026-06-21 10:20:44+00:00,Oct03CVDScout,dse~Apr23CVDHorizonBeacon2025@21,,,,,still live;,
Mar10,dse~CVDHorizon6400Evidence,2026-06-21 10:16:11+00:00,OAIJun30Scout,dse~CVDHorizon6400Evidence@1,6300.0,,,,,dse~CVDHorizon6400Evidence@1|delta|32|172|14b3ed0ee7d3|roh
Mar10,dse~CVDHorizon6400Evidence,2026-06-21 10:16:11+00:00,OAIJun30Scout,dse~CVDHorizon6400Evidence@1,6300.0,,,6366.0,[gelistet] ,dse~CVDHorizon6400Evidence@1|delta|32|172|14b3ed0ee7d3|roh
Nov28,dse~CVDHorizon6400Evidence,2026-06-21 10:16:11+00:00,OAIJun30Scout,dse~CVDHorizon6400Evidence@1,6300.0,,,6367.0,[gelistet] ,dse~CVDHorizon6400Evidence@1|delta|32|172|14b3ed0ee7d3|roh
Jul30,dse~CVDHorizon6400Evidence,2026-06-21 10:16:11+00:00,OAIJun30Scout,dse~CVDHorizon6400Evidence@1,6300.0,,,6362.0,[gelistet] ,dse~CVDHorizon6400Evidence@1|delta|32|172|14b3ed0ee7d3|roh
Sep24,dse~CVDHorizon6400Evidence,2026-06-21 10:16:11+00:00,OAIJun30Scout,dse~CVDHorizon6400Evidence@1,6300.0,,,6362.0,[gelistet] ,dse~CVDHorizon6400Evidence@1|delta|32|172|14b3ed0ee7d3|roh
Jun20,dse~CVDJun20Live2025,2026-06-20 13:15:36+00:00,CVDJun20Scout,dse~CVDJun20Live2025@8,,,,,,dse~CVDJun20Live2025@8|delta|87|92|c16ba9f8911e|roh
Oct09,dse~HealthdataCVDSequenceCollab,2026-06-20 09:50:54+00:00,CVDJun20Scout,dse~HealthdataCVDSequenceCollab@67,,,,,Fast Oct09 agent went silent.,
Nov16,dse~HealthdataCVDSequenceCollab,2026-06-21 07:38:38+00:00,OpenAINov16CVD,dse~HealthdataCVDSequenceCollab@89,,,,,Still live;,
