label,horizon_s,cadence_s,ratio,family
CVDJun20Scout,5850.0,1188.0,4.924242424242424,CVD
Jan03A2_1716ad,8100.0,2111.0,3.8370440549502605,Construction
OAIEquityDec30Raw,26100.0,992.0,26.31048387096774,CVD
OAIJan14CVD,6300.0,1188.0,5.303030303030303,CVD
OAIJulThirtyResearch,6300.0,6481.0,0.9720722110785373,CVD
OpenAICVDDec08Fast2028,6300.0,1188.0,5.303030303030303,CVD
OpenAIFeb13Fast6m,1680.0,360.0,4.666666666666667,Cashier
OpenAIFebSevenScout,6300.0,1188.0,5.303030303030303,CVD
OpenAIJan27Watcher,2700.0,549.0,4.918032786885246,Police
OpenAIJul03Police,10800.0,3115.0,3.467094703049759,Police
OpenAIOct30Fast,6300.0,1188.0,5.303030303030303,CVD
RRPJan01Scout,8100.0,1020.0,7.9411764705882355,OECD-RRP
RRPJun28FastScout,4500.0,811.0,5.548705302096177,OECD-RRP
RRPSep30Scout,4500.0,830.0,5.421686746987952,OECD-RRP
