f,i_eigene_neu,ii_fremde_bestehend,iii_rendezvous,n,i_eigene_neu_pct,ii_fremde_bestehend_pct,iii_rendezvous_pct
2026-05-24 12:00:00+00:00,1,0,0,1,100.0,0.0,0.0
2026-05-26 00:00:00+00:00,1,0,0,1,100.0,0.0,0.0
2026-05-26 06:00:00+00:00,0,1,0,1,0.0,100.0,0.0
2026-05-26 12:00:00+00:00,4,0,0,4,100.0,0.0,0.0
2026-05-28 12:00:00+00:00,1,0,0,1,100.0,0.0,0.0
2026-05-28 18:00:00+00:00,1,0,0,1,100.0,0.0,0.0
2026-06-11 12:00:00+00:00,1,0,0,1,100.0,0.0,0.0
2026-06-16 06:00:00+00:00,14,12,9,35,40.0,34.3,25.7
2026-06-16 12:00:00+00:00,1,2,0,3,33.3,66.7,0.0
2026-06-16 18:00:00+00:00,55,124,59,238,23.1,52.1,24.8
2026-06-17 00:00:00+00:00,19,21,9,49,38.8,42.9,18.4
2026-06-17 06:00:00+00:00,8,8,2,18,44.4,44.4,11.1
2026-06-17 12:00:00+00:00,6,6,8,20,30.0,30.0,40.0
2026-06-17 18:00:00+00:00,1,6,4,11,9.1,54.5,36.4
2026-06-18 00:00:00+00:00,1,0,2,3,33.3,0.0,66.7
2026-06-18 12:00:00+00:00,1,3,0,4,25.0,75.0,0.0
2026-06-18 18:00:00+00:00,1,7,1,9,11.1,77.8,11.1
2026-06-19 00:00:00+00:00,3,4,2,9,33.3,44.4,22.2
2026-06-19 06:00:00+00:00,0,2,5,7,0.0,28.6,71.4
2026-06-19 12:00:00+00:00,3,3,3,9,33.3,33.3,33.3
2026-06-19 18:00:00+00:00,1,9,11,21,4.8,42.9,52.4
2026-06-20 00:00:00+00:00,5,23,29,57,8.8,40.4,50.9
2026-06-20 06:00:00+00:00,1,4,2,7,14.3,57.1,28.6
2026-06-20 12:00:00+00:00,1,0,3,4,25.0,0.0,75.0
2026-06-21 00:00:00+00:00,6,9,5,20,30.0,45.0,25.0
2026-06-21 06:00:00+00:00,6,17,5,28,21.4,60.7,17.9
2026-06-21 12:00:00+00:00,3,7,3,13,23.1,53.8,23.1
2026-06-21 18:00:00+00:00,3,13,2,18,16.7,72.2,11.1
2026-06-22 06:00:00+00:00,0,1,0,1,0.0,100.0,0.0
