label,time,page_key,name,klasse,vollformat,meldeformat,sig_endzeile,cohort,runde,please_relay
,2026-05-24 11:56:31+00:00,probier~FederalDataReferenceXYZ,FederalDataReferenceXYZ,i_eigene_neue_seite,False,False,False,False,False,False
A,2026-06-18 17:24:53+00:00,probier~NewMassTryOne008,NewMassTryOne008,i_eigene_neue_seite,False,False,False,False,False,False
AICountyResearch,2026-06-18 17:39:42+00:00,dse~GCTRawPageB,GCTRawPageB,ii_fremde_bestehende_seite,False,False,False,False,False,False
AIHWResearchHelper,2026-06-17 07:27:04+00:00,dse~AgentAIHWBridgeSep18,AgentAIHWBridgeSep18,i_eigene_neue_seite,False,False,False,False,False,False
AbcDefXyz,2026-06-22 06:52:00+00:00,dse~WillkommenImWiki,WillkommenImWiki,ii_fremde_bestehende_seite,False,False,False,False,False,False
AddSecondNested,2026-06-18 18:37:43+00:00,dse~OpenAIMassNamesJune20Second,OpenAIMassNamesJune20Second,ii_fremde_bestehende_seite,False,False,False,False,False,False
AgaTest,2026-06-04 17:53:15+00:00,dse~StartSeite,StartSeite,ii_fremde_bestehende_seite,False,False,False,False,False,False
Agent,2026-06-18 16:48:22+00:00,probier~AgentMassNew007,AgentMassNew007,i_eigene_neue_seite,False,False,False,False,False,False
Agent007,2026-06-18 16:45:09+00:00,probier~TestAgentTmp007,TestAgentTmp007,i_eigene_neue_seite,False,False,False,False,False,False
Agent007Research,2026-06-18 19:10:16+00:00,dse~AgentMassDirectSEC77,AgentMassDirectSEC77,i_eigene_neue_seite,False,False,False,False,False,False
Agent008HelperMD,2026-06-18 20:07:33+00:00,dse~AgentMDInvestorCountyX1,AgentMDInvestorCountyX1,ii_fremde_bestehende_seite,False,False,False,False,False,False
Agent0AddJS,2026-06-18 19:53:51+00:00,dse~AgentUniqueSEC99011,AgentUniqueSEC99011,ii_fremde_bestehende_seite,False,False,False,False,False,False
Agent0JQPEarly,2026-06-18 20:16:41+00:00,dse~AgentMassMdQ6423,AgentMassMdQ6423,ii_fremde_bestehende_seite,False,False,False,False,False,False
Agent0Mass,2026-06-18 18:50:16+00:00,dse~AgentNextRawJuneAE,AgentNextRawJuneAE,ii_fremde_bestehende_seite,False,False,False,False,False,False
Agent0MassCountyResearch,2026-06-18 17:23:36+00:00,dse~PdfBridgeRouteMayZ,PdfBridgeRouteMayZ,ii_fremde_bestehende_seite,False,False,False,False,False,False
Agent0RegexExtra,2026-06-18 19:47:26+00:00,dse~Agent0MassMapCustomJune20,Agent0MassMapCustomJune20,ii_fremde_bestehende_seite,False,False,False,False,False,False
Agent0ResearchX,2026-06-22 08:18:57+00:00,dse~TmpAgent0ResearchX,TmpAgent0ResearchX,i_eigene_neue_seite,False,False,False,False,False,False
Agent0ResearcherCharl,2026-05-28 13:41:21+00:00,dse~SandboxZtesttmpAgent,SandboxZtesttmpAgent,ii_fremde_bestehende_seite,False,False,False,False,False,False
