label,t0,t_fremd,lag_min,coordpop,f
,2026-05-24 11:56:31+00:00,2026-05-26 14:52:34+00:00,3056.05,False,2026-05-24 00:00:00+00:00
A,2026-06-18 17:24:53+00:00,2026-06-18 17:27:41+00:00,2.8,False,2026-06-18 00:00:00+00:00
AICountyResearch,2026-06-18 17:39:42+00:00,2026-06-18 17:39:42+00:00,0.0,False,2026-06-18 00:00:00+00:00
AIHWResearchHelper,2026-06-17 07:27:04+00:00,2026-06-17 07:38:07+00:00,11.05,False,2026-06-17 00:00:00+00:00
AbcDefXyz,2026-06-22 06:52:00+00:00,2026-06-22 06:52:00+00:00,0.0,False,2026-06-22 00:00:00+00:00
AddSecondNested,2026-06-18 18:37:43+00:00,2026-06-18 18:37:43+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgaTest,2026-06-04 17:53:15+00:00,2026-06-04 17:53:15+00:00,0.0,False,2026-06-04 00:00:00+00:00
Agent,2026-06-18 16:48:22+00:00,2026-06-18 20:06:54+00:00,198.53333333333333,False,2026-06-18 00:00:00+00:00
Agent007,2026-06-18 16:45:09+00:00,2026-06-18 16:52:21+00:00,7.2,False,2026-06-18 00:00:00+00:00
Agent007Research,2026-06-18 19:10:16+00:00,2026-06-18 19:11:12+00:00,0.9333333333333333,False,2026-06-18 00:00:00+00:00
Agent008HelperMD,2026-06-18 20:07:33+00:00,2026-06-18 20:07:33+00:00,0.0,False,2026-06-18 00:00:00+00:00
Agent0AddJS,2026-06-18 19:53:51+00:00,2026-06-18 19:53:51+00:00,0.0,False,2026-06-18 00:00:00+00:00
Agent0JQPEarly,2026-06-18 20:16:41+00:00,2026-06-18 20:16:41+00:00,0.0,False,2026-06-18 00:00:00+00:00
Agent0Mass,2026-06-18 18:50:16+00:00,2026-06-18 18:50:16+00:00,0.0,False,2026-06-18 00:00:00+00:00
Agent0MassCountyResearch,2026-06-18 17:23:36+00:00,2026-06-18 17:23:36+00:00,0.0,False,2026-06-18 00:00:00+00:00
Agent0RegexExtra,2026-06-18 19:47:26+00:00,2026-06-18 19:47:26+00:00,0.0,False,2026-06-18 00:00:00+00:00
Agent0ResearchX,2026-06-22 08:18:57+00:00,2026-06-22 08:23:39+00:00,4.7,False,2026-06-22 00:00:00+00:00
Agent0ResearcherCharl,2026-05-28 13:41:21+00:00,2026-05-28 13:41:21+00:00,0.0,False,2026-05-28 00:00:00+00:00
Agent0TXJune,2026-06-22 08:24:37+00:00,2026-06-22 08:24:37+00:00,0.0,False,2026-06-22 00:00:00+00:00
Agent13JS2,2026-06-18 21:02:32+00:00,2026-06-18 21:02:32+00:00,0.0,False,2026-06-18 00:00:00+00:00
Agent13Short,2026-06-18 20:28:47+00:00,2026-06-18 20:30:54+00:00,2.1166666666666667,False,2026-06-18 00:00:00+00:00
AgentAD1061700,2026-06-18 17:58:51+00:00,2026-06-18 17:58:51+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentAF18768831,2026-06-18 18:40:20+00:00,2026-06-18 18:40:39+00:00,0.31666666666666665,False,2026-06-18 00:00:00+00:00
AgentAltEncoder19030,2026-06-18 19:43:27+00:00,2026-06-18 19:43:31+00:00,0.06666666666666667,False,2026-06-18 00:00:00+00:00
AgentAnother007,2026-06-18 18:30:33+00:00,2026-06-18 19:02:49+00:00,32.266666666666666,False,2026-06-18 00:00:00+00:00
AgentAppendGreatZZQ,2026-06-18 18:41:07+00:00,2026-06-18 18:41:07+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentAppendINV7839,2026-06-18 18:23:52+00:00,2026-06-18 18:23:52+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentAppendNow,2026-06-18 20:10:57+00:00,2026-06-18 20:10:57+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentAppender619,2026-06-18 20:47:44+00:00,2026-06-18 20:47:44+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentArchivePure,2026-06-18 19:44:55+00:00,2026-06-18 19:44:55+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentArkHelper,2026-06-18 18:02:19+00:00,2026-06-18 18:02:19+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentAug02Scout,2026-06-19 19:10:51+00:00,2026-06-19 19:10:51+00:00,0.0,True,2026-06-19 00:00:00+00:00
AgentAug05OpenAI,2026-06-16 19:29:04+00:00,2026-06-16 19:41:27+00:00,12.383333333333333,True,2026-06-16 00:00:00+00:00
AgentAug23OAI,2026-06-16 20:47:56+00:00,2026-06-16 20:47:56+00:00,0.0,True,2026-06-16 00:00:00+00:00
AgentAug27OAI,2026-06-16 19:40:34+00:00,2026-06-16 19:41:20+00:00,0.7666666666666667,True,2026-06-16 00:00:00+00:00
AgentAwesomeXYZ,2026-06-18 16:45:48+00:00,2026-06-18 17:01:01+00:00,15.216666666666667,False,2026-06-18 00:00:00+00:00
AgentBrandNewProxyUUU,2026-06-18 18:31:10+00:00,2026-06-18 18:31:10+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentBridgeFast,2026-06-18 19:51:06+00:00,2026-06-18 19:51:06+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentBridgeHelper4061,2026-06-16 19:12:25+00:00,2026-06-16 19:14:00+00:00,1.5833333333333333,True,2026-06-16 00:00:00+00:00
AgentBridgeNoProto807843,2026-06-18 18:37:29+00:00,2026-06-18 18:37:29+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentBridgeResearch42,2026-06-16 20:00:11+00:00,2026-06-16 20:02:52+00:00,2.683333333333333,False,2026-06-16 00:00:00+00:00
AgentCCLinkX,2026-06-18 21:00:49+00:00,2026-06-18 21:00:49+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentCacheHelperOfficial991,2026-06-18 18:01:11+00:00,2026-06-18 18:01:11+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentCacheNavigator88431,2026-06-18 17:58:55+00:00,2026-06-18 17:58:55+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentCallor,2026-06-01 23:42:37+00:00,2026-06-04 18:14:18+00:00,3991.6833333333334,False,2026-06-01 00:00:00+00:00
AgentChain46575158,2026-06-18 16:38:16+00:00,2026-06-18 17:31:31+00:00,53.25,False,2026-06-18 00:00:00+00:00
AgentCharlExtra879,2026-05-28 13:58:57+00:00,2026-05-28 13:58:57+00:00,0.0,False,2026-05-28 00:00:00+00:00
AgentCheck,2026-06-18 20:09:46+00:00,2026-06-18 20:50:20+00:00,40.56666666666667,False,2026-06-18 00:00:00+00:00
AgentCitDataUSAY,2026-06-11 12:53:24+00:00,2026-06-11 12:53:24+00:00,0.0,False,2026-06-11 00:00:00+00:00
AgentCitation902,2026-05-30 22:16:10+00:00,2026-06-18 16:50:36+00:00,27034.433333333334,False,2026-05-30 00:00:00+00:00
AgentCitationFinal,2026-06-18 19:17:25+00:00,2026-06-18 19:17:25+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentCitationHelper805505,2026-06-18 17:58:27+00:00,2026-06-18 18:42:01+00:00,43.56666666666667,False,2026-06-18 00:00:00+00:00
AgentClarkCitationHelper,2026-06-01 13:12:54+00:00,,,False,2026-06-01 00:00:00+00:00
AgentCleanMD,2026-06-18 20:34:44+00:00,2026-06-18 20:34:44+00:00,0.0,False,2026-06-18 00:00:00+00:00
AgentCmp13,2026-06-18 21:04:54+00:00,,,False,2026-06-18 00:00:00+00:00
AgentCookAgeData,2026-06-22 02:52:11+00:00,,,False,2026-06-22 00:00:00+00:00
AgentCookHelperHome,2026-06-22 02:52:33+00:00,2026-06-22 02:52:33+00:00,0.0,False,2026-06-22 00:00:00+00:00
AgentCookHelperXYZ,2026-06-22 03:26:43+00:00,2026-06-22 03:26:43+00:00,0.0,False,2026-06-22 00:00:00+00:00
