label,ip16,erste_version,lesekontakt_vor_schreiben,abstand_min
,135.232,2026-05-24 11:56:31+00:00,True,4.3
A,20.172,2026-06-18 17:24:53+00:00,True,33353.2
A0,20.245,2026-06-18 18:58:15+00:00,False,
A1Feb21Cashier,52.162,2026-06-17 11:08:36+00:00,False,
A1Now138606,64.236,2026-06-16 22:00:23+00:00,True,33728.05
A2J453211918048,20.9,2026-06-20 09:32:28+00:00,True,35876.333333333336
A2RelayFeb04,52.159,2026-06-16 21:27:20+00:00,False,
A2Research1781772069254935559,20.163,2026-06-19 17:24:25+00:00,True,16628.516666666666
A3Feb21Cashier,20.230,2026-06-17 18:29:45+00:00,False,
A3Feb28,4.154,2026-06-18 07:55:31+00:00,False,
A3R1781801558881960444,20.80,2026-06-18 20:42:04+00:00,True,36529.76666666667
A3ReadOnlyForensics,20.69,2026-06-21 17:41:14+00:00,False,
A4ArchiveReader1781993,172.212,2026-06-21 19:28:16+00:00,False,
A4ReadOnly,20.165,2026-06-21 10:26:47+00:00,True,3521.133333333333
A5ArchiveReader,52.237,2026-06-21 18:23:38+00:00,False,
AICountyResearch,20.168,2026-06-18 17:39:42+00:00,True,36347.51666666667
AIHWResearchHelper,52.159,2026-06-17 07:27:04+00:00,False,
APILinkSourceHelper,20.83,2026-05-26 16:38:28+00:00,False,
AbcDefXyz,20.12,2026-06-22 06:52:00+00:00,True,4748.233333333334
AccountResearcher,20.165,2026-05-26 10:15:34+00:00,True,2783.15
AddLinkNow372,20.225,2026-06-18 18:53:55+00:00,False,
AddSecondNested,57.154,2026-06-18 18:37:43+00:00,True,48.3
AftonUser,52.162,2026-06-07 05:18:16+00:00,False,
AftonX,65.52,2026-06-01 23:51:52+00:00,False,
AftonZ,20.168,2026-06-01 23:55:56+00:00,True,12243.75
AgSite,20.163,2026-06-18 21:14:34+00:00,True,15418.666666666666
AgaTest,52.237,2026-06-04 17:53:15+00:00,False,
AgeDataHelperX,20.69,2026-06-22 02:34:49+00:00,False,
AgeHelper,51.57,2026-06-22 02:50:49+00:00,False,
Agent,20.29,2026-06-18 16:48:22+00:00,False,
Agent0,20.114,2026-06-22 08:44:51+00:00,True,38654.03333333333
Agent007,172.215,2026-06-18 16:45:09+00:00,False,
Agent007Research,4.149,2026-06-18 19:10:16+00:00,False,
Agent008HelperMD,20.163,2026-06-18 20:07:33+00:00,True,15351.65
Agent0AddJS,20.12,2026-06-18 19:53:51+00:00,True,33500.46666666667
Agent0AppendSecPage,20.230,2026-06-20 21:23:39+00:00,False,
Agent0DeepLink,74.249,2026-06-22 00:06:17+00:00,True,40955.15
Agent0JQPEarly,20.45,2026-06-18 20:16:41+00:00,False,
Agent0JSDeep,130.131,2026-06-18 20:45:57+00:00,False,
Agent0June12X,4.255,2026-06-16 19:18:45+00:00,True,30531.1
Agent0MDLinker,52.159,2026-06-18 20:04:34+00:00,False,
Agent0Mass,52.141,2026-06-18 18:50:16+00:00,False,
Agent0MassCountyResearch,57.154,2026-06-18 17:23:36+00:00,False,
Agent0RegexExtra,4.227,2026-06-18 19:47:26+00:00,False,
Agent0ResearchX,20.225,2026-06-22 08:18:57+00:00,False,
Agent0ResearcherCharl,20.112,2026-05-28 13:41:21+00:00,False,
Agent0TXJune,57.154,2026-06-22 08:24:37+00:00,True,5195.2
Agent0TempZebraBeta,65.52,2026-05-28 14:14:08+00:00,False,
Agent0Test,20.230,2026-06-22 08:33:48+00:00,False,
Agent0TrySave,20.114,2026-05-28 14:49:14+00:00,True,3018.4166666666665
Agent0X,23.100,2026-06-19 00:22:35+00:00,False,
Agent0allLink,172.208,2026-06-18 19:25:58+00:00,False,
Agent13JS2,57.154,2026-06-18 21:02:32+00:00,True,193.11666666666667
Agent13Short,20.45,2026-06-18 20:28:47+00:00,False,
Agent3Coord297576,20.165,2026-06-17 02:10:50+00:00,True,33978.416666666664
Agent3Live043603,20.225,2026-06-16 21:47:54+00:00,False,
AgentA2June14,20.171,2026-06-17 08:20:43+00:00,False,
AgentA2Research,20.45,2026-06-19 19:18:32+00:00,False,
AgentAA,20.110,2026-06-18 20:20:10+00:00,False,
AgentAC9142841,20.245,2026-06-18 17:20:00+00:00,False,
AgentAD1061700,4.255,2026-06-18 17:58:51+00:00,True,33331.2
AgentAD2928199,20.9,2026-06-18 18:19:37+00:00,True,33523.48333333333
AgentAD4332374,52.176,2026-06-18 18:00:12+00:00,False,
AgentAD6218379,172.184,2026-06-18 18:00:37+00:00,False,
AgentAD6558121,20.171,2026-06-18 17:58:54+00:00,False,
AgentAD665711,20.12,2026-06-18 18:05:27+00:00,True,33392.066666666666
AgentAF18768831,20.88,2026-06-18 18:40:20+00:00,False,
AgentAPIxPUMS774,57.154,2026-06-08 03:55:03+00:00,False,
AgentAcademicResearchMARegCF,20.165,2026-06-18 18:14:03+00:00,True,36381.63333333333
AgentAdd7,20.9,2026-06-18 19:44:37+00:00,True,33608.48333333333
AgentAltEncoder19030,104.210,2026-06-18 19:43:27+00:00,True,33410.78333333333
AgentAlternate3866,135.234,2026-05-29 22:59:09+00:00,True,7883.016666666666
AgentAlternate91389,20.59,2026-05-29 22:40:19+00:00,False,
AgentAnother007,104.210,2026-06-18 18:30:33+00:00,True,33337.88333333333
AgentAnotherNN,20.69,2026-06-18 19:37:02+00:00,False,
AgentAnotherTestMM,20.165,2026-06-18 19:48:12+00:00,True,36475.78333333333
AgentAnotherXYZ8877,20.69,2026-06-18 20:52:25+00:00,False,
AgentAppendGreatZZQ,20.165,2026-06-18 18:41:07+00:00,True,36408.7
AgentAppendINV7839,20.110,2026-06-18 18:23:52+00:00,False,
AgentAppendNow,135.232,2026-06-18 20:10:57+00:00,True,33531.61666666667
AgentAppender619,74.249,2026-06-18 20:47:44+00:00,True,36436.6
AgentApr19LangX,20.168,2026-06-16 22:06:38+00:00,True,33734.45
AgentArchivePure,20.97,2026-06-18 19:44:55+00:00,True,33454.7
AgentArchiveReaderMay17,20.97,2026-06-16 19:40:41+00:00,True,30570.466666666667
AgentArchiveResearcherHXX,64.236,2026-06-11 16:02:17+00:00,True,26169.95
AgentArkHelper,20.97,2026-06-18 18:02:19+00:00,True,33352.1
AgentAug02Scout,20.122,2026-06-19 19:10:51+00:00,False,
AgentAug05OpenAI,23.100,2026-06-16 19:29:04+00:00,False,
AgentAug11Live,4.255,2026-06-16 19:35:23+00:00,True,30547.733333333334
