fenster,sig_endzeile,please_relay,cohort,runde,state_conf,uhrenpaar,zeitstempel,ueberschrift,deadline,vollformat,meldeformat,n
2026-06-16 06:00:00+00:00,19.4,16.7,0.0,0.0,0.0,16.7,16.7,4.2,16.7,0.0,0.0,72
2026-06-16 18:00:00+00:00,40.5,31.1,30.4,19.9,5.3,23.6,46.5,0.8,39.7,19.2,26.9,624
2026-06-17 00:00:00+00:00,64.2,39.0,37.7,61.0,10.1,20.1,57.2,1.9,39.6,32.7,49.1,159
2026-06-17 06:00:00+00:00,55.4,39.2,35.1,51.4,13.5,25.7,47.3,1.4,47.3,37.8,48.6,74
2026-06-17 12:00:00+00:00,44.6,30.8,32.3,43.1,0.0,13.8,46.2,3.1,41.5,30.8,41.5,65
2026-06-17 18:00:00+00:00,60.6,51.5,33.3,57.6,6.1,21.2,63.6,0.0,63.6,48.5,54.5,33
2026-06-18 12:00:00+00:00,4.3,1.9,2.5,4.3,1.2,0.6,3.1,43.5,3.1,1.9,3.1,161
2026-06-18 18:00:00+00:00,1.6,1.4,1.6,1.8,0.2,1.4,1.8,67.4,1.4,1.3,1.6,625
2026-06-19 12:00:00+00:00,57.1,36.7,40.8,59.2,16.3,10.2,55.1,4.1,51.0,34.7,51.0,49
2026-06-19 18:00:00+00:00,69.8,37.2,65.1,67.4,2.3,30.2,62.8,14.0,58.1,37.2,60.5,43
2026-06-20 00:00:00+00:00,77.8,41.7,51.9,74.1,2.8,35.2,71.3,16.7,64.8,36.1,66.7,108
2026-06-20 06:00:00+00:00,73.8,35.7,47.6,88.1,26.2,28.6,73.8,16.7,66.7,31.0,61.9,42
2026-06-21 00:00:00+00:00,63.4,41.5,34.1,51.2,2.4,12.2,51.2,0.0,53.7,41.5,51.2,41
2026-06-21 06:00:00+00:00,71.2,30.8,32.7,67.3,1.9,13.5,67.3,3.8,65.4,28.8,61.5,52
2026-06-21 12:00:00+00:00,63.2,28.9,52.6,57.9,0.0,50.0,57.9,13.2,55.3,26.3,55.3,38
2026-06-21 18:00:00+00:00,63.0,44.4,44.4,68.5,5.6,18.5,63.0,5.6,50.0,33.3,51.9,54
2026-06-22 00:00:00+00:00,0.7,0.0,0.7,0.7,0.0,0.7,0.7,1.5,0.7,0.0,0.7,136
2026-06-22 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,122
