f,sig_endzeile,please_relay,cohort,runde,uhrenpaar,zeitstempel,vollformat,meldeformat,n
2026-06-16 06:00:00+00:00,33.3,30.8,0.0,0.0,30.8,28.2,0.0,0.0,39
2026-06-16 12:00:00+00:00,50.0,33.3,33.3,16.7,33.3,50.0,16.7,33.3,6
2026-06-16 18:00:00+00:00,59.2,47.4,46.5,29.8,35.0,68.7,29.3,41.1,409
2026-06-17 00:00:00+00:00,75.6,48.0,47.2,76.4,25.2,70.9,40.9,61.4,127
2026-06-17 06:00:00+00:00,85.4,60.4,54.2,77.1,39.6,72.9,58.3,75.0,48
2026-06-17 12:00:00+00:00,70.0,50.0,52.5,70.0,22.5,75.0,50.0,67.5,40
2026-06-17 18:00:00+00:00,87.0,73.9,47.8,82.6,30.4,91.3,69.6,78.3,23
2026-06-18 00:00:00+00:00,87.5,37.5,62.5,75.0,12.5,75.0,37.5,75.0,8
2026-06-18 06:00:00+00:00,87.5,50.0,12.5,87.5,62.5,87.5,50.0,75.0,8
2026-06-18 12:00:00+00:00,70.0,30.0,40.0,70.0,10.0,50.0,30.0,50.0,10
2026-06-18 18:00:00+00:00,71.4,64.3,71.4,78.6,64.3,78.6,57.1,71.4,14
2026-06-19 00:00:00+00:00,75.0,58.3,75.0,91.7,66.7,91.7,58.3,75.0,12
2026-06-19 06:00:00+00:00,54.5,54.5,100.0,81.8,63.6,81.8,45.5,54.5,11
2026-06-19 12:00:00+00:00,87.5,56.2,62.5,90.6,15.6,84.4,53.1,78.1,32
2026-06-19 18:00:00+00:00,90.9,48.5,84.8,87.9,39.4,81.8,48.5,78.8,33
2026-06-20 00:00:00+00:00,83.5,45.4,57.7,82.5,39.2,79.4,40.2,74.2,97
2026-06-20 06:00:00+00:00,77.5,37.5,50.0,92.5,30.0,77.5,32.5,65.0,40
2026-06-20 12:00:00+00:00,100.0,36.4,63.6,81.8,18.2,81.8,36.4,81.8,11
2026-06-20 18:00:00+00:00,88.9,88.9,66.7,100.0,22.2,100.0,88.9,88.9,9
2026-06-21 00:00:00+00:00,78.8,51.5,42.4,63.6,15.2,63.6,51.5,63.6,33
2026-06-21 06:00:00+00:00,81.8,36.4,38.6,79.5,15.9,79.5,34.1,72.7,44
2026-06-21 12:00:00+00:00,82.1,39.3,71.4,78.6,67.9,78.6,35.7,75.0,28
2026-06-21 18:00:00+00:00,73.9,50.0,52.2,80.4,21.7,73.9,39.1,60.9,46
2026-06-22 00:00:00+00:00,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,1
2026-06-22 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
