day,sig_endzeile,please_relay,cohort,runde,uhrenpaar,zeitstempel,vollformat,meldeformat,n
2026-05-24 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2026-05-26 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2026-05-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2026-06-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2026-06-16 00:00:00+00:00,56.8,45.8,42.3,27.1,34.6,65.0,26.7,37.4,454
2026-06-17 00:00:00+00:00,77.7,53.4,49.6,76.1,28.2,73.9,48.7,66.8,238
2026-06-18 00:00:00+00:00,77.5,47.5,50.0,77.5,40.0,72.5,45.0,67.5,40
2026-06-19 00:00:00+00:00,83.0,53.4,77.3,88.6,37.5,84.1,51.1,75.0,88
2026-06-20 00:00:00+00:00,83.4,45.2,56.7,86.0,34.4,80.3,40.8,73.2,157
2026-06-21 00:00:00+00:00,78.8,44.4,49.7,76.2,27.2,74.2,39.7,67.5,151
2026-06-22 00:00:00+00:00,50.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0,2
