task_family,cohort,r1_s,cool_s,fu_s,r1_durch_folgefrist,kadenz_durch_r1
OECD Education Equity,Nov27 / May30 (12m18),738.0,5316.0,56.0,13.178571428571429,7.203252032520325
OECD Education Equity,Jul23 / May24 FAST (17m21),1041.0,2183.0,53.0,19.641509433962263,2.0970220941402498
DataUSA Police Wage Age,Jul03 / Mar31 SLOW,858.0,3115.0,43.0,19.953488372093023,3.6305361305361306
DataUSA Police Wage Age,Mar27 MEDIUM,341.0,1635.0,15.0,22.733333333333334,4.794721407624634
DataUSA Clothing 4481,Jun28 / Oct01 (2m56),176.0,1719.0,15.0,11.733333333333333,9.767045454545455
DataUSA Construction,Nov09 / Mar08 (10m),600.0,1832.0,42.0,14.285714285714286,3.0533333333333332
DataUSA Construction,Jun03 FAST,339.0,526.0,11.0,30.818181818181817,1.551622418879056
DataUSA Construction,Jul08 (6m09/17s),369.0,1630.0,17.0,21.705882352941178,4.417344173441735
DataUSA Construction,Jan03 / Feb28 / Apr30,891.0,2111.0,31.0,28.741935483870968,2.3692480359147026
DataUSA Maids Wage,Oct16 / Apr15 / Jul07 (18m04),1084.0,4264.0,57.0,19.017543859649123,3.933579335793358
DataUSA Poverty County,Jun26,284.0,2575.0,27.0,10.518518518518519,9.066901408450704
IHME Healthdata CVD,Nov20/Nov21 SLOW,900.0,4922.0,83.0,10.843373493975903,5.4688888888888885
IHME Family Planning,Dec13 / Sep05,359.0,4718.0,39.0,9.205128205128204,13.142061281337048
DataUSA Occupation Salary 61-62,Sep04,447.0,935.0,28.0,15.964285714285714,2.0917225950783
DataUSA Occupation Salary 61-62,Apr01 SLOW,492.0,3451.0,32.0,15.375,7.014227642276423
