groesse,n,modell,par,ks_D,ks_p,loglik,aic
Intervall-Token alle (307),307,log-uniform,"[62, 5812] s",0.13715320110823978,1.6885189986469e-05,-2468.361059313148,4940.722118626296
Intervall-Token alle (307),307,log-normal,μ=6.53 σ=1.01 (Median 684 s),0.05455024977696721,0.3091537006219367,-2443.6292061520153,4891.258412304031
Intervall-Token alle (307),307,uniform,"[44, 5746] s",0.5327880088635486,6.593355611750957e-82,-2655.058897133188,5314.117794266376
Intervall-Token alle (307),307,exponential,Mittel 1084 s,0.061323988106383134,0.19053788728462362,-2452.4566842004033,4906.913368400807
Intervall-Token ≥10 Namen (150),150,log-uniform,"[61, 5903] s",0.10907619877021857,0.05216969988471054,-1202.7151209638523,2409.4302419277046
Intervall-Token ≥10 Namen (150),150,log-normal,μ=6.50 σ=1.06 (Median 664 s),0.08300140017992463,0.23911785308814482,-1195.68118941761,2395.36237883522
Intervall-Token ≥10 Namen (150),150,uniform,"[25, 5765] s",0.5308933849665134,5.52801429665867e-40,-1298.2828749364533,2600.5657498729065
Intervall-Token ≥10 Namen (150),150,exponential,Mittel 1081 s,0.059229077859687236,0.6465229728481217,-1197.8490478283495,2397.698095656699
Tier-Tabelle Kadenz (26),26,log-uniform,"[325, 7271] s",0.2652423897321773,0.04191424070896099,-227.00270462820035,458.0054092564007
Tier-Tabelle Kadenz (26),26,log-normal,μ=7.60 σ=0.71 (Median 1993 s),0.11957339999798555,0.8091844265805849,-225.56702965306232,455.13405930612464
Tier-Tabelle Kadenz (26),26,uniform,"[120, 6726] s",0.33370226895406746,0.004398532331519545,-228.68623981281212,461.37247962562424
Tier-Tabelle Kadenz (26),26,exponential,Mittel 2489 s,0.22581224081070836,0.1202224550191977,-229.31496293155465,460.6299258631093
Tier-Tabelle R1-Frist (26),26,log-uniform,"[63, 1250] s",0.33538889009303036,0.004131788464424635,-187.22387704082664,378.4477540816533
Tier-Tabelle R1-Frist (26),26,log-normal,μ=6.10 σ=0.69 (Median 448 s),0.11128432594962645,0.8692683217200124,-185.99514787490955,375.9902957498191
Tier-Tabelle R1-Frist (26),26,uniform,"[28, 1161] s",0.15503980184628413,0.5103601993579678,-182.84639488784305,369.6927897756861
Tier-Tabelle R1-Frist (26),26,exponential,Mittel 546 s,0.2374186735241413,0.08977678454319726,-189.86626180302534,381.7325236060507
Tier-Tabelle Folgefrist (26),24,log-uniform,"[4, 94] s",0.2521712661094467,0.07845081372320895,-104.19309218034437,212.38618436068873
Tier-Tabelle Folgefrist (26),24,log-normal,μ=3.23 σ=0.74 (Median 25 s),0.09800116756127708,0.9579547771384789,-104.26250165565307,212.52500331130614
Tier-Tabelle Folgefrist (26),24,uniform,"[2, 86] s",0.3034615384615385,0.018566204064293323,-106.56217045508743,217.12434091017485
Tier-Tabelle Folgefrist (26),24,exponential,Mittel 32 s,0.22898404626727825,0.1374460601616032,-107.20889133978476,216.4177826795695
Folgefristen-Token (40),40,log-uniform,"[5, 75] s",0.24906496909514841,0.011327193046526407,-172.8288339608489,349.6576679216978
Folgefristen-Token (40),40,log-normal,μ=3.30 σ=0.71 (Median 27 s),0.11872255668335219,0.5843852934654274,-175.17177697782347,354.34355395564694
Folgefristen-Token (40),40,uniform,"[3, 72] s",0.11097560975609744,0.6671028706839313,-168.97590761881193,341.95181523762386
Folgefristen-Token (40),40,exponential,Mittel 34 s,0.17454767264151339,0.15493767046005513,-180.46181755324082,362.92363510648164
