quelle,fenster,n,basisrate_segmente,alpha,beta,verzweigung,mittlere_antwortzeit_min,ll_hawkes,ll_poisson,aic_hawkes,aic_poisson,ks_D,ks_p,anteil_endogen
Namen (erste Version),Kernwoche 16.–22.06.,2580,1,7.5246906104082925,8.202504393621314,0.9173650204027779,7.314839117508923,7785.619181282918,4467.478202162002,-15565.238362565837,-8932.956404324004,0.020938016862312576,0.20531872821410413,0.9173650204027779
Namen (erste Version),Kernwoche 16.–22.06.,2580,28,8.44522220200817,9.733481483481109,0.8676466089076893,6.16428973557172,7832.495996104479,6658.730154039014,-15604.991992208958,-13261.460308078029,0.02093802129677991,0.20531853156725555,0.8676466089076893
Namen (erste Version),Tag 18.06.,807,1,9.046682150071257,9.42889702252354,0.9594634588182206,6.363416617730932,3056.174263581766,2029.8227592030566,-6106.348527163532,-4057.6455184061133,0.02481362854910846,0.6941404907958554,0.9594634588182206
Namen (erste Version),Tag 18.06.,807,24,7.171508123330827,12.7129662937015,0.5641097410038656,4.719590897501737,3080.079435086232,3048.806054651405,-6108.158870172464,-6049.61210930281,0.024813632627793212,0.6941402966922487,0.5641097410038656
Versionen,Kernwoche 16.–22.06.,13339,1,23.541487320498906,24.571487300980316,0.9580814963349689,2.4418546287023584,67183.70356199086,45012.23373562732,-134361.4071239817,-90022.46747125464,0.12122245235623381,2.9144129731827225e-171,0.9580814963349689
Versionen,Kernwoche 16.–22.06.,13339,28,27.201639092024596,29.35934491931028,0.9265070173324434,2.043642328018589,67301.71720377998,60338.97057572134,-134543.43440755995,-120621.94115144268,0.12122171003353385,2.9285326487190337e-171,0.9265070173324434
Versionen,Tag 18.06.,6543,1,97.50079008551856,99.76033127917559,0.9773503038263397,0.6014414670706357,40611.44981732171,30150.78014004609,-81216.89963464341,-60299.56028009218,0.20175078996710505,6.636079920705841e-234,0.9773503038263397
Versionen,Tag 18.06.,6543,24,147.77385801861044,182.10566036944505,0.8114731728756575,0.32947905011999956,40711.90349191088,39243.443205954114,-81371.80698382176,-78438.88641190823,0.2017489141016051,6.703374174904875e-234,0.8114731728756575
Episodenstarts (Cluster 2h),Kernwoche 16.–22.06.,789,1,2.8112497305423436,3.3127062933147298,0.848626313843651,18.11207957707695,1082.706822607101,431.4270473982235,-2159.413645214202,-860.854094796447,0.046550417596248145,0.06369072548831123,0.848626313843651
Episodenstarts (Cluster 2h),Kernwoche 16.–22.06.,789,28,3.356330785730426,5.440907244139248,0.6168696938080954,11.02757266531788,1120.691080144068,1001.4278787345886,-2181.382160288136,-1946.8557574691772,0.02928723193491936,0.4993340919459608,0.6168696938080954
Namen ohne Zufallssuffix-Familien,Kernwoche 16.–22.06.,2085,1,6.842261518238799,7.570191719058869,0.9038425672909423,7.925823047379735,5701.811158490891,3166.197922819805,-11397.622316981782,-6330.39584563961,0.020153278806923115,0.36091796106714147,0.9038425672909423
Namen ohne Zufallssuffix-Familien,Kernwoche 16.–22.06.,2085,28,7.618397310655228,8.997711581683504,0.8467038803693014,6.668362222472326,5745.074962913006,4836.404715449533,-11430.149925826012,-9616.809430899066,0.020153282756033307,0.3609177249860196,0.8467038803693014
